,SequencingID,ModelID,ModelConditionID,IsDefaultEntryForModel,IsDefaultEntryForMC,MSIScore,LoHFraction,WGD,CIN,Ploidy,Aneuploidy
0,CDS-00Nrci,ACH-000839,MC-000839-krru,Yes,Yes,3.68,0.107442983578596,1.0,0.502634318247591,3.15829106158172,20.0
1,CDS-051xn7,ACH-000041,MC-000041-uPBf,Yes,Yes,2.21,0.130088744871113,1.0,0.523865467657356,3.23608901214141,19.0
2,CDS-099jzP,ACH-002046,MC-002046-oaX8,Yes,Yes,2.87,0.222341737599453,1.0,0.679771894583716,3.32671456873659,30.0
3,CDS-0A4mDu,ACH-002048,MC-002048-52d6,Yes,Yes,2.48,,,,,
4,CDS-0Eax8o,ACH-000042,MC-000042-eOnX,Yes,Yes,2.07,,,,,
5,CDS-0Fwtih,ACH-002433,MC-002433-iccX,No,No,2.39,0.424911003269535,1.0,0.665781043598669,2.90303287000438,22.0
6,CDS-0GB1gy,ACH-001669,MC-001669-PygV,Yes,Yes,66.49,0.0616815500528704,0.0,0.215905514507665,2.14794446417602,6.0
7,CDS-0PlxsQ,ACH-001300,MC-001300-8ioY,Yes,Yes,1.66,0.017485330570052,0.0,0.224172774117812,2.20607247427065,9.0
8,CDS-0RmKXB,ACH-001574,MC-001574-0hwo,Yes,Yes,2.66,0.0151265946796863,0.0,0.190192211514025,2.15854290039404,6.0
9,CDS-0V2XTR,ACH-000332,MC-000332-21ni,Yes,Yes,2.96,0.250913618145005,1.0,0.722421513093282,3.6032803094274,31.0
10,CDS-0Z9yIY,ACH-000832,MC-000832-CjpT,Yes,Yes,1.28,,,,,
11,CDS-0b4jFH,ACH-001147,MC-001147-WkLI,Yes,Yes,4.76,0.209899584571484,0.0,0.352976423929394,2.14551722782478,7.0
12,CDS-0bV15m,ACH-002074,MC-002074-ehWg,Yes,Yes,2.19,0.438501956793133,1.0,0.569840073880441,2.62598133770953,27.0
13,CDS-0e3PRe,ACH-001111,MC-001111-jbYD,Yes,Yes,2.39,0.0344723957661105,1.0,0.467391023694339,3.62921239223873,28.0
14,CDS-0ewUnk,ACH-001057,MC-001057-AskH,Yes,Yes,2.49,0.0737484269152537,0.0,0.215783016038533,2.08879456905962,6.0
15,CDS-0fxylD,ACH-001691,MC-001691-0y4G,Yes,Yes,2.66,,,,,
16,CDS-0mhWCL,ACH-000281,MC-000281-dV9B,Yes,Yes,3.09,0.211529663481071,1.0,0.633385424148328,3.46527167416162,23.0
17,CDS-0q5dcO,ACH-002922,MC-002922-66Xg,Yes,Yes,2.0,0.196946151212414,1.0,0.524800517850251,3.89855430795317,15.0
18,CDS-0rmD1k,ACH-000699,MC-000699-iHwM,Yes,Yes,2.68,,,,,
19,CDS-0sdrSB,ACH-000943,MC-000943-VfLa,Yes,Yes,90.46,0.0100110765574463,1.0,0.179433387629839,4.50499849667952,36.0
20,CDS-0yFGAM,ACH-002471,MC-002471-uRkn,Yes,Yes,2.23,,,,,
21,CDS-17DYXO,ACH-002490,MC-002490-4KoT,Yes,Yes,2.62,0.464890455613473,1.0,0.698414166399167,2.57106257711586,26.0
22,CDS-17moNf,ACH-000005,MC-000005-Aycs,Yes,Yes,0.87,0.339925462995404,1.0,0.48491703423138,2.82663314964444,20.0
23,CDS-1G47Qx,ACH-002789,MC-002789-mav3,Yes,Yes,2.47,0.0101985461344498,1.0,0.465130074960759,3.67094962638942,19.0
24,CDS-1GlvFn,ACH-001684,MC-001684-y8aL,Yes,Yes,2.21,0.0104021816241977,0.0,0.0713914912304369,2.05304628841582,2.0
25,CDS-1Itb18,ACH-003101,MC-003101-6WpP,Yes,Yes,2.15,0.0216371971647654,0.0,0.0617477138695421,2.313866915953,1.0
26,CDS-1LuQ9S,ACH-000833,MC-000833-KaSb,Yes,Yes,2.08,0.0769625824029473,1.0,0.550358258969594,3.61520907455303,29.0
27,CDS-1PU0Lo,ACH-002675,MC-002675-q6w0,Yes,Yes,2.33,0.0347067611848414,0.0,0.456529980388166,2.70269104038885,18.0
28,CDS-1RwlQp,ACH-000811,MC-000811-kbFV,Yes,Yes,24.59,,,,,
29,CDS-1UJEpC,ACH-000473,MC-000473-MpEw,Yes,Yes,1.21,,,,,
30,CDS-1YwLXW,ACH-000035,MC-000035-aT3G,Yes,Yes,0.7,0.629599226985043,1.0,0.516663963695035,2.19511315282739,9.0
31,CDS-1Zvqir,ACH-001949,MC-001949-eXWn,Yes,Yes,2.31,,,,,
32,CDS-1jy326,ACH-001509,MC-001509-3x7y,Yes,Yes,1.78,0.0475369939683234,1.0,0.52892192000977,3.71701228944231,28.0
33,CDS-1msa9a,ACH-002800,MC-002800-SZpV,Yes,Yes,2.38,0.324558554086243,1.0,0.711777850552209,3.90089822792482,24.0
34,CDS-1pLoxn,ACH-000001,MC-000001-ztiA,Yes,Yes,1.67,0.173789349894003,1.0,0.649593858251448,3.80648817322323,23.0
35,CDS-1tmwd7,ACH-000967,MC-000967-ncE2,Yes,Yes,90.86,,,,,
36,CDS-1ylR0Q,ACH-003064,MC-003064-tV5G,Yes,Yes,1.38,1.09308714489574e-06,0.0,1.09370713300338e-06,2.00017490864541,0.0
37,CDS-26WgZA,ACH-000494,MC-000494-s2Mp,Yes,Yes,1.76,0.0138187802392662,0.0,0.0149281694631304,1.99700882522009,0.0
38,CDS-26ox1m,ACH-000324,MC-000324-UzZP,Yes,Yes,2.83,,,,,
39,CDS-2AAbG2,ACH-000784,MC-000784-8ktU,Yes,Yes,2.07,0.511337178974751,1.0,0.681036609460937,2.97286368105331,20.0
40,CDS-2DkVpG,ACH-000250,MC-000250-3qw8,Yes,Yes,2.95,0.268534659769485,1.0,0.618428085102485,3.25052134037945,26.0
41,CDS-2I6NbU,ACH-001696,MC-001696-AgNq,Yes,Yes,2.55,0.233716197468687,1.0,0.669698902803956,3.10240175918314,24.0
