gene,r2,n_lines
ARID1A,0.0235932874056841,1192
ARID1B,0.021596598432049686,1192
PIK3CA,0.01792153983048319,1192
PIK3CB,0.0019337380050924154,1192
PIK3R1,0.0037555002619119667,1192
CRKL,0.04753729234585697,1192
EP300,0.031137503287012102,1192
CREBBP,0.002174638285840406,1192
KRAS,0.005647898097955089,1192
HRAS,0.03676286811432858,1192
PTEN,7.667603305053416e-05,1192
TNS2,0.01571921471891339,1192
SMARCA4,0.00012571804024857217,1192
SMARCA2,0.006928432168294397,1192
PPP2R1A,0.00020861425961156722,1192
PPP2R1B,0.00013695913825151278,1192
KMT2D,0.024812092869007978,1192
KMT2C,0.011037829341658444,1192
TP53,0.007740120363286877,1192
TP63,0.057330030984075575,1192
FBXW7,2.9084055768854776e-05,1192
FBXW2,0.0018566240664200915,1192
STK11,0.016971978971101594,1192
