pair,BRCA_r,BRCA_p,BRCA_n,COAD_r,COAD_p,COAD_n,LUAD_r,LUAD_p,LUAD_n,GBM_r,GBM_p,GBM_n,UCEC_r,UCEC_p,UCEC_n,LUSC_r,LUSC_p,LUSC_n,PDAC_r,PDAC_p,PDAC_n
PIK3CA↔PIK3CB,0.09480021731933297,0.29896078016634453,122.0,0.3691124547319661,0.05812716352419936,27.0,0.28191052806233496,0.002847949220784808,110.0,0.38464049243697473,8.464054522590638e-05,99.0,0.04243760164789641,0.683024901530627,95.0,-0.0670454341637071,0.49055565653265837,108.0,,,
BRCA1↔BRCA2,-0.08550711841152803,0.4393087953057917,84.0,,,,,,,,,,,,,-0.27127583663701377,0.013113733051281874,83.0,-0.44304345989321753,0.11260662723492447,14.0
EP300↔CREBBP,0.2630064235239971,0.0034246319964025894,122.0,0.5099764076840332,0.0001319920104202681,51.0,0.37990335085842114,4.248885694001708e-05,110.0,0.5014746965732291,1.2414408127965953e-07,99.0,0.08091502708869477,0.43568465640149573,95.0,0.3715975947973293,7.508372589200507e-05,108.0,0.1307203499055682,0.1236943332717054,140.0
PPP2R1A↔PPP2R1B,0.00803582965295432,0.9299988190688041,122.0,,,,,,,-0.2575908186633596,0.010051903917886544,99.0,,,,-0.028632610388977783,0.768638176527229,108.0,0.24358598583362737,0.003730163089907431,140.0
AKT1↔AKT2,0.2710383344175885,0.002530830030568469,122.0,0.21092449854551448,0.05715288914516556,82.0,,,,0.5464162170083747,4.901896910561851e-09,99.0,0.2330484443665291,0.02303846980641884,95.0,,,,0.4087914703533597,5.320439859207808e-07,140.0
KRAS↔NRAS,0.2443684243821096,0.0066756661134678,122.0,0.29355903167943603,0.019538329404370502,63.0,,,,0.3298159035538286,0.0008568472366948078,99.0,0.20008983580767958,0.05188036339138397,95.0,0.06593840143938301,0.4977611175202034,108.0,0.4311436252244185,1.050132396064563e-07,140.0
PTEN↔TNS2,0.35674967470214786,5.497368395258063e-05,122.0,0.059468009389213275,0.6026458308392451,79.0,0.427365454946613,3.2175940800368964e-06,110.0,0.20450999378974472,0.04230369058604418,99.0,0.4445673247619423,6.38013868645208e-06,95.0,,,,0.004737642535968062,0.9556968886050091,140.0
PTEN↔TNS1,0.30314534339995475,0.0016697086946525076,105.0,,,,,,,0.11830867855138097,0.24349007148045224,99.0,0.3608030577493715,0.0003282738004785164,95.0,0.37037452832363493,7.962440399892243e-05,108.0,0.4403294326713454,5.2068517731242845e-08,140.0
NF1↔RASA2,-0.19762414561395383,0.02911503200018271,122.0,0.15392741843014585,0.1673658258803244,82.0,0.009691778926288907,0.9199557916674188,110.0,0.07256615589154031,0.475353268106212,99.0,0.31592248455605954,0.001816183651978285,95.0,-0.10405596129031493,0.2838500645531723,108.0,-0.035239662416173656,0.6793491113422615,140.0
NF1↔RASA1,0.1575306167643187,0.08311212447568256,122.0,0.03790673341722354,0.7289570842298013,86.0,-0.05461299653759456,0.5709411998485004,110.0,-0.11688257185477623,0.24925901316835775,99.0,0.19100970364785605,0.06371093298664146,95.0,0.33835748669292054,0.0003414405510423267,108.0,,,
