cohort,pair,gene_a,gene_b,purity_attribute,purity_level,n_matched,protein_r_full,protein_p_full,protein_n_full,protein_r_matched,protein_p_matched,partial_r,partial_p,delta_r,abs_delta_r,protein_q_bh_full,protein_q_bh_matched,partial_q_bh
BRCA,PIK3CA↔PIK3CB,PIK3CA,PIK3CB,ESTIMATE_TUMORPURITY,PATIENT,122,0.0948002173193329,0.2989607801663445,122,0.09480021731933296,0.29896078016634103,0.12640738689039804,0.16531556265251535,0.03160716957106509,0.03160716957106509,0.597921560332689,0.5979215603326821,0.3306311253050307
BRCA,BRCA1↔BRCA2,BRCA1,BRCA2,ESTIMATE_TUMORPURITY,PATIENT,84,-0.085507118411528,0.4393087953057917,84,-0.08550711841152804,0.43930879530579103,-0.08482991566506907,0.4429544276967738,0.0006772027464589658,0.0006772027464589658,0.4393087953057917,0.43930879530579103,0.4429544276967738
BRCA,EP300↔CREBBP,EP300,CREBBP,ESTIMATE_TUMORPURITY,PATIENT,122,0.2630064235239971,0.0034246319964025,122,0.2630064235239971,0.0034246319964025907,0.25906946366745953,0.003958851697125598,-0.003936959856537581,0.003936959856537581,0.004566175995203333,0.004566175995203454,0.005278468929500797
BRCA,PPP2R1A↔PPP2R1B,PPP2R1A,PPP2R1B,ESTIMATE_TUMORPURITY,PATIENT,122,0.0080358296529543,0.929998819068804,122,0.008035829652954362,0.9299988190688036,-0.0006368511136668111,0.9944453031346003,-0.008672680766621173,0.008672680766621173,0.929998819068804,0.9299988190688036,0.9944453031346003
BRCA,AKT1↔AKT2,AKT1,AKT2,ESTIMATE_TUMORPURITY,PATIENT,122,0.2710383344175885,0.0025308300305684,122,0.27103833441758846,0.0025308300305684913,0.26975311593194085,0.0026579433657568556,-0.00128521848564761,0.00128521848564761,0.0050616600611368,0.005061660061136983,0.005315886731513711
BRCA,KRAS↔NRAS,KRAS,NRAS,ESTIMATE_TUMORPURITY,PATIENT,122,0.2443684243821096,0.0066756661134678,122,0.2443684243821096,0.006675666113467775,0.2354581016449315,0.009034111404852902,-0.008910322737178095,0.008910322737178095,0.020026998340403397,0.020026998340403328,0.027102334214558706
BRCA,PTEN↔TNS2,PTEN,TNS2,ESTIMATE_TUMORPURITY,PATIENT,122,0.3567496747021478,5.497368395258063e-05,122,0.3567496747021479,5.497368395258065e-05,0.33639541021767744,0.00015163329731550262,-0.020354264484470475,0.020354264484470475,5.497368395258063e-05,5.497368395258065e-05,0.00015163329731550262
BRCA,PTEN↔TNS1,PTEN,TNS1,ESTIMATE_TUMORPURITY,PATIENT,105,0.3031453433999547,0.0016697086946525,105,0.30314534339995475,0.0016697086946525076,0.277775668581485,0.0041181275550805155,-0.025369674818469745,0.025369674818469745,0.0016697086946525,0.002504563041978761,0.006177191332620773
BRCA,NF1↔RASA2,NF1,RASA2,ESTIMATE_TUMORPURITY,PATIENT,122,-0.1976241456139538,0.0291150320001827,122,-0.19762414561395383,0.029115032000182697,-0.1388945365215269,0.1270715109501139,0.05872960909242694,0.05872960909242694,0.0582300640003654,0.05823006400036539,0.2541430219002278
BRCA,NF1↔RASA1,NF1,RASA1,ESTIMATE_TUMORPURITY,PATIENT,122,0.1575306167643187,0.0831121244756825,122,0.15753061676431873,0.08311212447568292,0.15013721217709186,0.09881657786201506,-0.0073934045872268706,0.0073934045872268706,0.11081616596757667,0.11081616596757722,0.1317554371493534
