cohort,pair,gene_a,gene_b,rna_profile,rna_datatype,transform,match_mode,n_mrna,mrna_r,mrna_p,protein_n_full,protein_r_full,protein_p_full,protein_r_matched,protein_p_matched,mrna_q_bh,protein_q_bh_full,protein_q_bh_matched
BRCA,PIK3CA↔PIK3CB,PIK3CA,PIK3CB,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,122,0.33129925078503586,0.00019339978918644633,122.0,0.0948002173193329,0.2989607801663445,0.09480021731933296,0.29896078016634103,0.0009545578977238826,0.4484411702495167,0.4484411702495116
BRCA,BRCA1↔BRCA2,BRCA1,BRCA2,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,83,-0.1132417755993868,0.30805161070881176,84.0,-0.085507118411528,0.4393087953057917,-0.08197367299746533,0.4612859839914008,0.30805161070881176,0.4393087953057917,0.4612859839914008
BRCA,EP300↔CREBBP,EP300,CREBBP,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,122,0.5918272779288157,7.035117889152324e-13,122.0,0.2630064235239971,0.0034246319964025,0.2630064235239971,0.0034246319964025907,9.849165044813253e-13,0.0047944847949634994,0.004794484794963627
BRCA,PPP2R1A↔PPP2R1B,PPP2R1A,PPP2R1B,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,115,-0.19531641759912252,0.03645234532725318,122.0,0.0080358296529543,0.929998819068804,0.0279900349725875,0.7665132072956331,0.12758320864538614,0.929998819068804,0.7686381765272281
BRCA,AKT1↔AKT2,AKT1,AKT2,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,122,0.29573397562734405,0.0009424737861047488,122.0,0.2710383344175885,0.0025308300305684,0.27103833441758846,0.0025308300305684913,0.006597316502733241,0.004218050050947334,0.004218050050947486
BRCA,KRAS↔NRAS,KRAS,NRAS,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,120,0.18797472957673117,0.03978519399644339,122.0,0.2443684243821096,0.0066756661134678,0.24062068575371234,0.008113929364491294,0.06893320181440678,0.0133513322269356,0.016227858728982587
BRCA,PTEN↔TNS2,PTEN,TNS2,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,32,0.1474053451588654,0.42076937865154596,122.0,0.3567496747021478,5.497368395258063e-05,0.29393806740493017,0.10248752714147827,0.6003584255866592,0.00010994736790516126,0.15373129071221742
BRCA,PTEN↔TNS1,PTEN,TNS1,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,105,0.16731574880492922,0.08800782470100343,105.0,0.3031453433999547,0.0016697086946525,0.30314534339995475,0.0016697086946525076,0.205351590969008,0.002087135868315625,0.0020871358683156346
BRCA,NF1↔RASA2,NF1,RASA2,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,119,0.19528224721162973,0.033309899525829655,122.0,-0.1976241456139538,0.0291150320001827,-0.1823082937034606,0.047209038814834216,0.07772309889360253,0.10190261200063945,0.16523163585191974
BRCA,NF1↔RASA1,NF1,RASA1,brca_cptac_2020_rna_seq_v2_mrna,CONTINUOUS,values already log-scale; used as-is,protein_matched,119,0.36550408539058804,4.361513377385505e-05,122.0,0.1575306167643187,0.0831121244756825,0.1588559084490785,0.08441988742266537,0.00015265296820849268,0.166224248951365,0.16883977484533075
