cohort,driver,paralog,status,n,r,p,file
BRCA,ARID1A,ARID1B,gene_not_in_cache,0,,,
BRCA,PIK3CA,PIK3CB,plotted,122,0.09480021731933296,0.29896078016634103,BRCA_PIK3CA_PIK3CB.png
BRCA,BRCA1,BRCA2,plotted,84,-0.08550711841152804,0.43930879530579103,BRCA_BRCA1_BRCA2.png
BRCA,EP300,CREBBP,plotted,122,0.2630064235239971,0.0034246319964025907,BRCA_EP300_CREBBP.png
BRCA,PPP2R1A,PPP2R1B,plotted,122,0.008035829652954362,0.9299988190688036,BRCA_PPP2R1A_PPP2R1B.png
BRCA,FBXW7,FBXW2,gene_not_in_cache,0,,,
BRCA,STK11,SIK1,gene_not_in_cache,0,,,
BRCA,SMARCA4,SMARCA2,gene_not_in_cache,0,,,
BRCA,CCNE1,CCNE2,gene_not_in_cache,0,,,
BRCA,CDK4,CDK6,gene_not_in_cache,0,,,
BRCA,AKT1,AKT2,plotted,122,0.27103833441758846,0.0025308300305684913,BRCA_AKT1_AKT2.png
BRCA,MAP2K1,MAP2K2,gene_not_in_cache,0,,,
BRCA,KRAS,HRAS,gene_not_in_cache,0,,,
BRCA,KRAS,NRAS,plotted,122,0.2443684243821096,0.006675666113467775,BRCA_KRAS_NRAS.png
BRCA,HRAS,NRAS,gene_not_in_cache,0,,,
BRCA,PIK3R1,CRKL,gene_not_in_cache,0,,,
BRCA,PIK3R1,CRK,gene_not_in_cache,0,,,
BRCA,PTEN,TNS2,plotted,122,0.3567496747021479,5.497368395258065e-05,BRCA_PTEN_TNS2.png
BRCA,PTEN,TNS1,plotted,105,0.30314534339995475,0.0016697086946525076,BRCA_PTEN_TNS1.png
BRCA,TP53,TP63,gene_not_in_cache,0,,,
BRCA,TP53,TP73,gene_not_in_cache,0,,,
BRCA,RB1,RBL1,gene_not_in_cache,0,,,
BRCA,RB1,RBL2,gene_not_in_cache,0,,,
BRCA,NF1,RASA2,plotted,122,-0.19762414561395383,0.029115032000182697,BRCA_NF1_RASA2.png
BRCA,NF1,RASA1,plotted,122,0.15753061676431873,0.08311212447568292,BRCA_NF1_RASA1.png
BRCA,ATR,ATM,plotted,122,0.265553988609444,0.003114421112734552,BRCA_ATR_ATM.png
BRCA,KMT2D,KMT2C,plotted,122,0.3007675403421284,0.000762169453335675,BRCA_KMT2D_KMT2C.png
BRCA,CDH1,CDH2,gene_not_in_cache,0,,,
BRCA,BRAF,RAF1,plotted,122,0.18862910579399295,0.03745719993613578,BRCA_BRAF_RAF1.png
BRCA,KEAP1,NFE2L2,gene_not_in_cache,0,,,
