pair	mean_ti_old	mean_ti_new	mean_ti_abs	mean_dd_pos	mean_denominator	floor_0_01_active	classification_new	changed
SMARCA4->SMARCA2	4.8738956823161645	4.8738956823161645	4.8738956823161645	0.1864457893546401	0.0547328119908765	False	HIGH_SELECTIVITY	False
ARID1A->ARID1B	2.8194115385176928	2.8194115385176928	2.8194115385176928	0.2699135558583972	0.1255809424174827	False	HIGH_SELECTIVITY	False
NF1->RASA2	5.420599527987394	1.8239106692860292	5.420599527987394	0.0182391066928602	0.0270357705419276	True	MODERATE	True
EP300->CREBBP	1.81548250534756	1.710189225782058	1.81548250534756	0.2638197993378419	0.1590326473104512	False	MODERATE	True
KMT2D->KMT2C	1.7705720421449027	1.2608298488759226	1.7705720421449027	0.0461223060728475	0.0389964350647854	False	MODERATE	True
PPP2R1A->PPP2R1B	0.9253821838412568	0.9253821838412568	0.9253821838412568	0.074434537014425	0.0804365356435193	False	LOW_SELECTIVITY	False
FBXW7->FBXW2	0.7201332548696614	0.7201332548696614	0.7201332548696614	0.0251393048779839	0.037416902367097	False	LOW_SELECTIVITY	False
TP53->TP63	0.812725036434329	0.5771302253487803	0.812725036434329	0.0244043312495078	0.0497091845784788	False	MODERATE	True
PIK3R1->CRKL	0.1666908443070653	0.1666908443070653	0.1666908443070653	0.152264914878922	0.9547362759116536	False	PAN_ESSENTIAL	False
BRCA2->BRCA1	0.1929078800851798	0.1179522622151112	0.1929078800851798	0.052709385906994	0.5573633695967017	False	PAN_ESSENTIAL	True
BRCA1->BRCA2	0.1442640205625437	0.0389942853027696	0.1442640205625437	0.021269610165147	0.5450081459758879	False	PAN_ESSENTIAL	True
PTEN->TNS2	0.1740901583217816	0.0135944055736821	0.1740901583217816	0.0035258409743776	0.247607515939092	False	LOW_SELECTIVITY	True
MAP2K1->MAP2K2	0.0031727383658544	0.0031727383658544	0.0031727383658544	0.0005912572337676	0.1863554966053588	False	LOW_SELECTIVITY	False
CDH1->CDH2	0.6871037413103468	0.0	0.6871037413103468	0.0	0.1427098435236092	False	LOW_SELECTIVITY	True
KRAS->HRAS	0.2055549466723849	0.0	0.2055549466723849	0.0	0.1949605245165953	False	LOW_SELECTIVITY	True
ATR->ATM	1.656421568639166	0.0	1.656421568639166	0.0	0.0571750925932332	False	LOW_SELECTIVITY	True
PIK3CA->PIK3CB	1.3555529659428456	0.0	1.3555529659428456	0.0	0.1117455681814474	False	LOW_SELECTIVITY	True
RB1->RBL1	3.439385040610442	0.0	3.439385040610442	0.0	0.0496190664449626	False	MODERATE	True
BRAF->RAF1	1.1741084556543318	0.0	1.1741084556543318	0.0	0.1987602072395075	False	LOW_SELECTIVITY	True
STK11->SIK1	0.3924446658617047	0.0	0.3924446658617047	0.0	0.0439174364807194	False	LOW_SELECTIVITY	True
KRAS->NRAS	0.4196486320193893	0.0	0.4196486320193893	0.0	0.1925726283904756	False	LOW_SELECTIVITY	True
