id	description	manuscript	recomputed	source	status
full_auroc	Full-set AUROC (110 entries, 8 positives)	0.676	0.676	output/headline_metrics.json	match
full_n	Full-set entries	110	110	output/headline_metrics.json	match
full_pos	Full-set positives	8	8	output/headline_metrics.json	match
full_auprc	Full-set AUPRC	0.386	0.386	output/headline_metrics.json	match
leave_out_auroc	Leave-out (DepMap-era removed) AUROC	0.725	0.725	output/headline_metrics.json	match
pre_depmap_auroc	Pre-DepMap evidence AUROC	0.774	0.775	output/headline_metrics.json	match
tier_ab_auroc	Tier A∪B primary benchmark AUROC	1.000	1.000	output/headline_metrics.json	match
tier_ab_pos	Tier A∪B evaluable positives	2	2	output/headline_metrics.json	match
direction_strict	Direction-strict AUROC	0.676	0.676	output/headline_metrics.json	match
llo_lo	Leave-one-lineage-out lower bound	0.656	0.656	output/headline_metrics.json	match
llo_hi	Leave-one-lineage-out upper bound	0.704	0.704	output/headline_metrics.json	match
comp_dd	Component: DD	0.676	0.676	output/headline_metrics.json	match
comp_pcs	Component: PCS	0.825	0.825	output/headline_metrics.json	match
comp_dexpr	Component: ΔExpression	0.547	0.547	output/headline_metrics.json	match
comp_nec	Component: necessity	0.642	0.642	output/headline_metrics.json	match
pb_pcs_dd	Paired bootstrap PCS−DD	+0.150	0.150	output/headline_metrics.json	match
pb_pcs_dd_lo	Paired bootstrap CI lower	-0.110	-0.110	output/headline_metrics.json	match
pb_pcs_dd_hi	Paired bootstrap CI upper	+0.456	0.456	output/headline_metrics.json	match
pp_auroc	Per-pair AUROC (72 pairs, 6 positives)	0.500	0.500	output/validation_report.json	match
pp_n	Per-pair universe	72	72	output/validation_report.json	match
pp_null	Permutation null mean	0.501	0.501	output/validation_report.json	match
pp_p	Permutation empirical p	0.503	0.503	output/validation_report.json	match
pp_bs_lo	Per-pair bootstrap CI lower	0.185	0.185	output/validation_report.json	match
pp_bs_hi	Per-pair bootstrap CI upper	0.813	0.813	output/validation_report.json	match
pp_mean_dd	Per-pair mean |DD| AUROC	0.566	0.566	output/headline_metrics.json	match
pp_comp	Composite AUROC	0.831	0.831	output/headline_metrics.json	match
pp_comp_auprc	Composite AUPRC	0.356	0.356	output/headline_metrics.json	match
pp_baseline	Baseline prevalence	0.083	0.083	output/headline_metrics.json	match
pp_enrich	AUPRC enrichment ×baseline	4.3	4.278	output/headline_metrics.json	match
ml_svmrbf	SVM-RBF AUROC	0.843	0.843	output/ml_benchmark.json	match
ml_rf	Random forest AUROC	0.722	0.722	output/ml_benchmark.json	match
ml_svmlin	SVM-Linear AUROC	0.114	0.114	output/ml_benchmark.json	match
ml_lr	Logistic regression AUROC	0.136	0.136	output/ml_benchmark.json	match
ml_dd	DD alone AUROC	0.566	0.566	output/ml_benchmark.json	match
ml_comp	Composite alone AUROC	0.831	0.831	output/ml_benchmark.json	match
