cancer,DepMap_ID,msi_score,msi_official,mmr_status,pole_mutant,concordant
Endometrial,ACH-000173,1.97,MSS,MSS,False,True
Endometrial,ACH-000192,1.1,MSS,MSS,False,True
Endometrial,ACH-000293,1.19,MSS,MSS,False,True
Endometrial,ACH-000302,2.57,MSS,MSS,False,True
Endometrial,ACH-000397,2.56,MSS,MSS,False,True
Endometrial,ACH-000407,2.79,MSS,MSS,False,True
Endometrial,ACH-000435,3.01,MSS,MSS,False,True
Endometrial,ACH-000831,3.47,MSS,MSS,False,True
Endometrial,ACH-000864,63.68,MSI_H,MSI_H,True,True
Endometrial,ACH-000879,71.23,MSI_H,MSI_H,False,True
Endometrial,ACH-000909,64.91,MSI_H,MSI_H,False,True
Endometrial,ACH-000928,74.82,MSI_H,MSI_H,False,True
Endometrial,ACH-000940,84.89,MSI_H,MSI_H,False,True
Endometrial,ACH-000941,53.07,MSI_H,MSI_H,False,True
Endometrial,ACH-000946,80.32,MSI_H,MSI_H,True,True
Endometrial,ACH-000954,62.77,MSI_H,MSI_H,False,True
Endometrial,ACH-000961,87.3,MSI_H,MSI_H,True,True
Endometrial,ACH-000965,79.5,MSI_H,MSI_H,False,True
Endometrial,ACH-000972,93.17,MSI_H,MSI_H,True,True
Endometrial,ACH-000974,81.24,MSI_H,MSI_H,False,True
Endometrial,ACH-000978,70.08,MSI_H,MSI_H,False,True
Endometrial,ACH-000984,91.33,MSI_H,MSI_H,True,True
Endometrial,ACH-000988,81.65,MSI_H,MSI_H,False,True
Endometrial,ACH-000990,93.22,MSI_H,MSI_H,True,True
Endometrial,ACH-000993,3.16,MSS,MSI_H,True,False
Endometrial,ACH-000994,92.12,MSI_H,MSI_H,False,True
Endometrial,ACH-000996,4.17,MSS,MSI_H,True,False
Endometrial,ACH-001042,,,MSS,False,False
Endometrial,ACH-001495,3.92,MSS,MSS,False,True
Endometrial,ACH-001517,62.93,MSI_H,MSI_H,False,True
Endometrial,ACH-001518,73.8,MSI_H,MSI_H,False,True
Endometrial,ACH-002026,82.27,MSI_H,MSI_H,False,True
Endometrial,ACH-002027,59.91,MSI_H,MSI_H,False,True
Endometrial,ACH-002046,2.87,MSS,MSS,False,True
Endometrial,ACH-002047,2.35,MSS,MSS,False,True
Endometrial,ACH-002419,3.54,MSS,MSI_H,False,False
Endometrial,ACH-002648,2.04,MSS,MSS,False,True
Colorectal,ACH-000003,,,MSS,False,False
Colorectal,ACH-000007,3.36,MSS,MSS,False,True
Colorectal,ACH-000009,1.0,MSS,MSS,False,True
Colorectal,ACH-000089,1.98,MSS,MSS,False,True
Colorectal,ACH-000202,2.34,MSS,MSS,False,True
Colorectal,ACH-000236,1.5,MSS,MSS,False,True
Colorectal,ACH-000249,2.66,MSS,MSS,False,True
Colorectal,ACH-000252,1.36,MSS,MSS,False,True
Colorectal,ACH-000253,1.77,MSS,MSS,False,True
Colorectal,ACH-000286,2.42,MSS,MSS,False,True
Colorectal,ACH-000296,4.2,MSS,MSS,False,True
Colorectal,ACH-000342,2.0,MSS,MSS,False,True
Colorectal,ACH-000350,2.49,MSS,MSS,False,True
Colorectal,ACH-000360,1.72,MSS,MSS,False,True
Colorectal,ACH-000381,2.27,MSS,MSS,False,True
Colorectal,ACH-000400,1.14,MSS,MSS,False,True
Colorectal,ACH-000403,1.17,MSS,MSS,False,True
Colorectal,ACH-000412,2.02,MSS,MSS,False,True
Colorectal,ACH-000421,2.22,MSS,MSS,False,True
Colorectal,ACH-000467,1.08,MSS,MSS,False,True
Colorectal,ACH-000470,1.72,MSS,MSS,False,True
Colorectal,ACH-000489,1.21,MSS,MSS,False,True
Colorectal,ACH-000491,1.25,MSS,MSI_H,True,False
Colorectal,ACH-000501,1.19,MSS,MSS,False,True
Colorectal,ACH-000532,2.58,MSS,MSS,False,True
Colorectal,ACH-000552,1.3,MSS,MSS,False,True
Colorectal,ACH-000565,1.52,MSS,MSS,False,True
Colorectal,ACH-000651,3.2,MSS,MSS,False,True
Colorectal,ACH-000680,2.06,MSS,MSS,False,True
Colorectal,ACH-000683,3.28,MSS,MSI_H,False,False
Colorectal,ACH-000708,1.43,MSS,MSS,False,True
Colorectal,ACH-000710,,,MSS,False,False
Colorectal,ACH-000722,1.73,MSS,MSI_H,True,False
Colorectal,ACH-000798,1.7,MSS,MSS,False,True
Colorectal,ACH-000820,1.86,MSS,MSS,False,True
Colorectal,ACH-000842,1.23,MSS,MSS,False,True
Colorectal,ACH-000895,81.92,MSI_H,MSS,False,False
Colorectal,ACH-000926,1.65,MSS,MSS,False,True
Colorectal,ACH-000935,2.06,MSS,MSS,False,True
Colorectal,ACH-000943,90.46,MSI_H,MSI_H,True,True
Colorectal,ACH-000950,88.59,MSI_H,MSS,False,False
Colorectal,ACH-000955,88.91,MSI_H,MSI_H,True,True
Colorectal,ACH-000957,88.39,MSI_H,MSI_H,False,True
Colorectal,ACH-000958,84.58,MSI_H,MSI_H,False,True
