driver_gene,paralog_gene,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,expr_p_value,expr_t_stat,n_mut,n_wt,cancer_type,mutation_frequency,q_value,pass_threshold,pcs_rank,pcs_norm,dd_norm,composite_score,is_known_paralog_sl
TP53,TP73,0.0016732840688823173,0.025023800995472856,0.06686770204035099,-0.028443116181952943,-0.1782190537754817,-0.17509240370924517,0.6803576292838457,0.9565661967587029,0.05683105109641791,39,6,Colorectal_MSS,0.8666666666666667,0.9565661967587029,False,1.0,1.0,0.0,0.5,False
TP53,TP63,0.0,-0.5213654099869012,0.08440815651650543,0.07741445059841433,0.4767073241971361,0.4683440378077126,0.19780493338718827,0.551361052557349,-0.6335270181056197,39,6,Colorectal_MSS,0.8666666666666667,0.9565661967587029,False,2.0,0.0,1.0,0.2,False
KRAS,DIRAS3,0.03419775011641603,0.2198966890438625,0.15551734892013153,0.025632344493855153,0.16328469458163863,0.16042005081704847,0.5802931698463155,0.4917396926862942,0.6937398321954092,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,1.0,1.0,0.2262223255522049,0.6203735863038997,False
KRAS,RASL11A,0.028746396272438576,0.507726220981656,0.056617907613396974,-0.025838680135934808,-0.18180569485685447,-0.17861612126287454,0.5531406297169538,0.33646683916592746,0.9746131824656589,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,2.0,0.8405932020258658,0.228177035745071,0.5410611293554058,False
KRAS,RRAS2,0.00900535734541198,0.11700715998449951,0.0769641562670606,-0.08673353490363934,-0.5924468746642303,-0.5820530698455596,0.052820012033196945,0.7943178076141397,0.26291239627300034,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,5.0,0.26333186583198986,0.8050613399196339,0.3678073220933804,False
KRAS,RASL10A,0.008124412496672014,0.04499732031422926,0.18055325161447167,0.07371363864469532,0.43032458242792404,0.42277502835024117,0.15997747752134198,0.5512370743770894,0.600664294341142,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,6.0,0.23757154985386106,0.6817180160473952,0.3302584993298683,False
KRAS,RHEBL1,0.009641033467025715,0.2332001516548381,0.04134231216665548,0.05782085905135004,0.4318705879022667,0.42429391092152513,0.15762324522148333,0.30810424249920376,1.0317493903263235,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,4.0,0.2819201097793187,0.5311585782741882,0.3223208917379557,False
KRAS,NRAS,0.0,-0.3579200230048274,0.22067675715211496,-0.08453062531167342,-0.35739282081021223,-0.35112277132231373,0.2511974885579127,0.06953906081246687,-1.885389304139227,27,18,Colorectal_MSS,0.6,0.8631163361255705,False,20.5,0.0,0.7841921881338461,0.3068384376267692,False
KRAS,RASL12,0.012182071766658703,0.15538903939395876,0.07839723969058991,0.014745641489525507,0.08436528540473025,0.08288519267833147,0.7853282026367093,0.5426156246458963,0.6151339369272087,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,3.0,0.35622436345047487,0.12308769929575783,0.2778588427778477,False
KRAS,RHEB,0.0,-0.10045880658438833,0.44101769058109713,0.10731090424494971,0.3121893713326689,0.30671236481806063,0.30685311631271084,0.5487284069192657,-0.6045070510099658,27,18,Colorectal_MSS,0.6,0.9223435286176561,False,20.5,0.0,1.0,0.2751291211934587,False
