cancer,driver,paralog,is_known_sl,dd_trunc,dd_miss,dd_all,n_trunc,n_miss,n_wt
Endometrial,TP53,TP63,False,0.0844956574383302,0.01647220559841192,0.03914668954505134,7,14,7
Endometrial,TP53,TP73,False,0.03651809277222369,-0.03240377207795026,-0.009429817127892287,7,14,7
Endometrial,ATR,ATM,False,-0.0778341041647777,0.17283366105545328,0.033573791488658314,5,4,19
Endometrial,EP300,CREBBP,True,0.17510899507889222,-0.12501643928461423,0.06918237118588991,11,6,11
Endometrial,ATM,ATR,False,0.17946976177326168,0.3324009440852673,0.2559353529292645,6,6,16
Endometrial,SMAD4,SMAD5,False,0.0,0.0,0.0,0,3,25
Endometrial,SMAD4,SMAD6,False,0.0,-0.07683207932840536,-0.07683207932840536,0,3,25
Endometrial,SMAD4,SMAD7,False,0.0,-0.03153775307906209,-0.03153775307906209,0,3,25
Endometrial,SMAD4,SMAD9,False,0.0,-0.024030827407975214,-0.0240308274079752,0,3,25
Endometrial,ERBB2,EGFR,False,0.0,0.009385573510396927,0.009385573510396872,0,6,22
Endometrial,ERBB2,ERBB3,False,0.0,0.17566926876915076,0.17566926876915076,0,6,22
Endometrial,BRCA1,BRCA2,True,0.0,0.0781382455088252,0.02104454132190614,2,4,22
Endometrial,BRCA1,BARD1,False,0.0,0.10196493749042401,0.027678797703064806,2,4,22
Endometrial,STK11,SIK1,True,0.0,-0.05113574516974074,-0.012658108731638982,1,3,24
Endometrial,STK11,SIK2,False,0.0,-0.025066428408297304,-0.030946762721499967,1,3,24
Endometrial,STK11,SIK3,False,0.0,0.07578377798613072,0.027656633301501955,1,3,24
Endometrial,BRAF,RAF1,False,0.18416470235985097,0.03873686515183675,0.12183848641355917,4,3,21
Endometrial,ARID1A,ARID1B,True,0.29767637947725195,0.0,0.29767637947725195,21,0,7
Endometrial,PTEN,TNS1,False,0.020234817635956484,0.0,0.026316142706401077,16,1,11
Endometrial,PTEN,TNS2,False,-0.09100712702397021,0.0,-0.0902732131950828,16,1,11
Endometrial,PPP2R1A,PPP2R1B,True,0.0,-0.10991472292741954,-0.10991472292741954,0,8,20
Endometrial,GATA3,GATA4,False,0.005241180237991763,-0.0017775174737428706,0.0026091685960912825,5,3,20
Endometrial,GATA3,GATA5,False,0.08117218380012604,-0.07719479826351976,0.02178456552625888,5,3,20
Endometrial,GATA3,GATA6,False,0.02940758710465078,-0.03164363001154541,0.006513380686077222,5,3,20
Endometrial,GATA3,ZGLP1,False,0.06998290187560718,-0.06630015656651361,0.018876754959811885,5,3,20
Endometrial,KMT2D,KMT2C,False,0.11197347954111177,0.031495952559753265,0.09408958465636541,14,4,10
Endometrial,PIK3CA,PIK3CB,True,0.0,-0.10604223794275316,-0.10489683703330568,2,13,12
Endometrial,PIK3CA,PIK3CD,False,0.0,0.022636007407975334,-0.0037199292657663086,2,13,12
Endometrial,PIK3CA,PIK3CG,False,0.0,-0.04071529366756139,-0.04536728520892343,2,13,12
Endometrial,KRAS,MRAS,False,0.0,0.0161372598050641,0.016137259805064096,0,7,21
Endometrial,KRAS,NKIRAS1,False,0.0,-0.029465974712964645,-0.029465974712964645,0,7,21
Endometrial,KRAS,NKIRAS2,False,0.0,0.06354052093754438,0.06354052093754438,0,7,21
Endometrial,KRAS,NRAS,False,0.0,-0.07706023299996129,-0.07706023299996129,0,7,21
Endometrial,KRAS,RALA,False,0.0,-0.025178775189778013,-0.025178775189778013,0,7,21
Endometrial,KRAS,RALB,False,0.0,-0.07520561530390048,-0.07520561530390049,0,7,21
Endometrial,KRAS,RAP1A,False,0.0,0.012707305906706323,0.012707305906706323,0,7,21
Endometrial,KRAS,RAP1B,False,0.0,0.0530832804622936,0.0530832804622936,0,7,21
Endometrial,KRAS,RAP2A,False,0.0,0.04439034172646231,0.04439034172646231,0,7,21
Endometrial,KRAS,RAP2B,False,0.0,0.05567933757545,0.05567933757545,0,7,21
Endometrial,KRAS,RAP2C,False,0.0,0.048279943659351524,0.048279943659351524,0,7,21
Endometrial,KRAS,RASD2,False,0.0,0.01641376094285349,0.01641376094285346,0,7,21
Endometrial,KRAS,RASL10A,False,0.0,-0.00917574016965228,-0.00917574016965228,0,7,21
Endometrial,KRAS,RASL10B,False,0.0,0.11145523959673681,0.11145523959673684,0,7,21
Endometrial,KRAS,RASL11A,False,0.0,0.03795789079511271,0.03795789079511271,0,7,21
Endometrial,KRAS,RASL11B,False,0.0,0.050815575874871635,0.050815575874871635,0,7,21
Endometrial,KRAS,RASL12,False,0.0,-0.005213239209476847,-0.005213239209476847,0,7,21
Endometrial,KRAS,RERG,False,0.0,0.048592267140104256,0.048592267140104256,0,7,21
Endometrial,KRAS,RERGL,False,0.0,-0.06409099982156224,-0.06409099982156224,0,7,21
Endometrial,KRAS,RHEB,False,0.0,-0.11421103518528924,-0.11421103518528924,0,7,21
Endometrial,KRAS,RHEBL1,False,0.0,0.05201998084945499,0.05201998084945501,0,7,21
Endometrial,KRAS,RIT1,False,0.0,-0.0077660075855499056,-0.0077660075855499056,0,7,21
Endometrial,KRAS,RIT2,False,0.0,-0.02109301703704379,-0.02109301703704379,0,7,21
Endometrial,KRAS,RRAS,False,0.0,-0.018966329013260824,-0.018966329013260827,0,7,21
Endometrial,KRAS,RRAS2,False,0.0,-0.09729267646597364,-0.09729267646597364,0,7,21
Endometrial,KRAS,DIRAS1,False,0.0,0.026365110361385433,0.026365110361385433,0,7,21
Endometrial,KRAS,DIRAS2,False,0.0,-0.07482753942535864,-0.07482753942535864,0,7,21
Endometrial,KRAS,DIRAS3,False,0.0,-0.023980113858991514,-0.023980113858991486,0,7,21
Endometrial,KRAS,ERAS,False,0.0,0.1179267525295567,0.1179267525295567,0,7,21
Endometrial,KRAS,HRAS,False,0.0,-0.06760918940701699,-0.06760918940701699,0,7,21
Endometrial,FBXW7,FBXW2,True,0.06294769316817711,0.006553854232733629,0.025351800544548116,3,6,19
