cancer,driver,paralog,is_known_sl,dd_trunc,dd_miss,dd_all,n_trunc,n_miss,n_wt
Ovarian,PIK3R1,PIK3R2,False,-0.1476400458905487,0.0,-0.12232569848777546,4,1,49
Ovarian,PIK3R1,PIK3R3,False,0.05973408252783809,0.0,0.04894499378243626,4,1,49
Ovarian,PIK3R1,BLNK,False,-0.052814286886198936,0.0,-0.03535773894415538,4,1,49
Ovarian,PIK3R1,SH2D1A,False,-0.030642781673337477,0.0,-0.029342224849275955,4,1,49
Ovarian,PIK3R1,SH2D1B,False,-0.048922145652037265,0.0,-0.026690761550073182,4,1,49
Ovarian,PIK3R1,SH2D2A,False,0.03932839003694513,0.0,0.06219630724034379,4,1,49
Ovarian,PIK3R1,SH2D4B,False,-0.019394812030352357,0.0,-0.015244376744926284,4,1,49
Ovarian,PIK3R1,SH2D6,False,0.06841617052433327,0.0,0.06841617052433327,4,1,49
Ovarian,PIK3R1,SH2D7,False,-0.0062850888138997335,0.0,-0.02031801388011105,4,1,49
Ovarian,PIK3R1,SHB,False,-0.030152990697785646,0.0,-0.014785236667617604,4,1,49
Ovarian,PIK3R1,SHC1,False,0.12271656304619255,0.0,0.09239781495025123,4,1,49
Ovarian,PIK3R1,SHC2,False,-0.02278944675112035,0.0,-0.044443565302216756,4,1,49
Ovarian,PIK3R1,SHC3,False,0.013551899917045807,0.0,0.02252351212783829,4,1,49
Ovarian,PIK3R1,SHC4,False,0.00687722664576727,0.0,-0.0007869767450335539,4,1,49
Ovarian,PIK3R1,SHD,False,-0.008166540111909523,0.0,0.00223097875262521,4,1,49
Ovarian,PIK3R1,SHE,False,0.00875270572328099,0.0,0.036681855063374263,4,1,49
Ovarian,PIK3R1,SHF,False,-0.025117811080797612,0.0,-0.024251168146500544,4,1,49
Ovarian,PIK3R1,SLA2,False,0.08152436847282096,0.0,0.05533812467562643,4,1,49
Ovarian,PIK3R1,STAP1,False,0.05982265169820543,0.0,0.062438311583174304,4,1,49
Ovarian,PIK3R1,SUPT6H,False,-0.0724781075768135,0.0,0.10305817879759083,4,1,49
Ovarian,PIK3R1,TNS4,False,0.023897540110309354,0.0,-0.0061472550348540544,4,1,49
Ovarian,PIK3R1,CLNK,False,0.05547253891182097,0.0,0.04035826631606062,4,1,49
Ovarian,PIK3R1,CRK,False,-0.30299838172829247,0.0,-0.3063278094146201,4,1,49
Ovarian,PIK3R1,CRKL,False,-0.3259233792989765,0.0,-0.33005408665420277,4,1,49
Ovarian,ARID1A,ARID1B,True,0.38787626641763173,0.02012292755316166,0.32297861838272524,14,3,38
Ovarian,TP53,TP63,False,-0.05122888313150069,-0.013974269226736225,-0.031168706413550594,18,21,15
Ovarian,TP53,TP73,False,-0.08830436273109388,-0.0732653069447169,-0.08020640961535243,18,21,15
Ovarian,STK11,SIK1,True,0.0,-0.04764183876254151,-0.06856459482988259,1,4,50
Ovarian,STK11,SIK2,False,0.0,0.17313322907516912,0.13177246288075037,1,4,50
Ovarian,STK11,SIK3,False,0.0,-0.04977779529985217,6.162346310033262e-05,1,4,50
Ovarian,BRCA2,BRCA1,True,-0.009136151411632376,-0.1149364813672577,-0.04881127514499184,5,3,47
Ovarian,ATM,ATR,False,-0.03053474775987608,0.21617743245031495,0.07519904375877728,4,3,48
Ovarian,SMARCA4,SMARCA2,True,0.021246326650623388,-0.09526772100634208,-0.021122417951909507,7,4,43
Ovarian,EP300,CREBBP,True,-0.055836964470835,0.1935636151411403,0.03768825288365574,5,3,47
Ovarian,ATR,ATM,False,0.0,-0.041841253532447116,-0.041841253532447116,0,3,52
Ovarian,PPP2R1A,PPP2R1B,True,0.0,0.038615732269593805,0.038615732269593805,0,7,48
Ovarian,NF1,RASA1,False,-0.07483440229906747,-0.06575460403154003,-0.07029450316530375,4,4,47
Ovarian,NF1,RASA2,False,-0.034919124417264004,-0.08565695507987285,-0.06028803974856843,4,4,47
Ovarian,SMAD4,SMAD5,False,0.0,0.0,0.0,3,3,49
Ovarian,SMAD4,SMAD6,False,-0.03091788302594542,0.07362683633454087,0.02135447665429771,3,3,49
Ovarian,SMAD4,SMAD7,False,-0.045330611918006546,0.19888234851648695,0.07677586829924019,3,3,49
Ovarian,SMAD4,SMAD9,False,0.027665986718593556,-0.07476515664183775,-0.023549584961622093,3,3,49
Ovarian,PIK3CA,PIK3CB,True,0.0,-0.13543818467346294,-0.11477330748979975,1,13,41
Ovarian,PIK3CA,PIK3CD,False,0.0,-0.01401870035781283,-0.01789168365660912,1,13,41
Ovarian,PIK3CA,PIK3CG,False,0.0,-0.017178356680656016,0.004143976130207828,1,13,41
Ovarian,BRAF,RAF1,False,0.0,0.1976936269171859,0.020168728792848437,2,4,48
Ovarian,PTEN,TNS1,False,-0.02233510125083963,0.0,-0.03992075771187711,5,1,48
Ovarian,PTEN,TNS2,False,0.019965132625005544,0.0,-0.003998855072457397,5,1,48
Ovarian,KRAS,MRAS,False,0.0,-0.029409586640614098,-0.029409586640614105,0,10,45
Ovarian,KRAS,NKIRAS1,False,0.0,-0.02241066633425648,-0.02241066633425648,0,10,45
Ovarian,KRAS,NKIRAS2,False,0.0,-0.059893570380125195,-0.05989357038012518,0,10,45
Ovarian,KRAS,NRAS,False,0.0,-0.05676649104288936,-0.05676649104288936,0,10,45
Ovarian,KRAS,RALA,False,0.0,0.014343965050818308,0.014343965050818336,0,10,45
Ovarian,KRAS,RALB,False,0.0,-0.018797405139885363,-0.018797405139885363,0,10,45
Ovarian,KRAS,RAP1A,False,0.0,0.016419081267081803,0.016419081267081748,0,10,45
Ovarian,KRAS,RAP1B,False,0.0,0.04626277957776864,0.04626277957776864,0,10,45
Ovarian,KRAS,RAP2A,False,0.0,0.02812501129571282,0.02812501129571285,0,10,45
Ovarian,KRAS,RAP2B,False,0.0,0.0031746467378736196,0.0031746467378736196,0,10,45
Ovarian,KRAS,RAP2C,False,0.0,0.061239215966652105,0.06123921596665208,0,10,45
Ovarian,KRAS,RASD2,False,0.0,0.0674652295570295,0.0674652295570295,0,10,45
Ovarian,KRAS,RASL10A,False,0.0,-0.0340710990074122,-0.0340710990074122,0,10,45
Ovarian,KRAS,RASL10B,False,0.0,0.014529803136825586,0.014529803136825586,0,10,45
Ovarian,KRAS,RASL11A,False,0.0,-0.02697750166936748,-0.026977501669367465,0,10,45
Ovarian,KRAS,RASL11B,False,0.0,0.018855834697924005,0.018855834697924005,0,10,45
Ovarian,KRAS,RASL12,False,0.0,0.03453517200912222,0.03453517200912222,0,10,45
Ovarian,KRAS,RERG,False,0.0,-0.04960051156078802,-0.04960051156078801,0,10,45
Ovarian,KRAS,RERGL,False,0.0,-0.0181056794187065,-0.0181056794187065,0,10,45
Ovarian,KRAS,RHEB,False,0.0,-0.04999715741565752,-0.04999715741565752,0,10,45
Ovarian,KRAS,RHEBL1,False,0.0,-0.02615426331198368,-0.026154263311983682,0,10,45
Ovarian,KRAS,RIT1,False,0.0,-0.08789649882760664,-0.08789649882760667,0,10,45
Ovarian,KRAS,RIT2,False,0.0,-0.048073832318513046,-0.048073832318513046,0,10,45
Ovarian,KRAS,RRAS,False,0.0,-0.02987337031972185,-0.029873370319721853,0,10,45
Ovarian,KRAS,RRAS2,False,0.0,-0.16575326592058884,-0.16575326592058887,0,10,45
Ovarian,KRAS,DIRAS1,False,0.0,-0.007347081049979772,-0.007347081049979772,0,10,45
Ovarian,KRAS,DIRAS2,False,0.0,0.029030398524203443,0.029030398524203443,0,10,45
Ovarian,KRAS,DIRAS3,False,0.0,0.010960044411544245,0.010960044411544245,0,10,45
Ovarian,KRAS,ERAS,False,0.0,-0.04515502373539469,-0.045155023735394706,0,10,45
Ovarian,KRAS,HRAS,False,0.0,0.006095518567692082,0.006095518567692082,0,10,45
Ovarian,CTNNB1,JUP,False,0.0,-0.06175198253339246,-0.06175198253339246,0,5,50
Ovarian,ERBB2,EGFR,False,0.0,0.307891629456918,0.307891629456918,0,4,51
Ovarian,ERBB2,ERBB3,False,0.0,0.28444340309661054,0.28444340309661054,0,4,51
Ovarian,KEAP1,KLHL1,False,0.0,0.033973499961716135,0.033973499961716135,0,5,50
Ovarian,KEAP1,KLHL2,False,0.0,0.06677487983749188,0.06677487983749188,0,5,50
Ovarian,KEAP1,KLHL4,False,0.0,-0.05085219962998869,-0.05085219962998869,0,5,50
Ovarian,KEAP1,KLHL5,False,0.0,-0.035357455435498175,-0.035357455435498175,0,5,50
Ovarian,KEAP1,KLHL6,False,0.0,0.01325718540752312,0.013257185407523124,0,5,50
Ovarian,KEAP1,KLHL7,False,0.0,-0.012817572369163734,-0.012817572369163734,0,5,50
Ovarian,KEAP1,KLHL8,False,0.0,-0.017063220404586937,-0.017063220404586965,0,5,50
Ovarian,KEAP1,KLHL9,False,0.0,0.02966916197219846,0.02966916197219846,0,5,50
Ovarian,KEAP1,KLHL10,False,0.0,0.009932058971529822,0.009932058971529822,0,5,50
Ovarian,KEAP1,KLHL11,False,0.0,0.06764846890970772,0.06764846890970772,0,5,50
Ovarian,KEAP1,KLHL12,False,0.0,-0.012310218487705832,-0.012310218487705832,0,5,50
Ovarian,KEAP1,KLHL13,False,0.0,0.004232175993808571,0.004232175993808571,0,5,50
Ovarian,KEAP1,KLHL14,False,0.0,-0.06039017945311575,-0.06039017945311576,0,5,50
Ovarian,KEAP1,KLHL15,False,0.0,0.0002654834654206087,0.0002654834654206087,0,5,50
Ovarian,KEAP1,KLHL17,False,0.0,-0.060059834033118126,-0.060059834033118126,0,5,50
Ovarian,KEAP1,KLHL18,False,0.0,-0.00771466921570424,-0.00771466921570424,0,5,50
Ovarian,KEAP1,KLHL20,False,0.0,0.002698781054519331,0.002698781054519331,0,5,50
Ovarian,KEAP1,KLHL21,False,0.0,-0.025751784725099952,-0.025751784725099952,0,5,50
Ovarian,KEAP1,KLHL22,False,0.0,-0.08265811307325854,-0.08265811307325854,0,5,50
Ovarian,KEAP1,KLHL24,False,0.0,0.0054707827935431275,0.0054707827935431275,0,5,50
Ovarian,KEAP1,KLHL26,False,0.0,0.05316313436763529,0.05316313436763529,0,5,50
Ovarian,KEAP1,KLHL28,False,0.0,-0.003235252427314289,-0.003235252427314289,0,5,50
Ovarian,KEAP1,KLHL29,False,0.0,-0.0012493017303370352,-0.0012493017303370352,0,5,50
Ovarian,KEAP1,KLHL30,False,0.0,-0.01838555084962391,-0.01838555084962391,0,5,50
Ovarian,KEAP1,KLHL31,False,0.0,-0.013925609814513643,-0.013925609814513615,0,5,50
Ovarian,KEAP1,KLHL32,False,0.0,0.0057210715936222775,0.005721071593622264,0,5,50
Ovarian,KEAP1,KLHL34,False,0.0,0.005522165244744859,0.005522165244744859,0,5,50
Ovarian,KEAP1,KLHL35,False,0.0,-0.07777146931844844,-0.07777146931844844,0,5,50
Ovarian,KEAP1,KLHL36,False,0.0,0.02857907607866607,0.02857907607866607,0,5,50
Ovarian,KEAP1,KLHL38,False,0.0,-0.00377451481728934,-0.003774514817289326,0,5,50
Ovarian,KEAP1,KLHL40,False,0.0,0.034078998547885514,0.034078998547885514,0,5,50
Ovarian,KEAP1,KLHL41,False,0.0,-0.007319736148172081,-0.007319736148172081,0,5,50
Ovarian,KEAP1,KLHL42,False,0.0,0.03503743509607678,0.03503743509607678,0,5,50
Ovarian,KEAP1,ENC1,False,0.0,-0.02405054781312673,-0.02405054781312673,0,5,50
Ovarian,FBXW7,FBXW2,True,0.06820796058793559,0.042665925493660516,0.05361251196263554,3,4,48
Ovarian,FBXW7,FBXW4,False,0.03146296929110934,0.044295489908717914,0.03879583821545707,3,4,48
Ovarian,FBXW7,FBXW5,False,0.08443915325175941,-0.011573226296048334,0.02957493636729784,3,4,48
Ovarian,BRCA1,BRCA2,True,0.07987206151304682,0.0,0.07114316196896475,6,1,48
Ovarian,BRCA1,BARD1,False,-0.26761562194299227,0.0,-0.21380867447819196,6,1,48
Ovarian,KMT2D,KMT2C,False,-0.015654392724539362,-0.04026194443498504,-0.029076693657509735,5,6,43
