driver_gene,paralog_gene,cancer_type,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,composite_score,novelty,q_value,mutation_frequency,n_mut,n_wt,is_known_paralog_sl
BRCA1,BRCA2,Breast,0.4558452545254622,0.8802530769400647,0.5178570418749018,-0.1359701645306261,-0.4144616575424274,-0.40795178857579245,0.4630244565014966,0.47540480994612117,Known,0.26544508614220425,0.1,5,45,True
ARID1A,ARID1B,Endometrial,0.003309894996772069,0.04407119630669509,0.07510336169996921,0.29767637947725195,1.324049120408044,1.285484582920431,0.00037201420372441965,0.27894416761019625,Known,0.8785216698622682,0.75,21,7,True
ARID1A,ARID1B,Ovarian,0.01937621078166971,0.2579939212185445,0.07510336169996921,0.38640385708447356,1.412137853001581,1.3920600636224114,0.0013664715761609852,0.24770318055218654,Known,0.3863321894855043,0.2545454545454545,14,41,True
BRCA2,BRCA1,Ovarian,0.25310986003362185,0.5142711758974841,0.49217197442945415,-0.002239962529596906,-0.0067758234326184275,-0.0066794847108276436,0.9901019194072753,0.2384891674792403,Known,0.29848418813417515,0.09090909090909091,5,50,True
PIK3CA,PIK3CB,Endometrial,0.05724431850983213,0.46483442119809837,0.12314991295671783,-0.11905831918078444,-0.6699186520527136,-0.6504064583036054,0.08850327891810232,0.22551799718152626,Known,0.1242893564931961,0.5357142857142857,15,13,True
STK11,SIK1,Lung,0.06875624804734583,1.602489400583445,0.042905898798652024,-0.011715859788212678,-0.08807624165379331,-0.08736403484796748,0.7385509711842787,0.21481548853555624,Known,0.00010706899407994618,0.21052631578947367,20,75,True
PIK3CA,PIK3CB,Breast,0.0,-0.0025922898417785056,0.12314991295671783,-0.25777300297695377,-1.1199382662937618,-1.1023476128964775,9.107834326286931e-05,0.17585019924325293,Known,0.9937847594519446,0.34,17,33,True
BRCA1,BRCA2,Ovarian,0.1390953286975354,0.26859792848223263,0.5178570418749018,0.06380883049544117,0.23989568579856865,0.23648484666399183,0.6233173880993301,0.1603747811733897,Known,0.649755893614936,0.09090909090909091,5,50,True
STK11,SIK1,Cervical,0.056771395060866627,1.323160606127431,0.042905898798652024,0.0362769749574782,0.30395564571724093,0.2873762468599369,0.5191674787535043,0.13589546215929266,Known,0.5409737799092611,0.375,6,10,True
PIK3CA,PIK3CB,Ovarian,0.011723331311107556,0.09519561183309833,0.12314991295671783,-0.1129602117024865,-0.5999131289751068,-0.5913835584209584,0.12225940627693437,0.09981912160562598,Known,0.6749795493611246,0.21818181818181817,12,43,True
FBXW7,FBXW2,Endometrial,0.0,0.015487642597856954,-0.04114348633526994,0.018108516712716516,0.16563171575319938,0.16080749102252367,0.7313413898071391,0.05482603225381226,Known,0.931247735370951,0.2857142857142857,8,20,True
PIK3CA,PIK3CB,Lung,0.0,-0.05677288176255768,0.12314991295671783,-0.05635346982055818,-0.3306327722379159,-0.3279591918694152,0.44437063264787113,0.03359741611502862,Known,0.7725186423107978,0.07368421052631578,7,88,True
PIK3R1,CRKL,Endometrial,0.5910431163288768,0.6167680120657506,0.9582908075100831,0.24495809046351302,0.3176968576971447,0.3084435511622764,0.5355936022087355,0.6766603105204414,Novel,0.1564701114006824,0.25,7,21,False
PIK3R1,SUPT6H,Endometrial,0.3046821259955339,0.15909419860297458,1.9151051934701864,-0.08630182287551591,-0.22533630734150678,-0.218773113923793,0.6419734374138479,0.3369347092329173,Novel,0.9541256752245454,0.25,7,21,False
EGFR,ERBB3,Lung,0.29793492532329974,1.4436962610510875,0.2063695344797716,-0.0063415351211467685,-0.03555025599578261,-0.035262787618458226,0.9167491444036503,0.2933153992759387,Novel,0.05415735096850446,0.05263157894736842,5,90,False
TP53,TP73,Ovarian,0.01978882153457619,0.29593990717124874,0.06686770204035099,-0.08111023637384261,-0.5401610437805282,-0.5324810289400468,0.09637178502144331,0.21350316773919992,Novel,0.12576342888542916,0.7272727272727273,40,15,False
BRCA1,BARD1,Breast,0.0,-0.13151243523327594,0.5766790941296286,-0.4307841523306749,-0.9344818502126482,-0.919804124816638,0.16453270704531367,0.2128585539984624,Novel,0.7562537589979913,0.1,5,45,False
KMT2D,KMT2C,Endometrial,0.0,0.762071667382326,-0.012250047084063395,0.10297463595261083,0.4442020084953226,0.4312640859177889,0.25357353801630184,0.20353978661069316,Novel,0.005573495495762749,0.5,14,14,False
EGFR,ERBB2,Lung,0.19207391057655454,0.5412409820569328,0.3548768791428111,0.020175558199679255,0.0847785000183603,0.08409295958694499,0.7973051474563267,0.20027948621000619,Novel,0.11486465470205139,0.05263157894736842,5,90,False
TP53,TP63,Endometrial,0.03019316766285108,0.35770438437364777,0.08440815651650543,0.03914668954505135,0.2087474612820301,0.20266743813789329,0.5792782222840033,0.19759414595299313,Novel,0.2620533928706717,0.75,21,7,False
KRAS,RAP1B,Lung,0.10610430658853721,0.2496287889843014,0.4250483568832675,0.05900796677165443,0.37438132831149507,0.3713539860340436,0.08701017651685931,0.19639487743077408,Novel,0.3075144356352934,0.37894736842105264,36,59,False
PTEN,TNS2,Endometrial,0.0,-1.0705646229602377,0.23876546949198454,-0.09027321319508283,-0.6441228262168126,-0.625361967200789,0.10600493087116923,0.1959438829996965,Novel,0.031090108790086092,0.6071428571428571,17,11,False
TP53,TP63,Ovarian,0.02320160643287533,0.2748739860032178,0.08440815651650543,-0.02970401422710598,-0.24493180977414408,-0.24144936698114677,0.4319143698814845,0.1925239061268563,Novel,0.12576342888542916,0.7272727272727273,40,15,False
TP53,TP73,Breast,0.0,-0.9241003888173165,0.06686770204035099,-0.029914755622947112,-0.16579627408253725,-0.1631921441231257,0.6726376553614944,0.19062198703241423,Novel,0.13060675564551313,0.82,41,9,False
TP53,TP63,Breast,0.018516725811528655,0.2193712856163117,0.08440815651650543,-0.024276647598105244,-0.13282726604959752,-0.13074097391269285,0.7078083242567705,0.18460421709113414,Novel,0.5552640764378329,0.82,41,9,False
TP53,TP63,Lung,0.004169450083643413,0.049396293625108445,0.08440815651650543,-0.0456346108343885,-0.14967094131164382,-0.1484606641581804,0.5619412965418145,0.17397230780971343,Novel,0.9135442214144666,0.8105263157894737,77,18,False
KRAS,RASL10B,Ovarian,0.0,-1.1784414928398264,0.12293100942354462,0.008083848829413959,0.06431643098236924,0.06340197935702749,0.8809048266437575,0.17189749255683612,Novel,1.127298162678775e-05,0.14545454545454545,8,47,False
TP53,TP73,Lung,0.010672187976378734,0.15960153632823593,0.06686770204035099,0.012036922173920703,0.07681087485001077,0.07618976265445812,0.7750232206514548,0.16387499021808444,Novel,0.9135442214144666,0.8105263157894737,77,18,False
KRAS,RHEB,Endometrial,0.056839135493833286,0.12888175850483563,0.44101769058109713,-0.15944237279714574,-0.5984198749685005,-0.5809901698723305,0.17798039738780963,0.15923702410058557,Novel,0.6531546030225304,0.21428571428571427,6,22,False
KRAS,RASL10B,Endometrial,0.0,-1.594767087906702,0.12293100942354462,0.11341204266004018,1.1627717184251098,1.1289045809952523,0.01198348140070306,0.15774757959488578,Novel,0.0037524159459778037,0.21428571428571427,6,22,False
KRAS,RAP1B,Ovarian,0.08745555748105532,0.20575437139043817,0.4250483568832675,0.12832024380062634,0.6450812497577698,0.6359094784341996,0.0746143062508615,0.15184685872468845,Novel,0.9831295613656933,0.14545454545454545,8,47,False
TP53,TP73,Endometrial,0.0,-0.18243447293883164,0.06686770204035099,-0.00942981712789228,-0.04733803904896034,-0.045959261212582855,0.9141608150876684,0.14369185449367455,Novel,0.791633616039675,0.75,21,7,False
PIK3CA,PIK3CD,Lung,0.09589601241037743,0.47909334335387355,0.20016143772539455,-0.1135234570523501,-0.8975898963621438,-0.8903317570384607,0.0511092674408892,0.1412640847941532,Novel,0.7725186423107978,0.07368421052631578,7,88,False
PTEN,TNS1,Endometrial,0.0,-0.3737291268412437,-0.04627612452586366,0.026316142706401063,0.20430557871594238,0.19835493079217706,0.600636371357359,0.13239983432904287,Novel,0.4061007188219288,0.6071428571428571,17,11,False
KRAS,NRAS,Lung,0.0,-0.17452373891396622,0.22067675715211496,-0.1325687511831194,-0.5064797803207026,-0.502384256490616,0.00955064050955518,0.13014106204276704,Novel,0.6899819163165246,0.37894736842105264,36,59,False
STK11,SIK2,Cervical,0.0,0.33590157680448085,-0.012178680800855225,-0.11069384484034565,-0.8467498607038478,-0.8005635046654561,0.18820937384028186,0.12241851367905456,Novel,0.5409737799092611,0.375,6,10,False
PIK3CA,PIK3CG,Endometrial,0.0,-0.36566202725830677,0.04275735025603428,-0.03763567936800176,-0.39523608108910263,-0.3837243505719443,0.3057359449157245,0.12227484658861829,Novel,0.4522524644122372,0.5357142857142857,15,13,False
PIK3CA,PIK3CG,Breast,0.0,-0.0324001684765427,0.04275735025603428,0.02727069181356068,0.3105036317808227,0.3056266113863595,0.29677168446682095,0.11963325909871919,Novel,0.02101566823503909,0.34,17,33,False
