drug,mean_mut,mean_wt,delta_auc,cohens_d,p_value,t_stat,n_mut,n_wt,mut_sensitive_frac,wt_sensitive_frac,enrichment,abs_delta,abs_cohens_d,bh_q,driver,paralog,context,is_known_sl,dd,n_mut_total,n_wt_total
TRIPTOLIDE,-5.410909697075001,-4.077160603043478,-1.3337490940315222,-1.7755940976293616,0.004507243930833692,-4.121863731707487,4,23,0.75,0.17391304347826086,0.5760869565217391,1.3337490940315222,1.7755940976293616,0.14153804292694616,STK11,SIK1,Ovarian,True,0.08175579296515348,4,29
VINCRISTINE,-2.0010875577,-1.037481966842857,-0.963605590857143,-1.4540874857745376,0.008284393339245102,-3.2820021759955513,8,21,0.625,0.14285714285714285,0.48214285714285715,0.963605590857143,1.4540874857745376,0.2202142374904789,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
CABAZITAXEL,-2.492718991425,-1.7251786296304346,-0.7675403617945653,-1.6810000732055208,0.014445045508705694,-3.552387065590551,4,23,0.75,0.17391304347826086,0.5760869565217391,0.7675403617945653,1.6810000732055208,0.24309905331910775,STK11,SIK1,Ovarian,True,0.08175579296515348,4,29
DANUSERTIB,-1.78300784995,-1.1090045590904762,-0.6740032908595237,-1.9594032465116182,0.0019233630891716726,-4.354785836876716,6,21,0.6666666666666666,0.14285714285714285,0.5238095238095237,0.6740032908595237,1.9594032465116182,0.11202198818168271,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
VERUBULIN,-1.9697749542,-1.3994245363380953,-0.5703504178619048,-1.3745968024067234,0.0010935434685542507,-3.7700636770746723,7,21,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5703504178619048,1.3745968024067234,0.09323954879835854,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
DOCETAXEL,-1.2318380599666667,-0.698525517814815,-0.5333125421518518,-2.49600131198481,0.020632221379394588,-4.661305555799722,3,27,1.0,0.18518518518518517,0.8148148148148149,0.5333125421518518,2.49600131198481,0.14442554965576213,CDH1,CDH2,Colorectal,False,-0.05151362006082269,3,27
EPOTHILONE-B,-2.3303534124666663,-1.7983374306176472,-0.5320159818490191,-1.576888281027996,0.004032420907103716,-3.7537429469495183,3,17,1.0,0.11764705882352941,0.8823529411764706,0.5320159818490191,1.576888281027996,0.17395029499264653,PIK3R1,CRKL,Colorectal,False,0.09117228888317896,3,27
BAY-87-2243,-1.31433008375,-0.7913712789761904,-0.5229588047738096,-1.9203467085575927,0.004808293905673918,-3.9940250399328345,6,21,0.8333333333333334,0.09523809523809523,0.7380952380952381,0.5229588047738096,1.9203467085575927,0.18024937666910945,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
VINDESINE,-1.3557517559857142,-0.8450328319380953,-0.5107189240476189,-1.9934887585489451,1.8686013247277502e-05,-5.467862882816266,7,21,0.7142857142857143,0.09523809523809523,0.6190476190476191,0.5107189240476189,1.9934887585489451,0.013659475683759853,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
VELBAN,-1.5698966064428572,-1.0613015636761904,-0.5085950427666668,-1.5042058869401325,0.0019417516059263384,-3.7686392471890255,7,21,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5085950427666668,1.5042058869401325,0.11202198818168271,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
EXATECAN-MESYLATE,-3.108528708553623,-2.613619142092234,-0.49490956646138917,-0.4456710987173776,7.446349229974736e-05,-4.038067275909188,276,103,0.2898550724637681,0.14563106796116504,0.1442240045026031,0.49490956646138917,0.4456710987173776,0.006491464446366211,TP53,TP63,PanCancer,False,-0.05549724282390584,410,165
VINDESINE,-1.389802401475,-0.9031975898625001,-0.4866048116124998,-1.8394601316190347,0.0005499429082226631,-4.86724663489833,4,24,0.75,0.16666666666666666,0.5833333333333334,0.4866048116124998,1.8394601316190347,0.07122754901153716,FBXW7,FBXW2,Ovarian,True,-0.015815971506365684,5,28
RUBITECAN,-1.8642007495285713,-1.3940636371,-0.47013711242857137,-1.3363443914163724,0.0006143487599495722,-3.9026877780894917,7,21,0.42857142857142855,0.19047619047619047,0.23809523809523808,0.47013711242857137,1.3363443914163724,0.08981778870462744,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
BNC105,-1.1378465779,-0.6824556947199999,-0.4553908831800001,-2.214696020181242,0.0002999407949458974,-4.9529134363737155,5,15,0.8,0.06666666666666667,0.7333333333333334,0.4553908831800001,2.214696020181242,0.16099073590044863,SMARCA4,SMARCA2,Colorectal,True,0.004830555426931754,8,22
SEPANTRONIUM BROMIDE,-2.2711485953507693,-1.8361463206704267,-0.4350022746803426,-0.5453725154131334,0.00023489386472882052,-3.8430298620339265,65,328,0.4461538461538462,0.21341463414634146,0.23273921200750472,0.4350022746803426,0.5453725154131334,0.1177683857820005,SMARCA4,SMARCA2,PanCancer,True,-0.20902245163408067,82,493
