pair,model,n_mut,n_wt,beta_mut,dd,se,ci_lo,ci_hi,p,n,q_bh
SMARCA4->SMARCA2,base,59,1057,-0.3430363394342591,0.3430363394342591,0.0643109166398587,-0.4690834198611398,-0.21698925900737837,9.605680109981061e-08,1116,3.522082706993056e-07
SMARCA4->SMARCA2,cnv_adj,59,1057,-0.3450130117788989,0.3450130117788989,0.06437276596415417,-0.4711813146538669,-0.21884470890393093,8.340114295828761e-08,1116,2.780038098609587e-07
SMARCA4->SMARCA2,expr_adj,59,1057,-0.36016070929624705,0.36016070929624705,0.06417569972387692,-0.48594276943770287,-0.2343786491547912,1.9988109429226523e-08,1116,7.328973457383059e-08
SMARCA4->SMARCA2,lineage_adj,59,1057,-0.30186310334783184,0.30186310334783184,0.06307925499744663,-0.42549617131444545,-0.17823003538121823,1.705981573040355e-06,1116,6.255265767814636e-06
ARID1A->ARID1B,base,121,995,-0.26267774471948857,0.26267774471948857,0.0343791084852112,-0.3300595591710979,-0.19529593026787923,2.1617621317637812e-14,1116,1.1889691724700797e-13
ARID1A->ARID1B,cnv_adj,121,995,-0.26354863635051234,0.26354863635051234,0.0338566198265793,-0.3299063918488725,-0.1971908808521522,7.0123977610865255e-15,1116,3.5061988805432626e-14
ARID1A->ARID1B,expr_adj,121,995,-0.26048564098771,0.26048564098771,0.03339704951935477,-0.32594265523554605,-0.19502862673987392,6.207404760350163e-15,1116,3.41407261819259e-14
ARID1A->ARID1B,lineage_adj,121,995,-0.2679087624098863,0.2679087624098863,0.03653150327694789,-0.3395091931338111,-0.19630833168596148,2.2399027421204218e-13,1116,1.231946508166232e-12
BRCA1->BRCA2,base,22,1094,0.0386614303429412,-0.0386614303429412,0.055706270466216824,-0.07052085348389106,0.14784371416977346,0.48766781448395136,1116,0.5364345959323465
BRCA1->BRCA2,cnv_adj,22,1094,0.01608911907482418,-0.01608911907482418,0.05493354722457287,-0.0915786550283689,0.12375689317801725,0.7696113473569585,1116,0.8551237192855093
BRCA1->BRCA2,expr_adj,22,1094,0.03252262089526114,-0.03252262089526114,0.054732264277506604,-0.07475064588097996,0.13979588767150225,0.5523696840611261,1116,0.6076066524672387
BRCA1->BRCA2,lineage_adj,22,1094,0.042277984983995674,-0.042277984983995674,0.0574265625955666,-0.07027600945924986,0.15483197942724122,0.4616031687958091,1116,0.6347043570942374
EP300->CREBBP,base,78,1038,-0.344232150285736,0.344232150285736,0.07129251789208825,-0.4839629177214064,-0.2045013828500656,1.3760188560954738e-06,1116,3.7840518542625526e-06
EP300->CREBBP,cnv_adj,78,1038,-0.34414697963828345,0.34414697963828345,0.07170028734591959,-0.4846769605174588,-0.20361699875910808,1.5882481723838285e-06,1116,3.970620430959571e-06
EP300->CREBBP,expr_adj,78,1038,-0.3331219282176553,0.3331219282176553,0.07100340742330291,-0.4722860495469529,-0.19395780688835768,2.7103301165668362e-06,1116,7.453407820558799e-06
EP300->CREBBP,lineage_adj,78,1038,-0.3255174805651777,0.3255174805651777,0.07276753441714943,-0.4681392272665694,-0.182895733863786,7.698956893234798e-06,1116,2.1172131456395696e-05
PIK3CA->PIK3CB,base,114,1002,0.12365566765936689,-0.12365566765936689,0.014924119752556062,0.09440493044339418,0.1529064048753396,1.1748991240029585e-16,1116,1.2923890364032542e-15
PIK3CA->PIK3CB,cnv_adj,114,1002,0.1252738701061442,-0.1252738701061442,0.015214784336560334,0.0954534407739418,0.15509429943834657,1.8152786271479749e-16,1116,1.8152786271479748e-15
PIK3CA->PIK3CB,expr_adj,114,1002,0.13099656595620768,-0.13099656595620768,0.015763336105661458,0.10010099491291136,0.161892136999504,9.55362994970756e-17,1116,1.0508992944678316e-15
PIK3CA->PIK3CB,lineage_adj,114,1002,0.13099925961032033,-0.13099925961032033,0.017795196643924024,0.0961213150904212,0.16587720413021945,1.8186117844538488e-13,1116,1.231946508166232e-12
AKT1->AKT2,base,4,1112,0.09883772061039078,-0.09883772061039078,0.05229541856130114,-0.0036594163262069074,0.2013348575469885,0.05875954691206652,1116,0.12927100320654636
AKT1->AKT2,cnv_adj,4,1112,0.10766357277378925,-0.10766357277378925,0.06363865101262334,-0.01706589123566593,0.23239303678324444,0.09068500378406774,1116,0.18137000756813548
AKT1->AKT2,expr_adj,4,1112,0.08811546640582833,-0.08811546640582833,0.061084682284867624,-0.03160831087958407,0.20783924369124074,0.14915762332357146,1116,0.3281467713118572
AKT1->AKT2,lineage_adj,4,1112,0.14118699218814337,-0.14118699218814337,0.09420739014170165,-0.04345609956710561,0.32583008394339236,0.13395594929090993,1116,0.29470308844000187
STK11->SIK1,base,45,1071,0.01723516368517855,-0.01723516368517855,0.018809257932752194,-0.01963030443894006,0.05410063180929716,0.35950285963355333,1116,0.5364345959323465
STK11->SIK1,expr_adj,45,1071,0.01561349714472559,-0.01561349714472559,0.020342946501122356,-0.024257945336899338,0.05548493962635052,0.4427759462009868,1116,0.5411706009123172
STK11->SIK1,lineage_adj,45,1071,0.02570403112469333,-0.02570403112469333,0.019818707691985682,-0.013139922171725545,0.0645479844211122,0.19464564469459922,1116,0.35685034860676523
FBXW7->FBXW2,base,54,1062,-0.013792758902003467,0.013792758902003467,0.016618538963558235,-0.0463644967462532,0.01877897894224627,0.40656016443727605,1116,0.5364345959323465
FBXW7->FBXW2,cnv_adj,54,1062,-0.012242023991334868,0.012242023991334868,0.01659691343683892,-0.04477137658206804,0.02028732859939831,0.4607524045438275,1116,0.5974817753750395
FBXW7->FBXW2,expr_adj,54,1062,-0.013830165704296992,0.013830165704296992,0.016568764598640453,-0.046304347585954524,0.018644016177360535,0.40387923537458303,1116,0.5411706009123172
FBXW7->FBXW2,lineage_adj,54,1062,-0.011047901349398235,0.011047901349398235,0.018218704093493437,-0.046755905217637825,0.02466010251884136,0.5442462829338817,1116,0.6651899013636331
PPP2R1A->PPP2R1B,base,9,1107,-0.0744345370144247,0.0744345370144247,0.05636541697142761,-0.18490872425200555,0.036039650223156125,0.18664443612750348,1116,0.3421814662337564
PPP2R1A->PPP2R1B,cnv_adj,9,1107,-0.07439738267191577,0.07439738267191577,0.05645350288049464,-0.18504421511881347,0.036249449774981915,0.18755307211990468,1116,0.3125884535331745
PPP2R1A->PPP2R1B,expr_adj,9,1107,-0.07433085046294259,0.07433085046294259,0.056571561412254764,-0.1852090733801578,0.03654737245427263,0.18887107800829483,1116,0.34626364301520723
PPP2R1A->PPP2R1B,lineage_adj,9,1107,-0.06559701232710766,0.06559701232710766,0.05661415530305623,-0.1765587177362552,0.04536469308203987,0.24659152324167466,1116,0.3875009650940602
CDK4->CDK6,base,4,1112,0.24834988319476875,-0.24834988319476875,0.3491220482830381,-0.4359167576488398,0.9326165240383772,0.4768639780485996,1116,0.5364345959323465
CDK4->CDK6,cnv_adj,4,1112,0.25226820294275554,-0.25226820294275554,0.3555344308865791,-0.4445664768588845,0.9491028827443956,0.47798542030003166,1116,0.5974817753750395
CDK4->CDK6,expr_adj,4,1112,0.33519641622290475,-0.33519641622290475,0.3840800007233241,-0.41758655237692843,1.087979384822738,0.382812707267259,1116,0.5411706009123172
CDK4->CDK6,lineage_adj,4,1112,0.14113736329542992,-0.14113736329542992,0.32082184140086917,-0.4876618913040949,0.7699366178949547,0.6599918467480256,1116,0.7259910314228282
MAP2K1->MAP2K2,base,8,1108,-0.0005912572337674754,0.0005912572337674754,0.05009060669442415,-0.09876704231859974,0.09758452785106479,0.9905821850678866,1116,0.9905821850678866
