cancer,n_lines,n_pairs,n_known,auroc_signed_dd,auroc_welch_t,auroc_hedges_g,delta_t_minus_dd,delta_g_minus_dd
NSCLC,95,96,5,0.6637362637362637,0.701098901098901,0.6879120879120879,0.03736263736263734,0.0241758241758242
SCLC,121,99,5,0.6510638297872341,0.648936170212766,0.648936170212766,-0.0021276595744681437,-0.0021276595744681437
Mesothelioma,21,2,0,,,,,
Colorectal,59,62,5,0.775438596491228,0.7614035087719299,0.7719298245614035,-0.014035087719298178,-0.0035087719298245723
Esophagogastric,62,50,3,0.6737588652482269,0.6737588652482269,0.6737588652482269,0.0,0.0
Pancreatic,44,9,1,,,,,
Hepatocellular,24,4,0,,,,,
Biliary Tract,39,38,0,,,,,
Breast,50,12,2,0.15,0.2,0.15,0.05000000000000002,0.0
Ovarian,55,50,7,0.6112956810631229,0.6445182724252492,0.6378737541528239,0.03322259136212624,0.02657807308970095
Endometrial,31,62,5,0.519298245614035,0.49473684210526314,0.4982456140350877,-0.024561403508771895,-0.021052631578947323
Cervical,16,3,1,,,,,
Renal Cell,26,4,0,,,,,
Bladder Urothelial,30,18,2,0.53125,0.53125,0.53125,0.0,0.0
Melanoma,78,22,1,,,,,
Glioma,66,19,0,,,,,
Neuroblastoma,33,2,0,,,,,
Osteosarcoma,19,0,0,,,,,
Ewing Sarcoma,18,0,0,,,,,
Rhabdomyosarcoma,12,0,0,,,,,
Other Sarcoma,33,4,0,,,,,
HNSCC,60,13,1,,,,,
Thyroid,10,0,0,,,,,
