driver_gene,paralog_gene,cancer_type,signed_dd,welch_t,hedges_g,n_mut,n_wt,sufficient_dep_n,is_known_paralog_sl
ARID1A,ARID1B,Ovarian,0.38640385708447356,3.940351384749063,1.3920600636224114,14,41,True,True
BRCA1,BRCA2,Ovarian,0.06380883049544117,0.5234095865407096,0.23648484666399183,5,50,True,True
BRCA1,BARD1,Ovarian,-0.19499085555491447,-1.025187349545882,-0.5459659924899679,5,50,True,False
BRCA2,BRCA1,Ovarian,-0.002239962529596906,-0.01311190748834702,-0.0066794847108276436,5,50,True,True
KRAS,RASL10B,Ovarian,0.008083848829413959,0.15441863992850122,0.06340197935702749,8,47,True,False
KRAS,RAP1B,Ovarian,0.12832024380062634,1.9440884318761118,0.6359094784341996,8,47,True,False
KRAS,RRAS2,Ovarian,-0.1998681319662348,-5.8855228282659775,-1.4798354392520745,8,47,True,False
KRAS,DIRAS2,Ovarian,0.08694729558831935,2.5947773719672464,0.8396937369660163,8,47,True,False
KRAS,HRAS,Ovarian,-0.029302529237292207,-0.7603175989461577,-0.24961079152453838,8,47,True,False
KRAS,RASL12,Ovarian,0.056110569612969896,0.7055180432979066,0.30607885611905244,8,47,True,False
KRAS,RRAS,Ovarian,-0.06224508277688791,-2.157677270055352,-0.6510683297062279,8,47,True,False
KRAS,NRAS,Ovarian,-0.07269024085600276,-0.9020839600668321,-0.22072735118341466,8,47,True,False
KRAS,RIT1,Ovarian,-0.05968329841259998,-1.5484119424159328,-0.47911417384840543,8,47,True,False
KRAS,RALA,Ovarian,0.035101636765770244,1.155082148382225,0.37868703454655406,8,47,True,False
KRAS,RASD2,Ovarian,0.08549797540752818,1.7335479392991784,0.7023498718003989,8,47,True,False
KRAS,RAP1A,Ovarian,0.043624089384770304,0.6643021283707777,0.2856329424643349,8,47,True,False
KRAS,RALB,Ovarian,-0.030908998721619604,-1.8411642367166736,-0.4765403927425377,8,47,True,False
KRAS,RAP2C,Ovarian,0.06286204370454826,0.873554285382627,0.36708725160625155,8,47,True,False
KRAS,RIT2,Ovarian,-0.054086677067460676,-2.3834247501164896,-0.5903085310082531,8,47,True,False
KRAS,NKIRAS2,Ovarian,-0.05265083595808204,-1.2266129196156845,-0.44158726888331346,8,47,True,False
KRAS,RHEB,Ovarian,-0.03947451509617006,-0.418176778246583,-0.1605227077102618,8,47,True,False
KRAS,RASL10A,Ovarian,-0.020656081984952224,-0.5411193113117916,-0.18568533190067862,8,47,True,False
KRAS,RHEBL1,Ovarian,-0.02564068485944545,-0.7568172776357202,-0.22725181258411145,8,47,True,False
KRAS,DIRAS3,Ovarian,0.03178829009072706,1.1501980048101141,0.35666133309265846,8,47,True,False
KRAS,RAP2B,Ovarian,-0.030890681479567778,-0.3614958580275167,-0.15117837124337616,8,47,True,False
KRAS,ERAS,Ovarian,-0.015957479390374965,-0.6317273820862894,-0.18389404163292022,8,47,True,False
KRAS,RERGL,Ovarian,0.0038852102104396935,0.10018250073152278,0.03488608226533527,8,47,True,False
KRAS,RASL11A,Ovarian,-0.013392739211532168,-0.5663207296269286,-0.18632489702624416,8,47,True,False
