pair,gene_a,gene_b,hit_any_line,signed_dd_maxabs,welch_t_maxabs,hedges_g_maxabs
ABCC3|ATP5PB,ABCC3,ATP5PB,0,0.17377241533474524,2.0959599939046583,0.8691424531603226
ABL1|ABL2,ABL1,ABL2,0,-0.15713620788991173,-1.6358680208613592,-1.1135961604709697
ABT1|LGALS9,ABT1,LGALS9,0,0.008805873387330299,0.06621378761542836,0.039151871409737825
ABTB2|BTBD11,ABTB2,BTBD11,0,,,
ACACA|ACACB,ACACA,ACACB,0,-0.1690824684720646,2.888942068920641,1.0195594852304093
ACTL6A|ACTL6B,ACTL6A,ACTL6B,0,0.1832981337489552,-0.8746899028609898,0.4256763203426545
ADAM19|NHLRC1,ADAM19,NHLRC1,0,0.1350415277315387,2.161855935243716,-0.9705117703507848
ADAP1|ADAP2,ADAP1,ADAP2,0,-0.015046383964796989,-0.20378447637954455,-0.08988573407367831
ADARB1|ADARB2,ADARB1,ADARB2,0,-0.1938841925766034,3.8010957643860626,-1.3946908825727709
ADM|RAMP2,ADM,RAMP2,0,,,
ADSS|ADSSL1,ADSS,ADSSL1,1,,,
AFG3L2|LONP1,AFG3L2,LONP1,0,0.4968867936834932,-2.2836298396867227,0.7534234511963038
AHCYL1|AHCYL2,AHCYL1,AHCYL2,1,-0.1445825188398182,-1.461718601136819,-0.8336777942629963
AKIRIN1|AKIRIN2,AKIRIN1,AKIRIN2,1,,,
ALAS1|ALAS2,ALAS1,ALAS2,0,-0.18440032603860237,-2.9197263194825984,-1.5797763565715213
ALAS1|SPTLC2,ALAS1,SPTLC2,0,0.16365736326878508,1.6518380928627834,0.6912552676404227
ALDOA|RSPH1,ALDOA,RSPH1,0,0.343651724731022,-2.423336732723564,-0.9058791604283204
ALDOC|PKM,ALDOC,PKM,1,0.20328752988226884,0.9639294721816427,0.5297344097969802
ALG14|TSTD1,ALG14,TSTD1,0,,,
ANAPC4|PTTG1,ANAPC4,PTTG1,1,,,
ANXA1|PCGF1,ANXA1,PCGF1,0,,,
AOX1|XDH,AOX1,XDH,0,-0.08289304972630443,-2.5180142798984853,-0.8504851591775457
AP1G1|AP1G2,AP1G1,AP1G2,0,0.11015205816113663,1.4149940394501153,0.7345233285682893
AP2A1|AP2A2,AP2A1,AP2A2,1,-0.0947511091937269,-2.3287772294688778,-0.619862523902241
AP3M1|AP5M1,AP3M1,AP5M1,0,0.15982783990809338,6.1668578693936835,1.806727154486708
APH1A|APH1B,APH1A,APH1B,0,0.006900661778939332,0.06403946637161852,0.03622145951614743
APOBEC3C|PDCD6IP,APOBEC3C,PDCD6IP,0,0.05270478684870629,1.2335746452448428,0.6616605451133196
ARFGEF1|ARFGEF2,ARFGEF1,ARFGEF2,1,-0.4590446916267951,2.492833442589307,1.1732167888566067
ARFIP1|ARFIP2,ARFIP1,ARFIP2,0,-0.02599237788693179,-0.2481432576734901,-0.16587067034029962
ARHGEF3|NET1,ARHGEF3,NET1,0,-0.12152279725315697,-1.938412609861469,-0.8699631591067594
ARHGEF6|ARHGEF7,ARHGEF6,ARHGEF7,0,0.05168246767463208,1.2153074562531967,0.5544103094877241
ARID1A|ARID1B,ARID1A,ARID1B,1,-0.7588957673251515,-4.146204839097141,-1.471091288613149
ARID4A|DZIP3,ARID4A,DZIP3,0,-0.2285928648204164,-2.6176813279518574,-1.5056197800752782
ARPC5|ARPC5L,ARPC5,ARPC5L,1,,,
ARSJ|PCGF1,ARSJ,PCGF1,0,0.21451069313346324,3.0335047048258783,1.3423974563631802
ASCL1|SP110,ASCL1,SP110,0,-0.09302613666888034,-1.8572316410729233,-0.687402969515283
ASCL1|TAP1,ASCL1,TAP1,0,0.10956153990868589,-2.759932413339523,0.8003096704165733
ASF1A|ASF1B,ASF1A,ASF1B,1,,,
ASF1B|HASPIN,ASF1B,HASPIN,0,-0.12558012883770764,-0.8841411578210489,-0.6012957489568893
ATAD2|ATAD2B,ATAD2,ATAD2B,0,0.10429636173034128,2.0389579900010344,0.8252297964727701
ATM|MDM4,ATM,MDM4,0,0.1723823523928808,2.392257077755806,0.6523925587604726
ATP5F1A|GBP3,ATP5F1A,GBP3,0,-0.06961157619354684,-0.6297540739608193,-0.36983658352694426
ATP5F1A|S100A6,ATP5F1A,S100A6,0,0.07801571720377443,2.047019803009721,0.8158615164714578
ATP5F1B|EPHA2,ATP5F1B,EPHA2,0,-0.2835661655077225,-2.8190543746523664,-0.984923226978421
ATP5F1B|LIF,ATP5F1B,LIF,0,-0.06511624902527044,-3.552030740188716,-0.8188809468063498
ATP5F1B|SAMD9,ATP5F1B,SAMD9,1,0.27968245389261803,-2.0881307690020128,0.8716256613077136
ATP5F1D|HRH1,ATP5F1D,HRH1,0,-0.33454317151874613,-1.9239099110674827,-0.9593265173465265
ATP5PB|S100A6,ATP5PB,S100A6,0,,,
ATP6V1B1|ATP6V1B2,ATP6V1B1,ATP6V1B2,0,0.24376174703688025,1.4025794923386117,0.4644024067976738
ATP6V1C1|ATP6V1C2,ATP6V1C1,ATP6V1C2,0,0.11562042769804048,1.878462704236314,0.780593835532357
ATP6V1C2|ATP6V1D,ATP6V1C2,ATP6V1D,0,0.12991640335805366,1.244815148560475,0.5865633656956651
ATP6V1E1|ATP6V1E2,ATP6V1E1,ATP6V1E2,1,,,
ATP7A|ATP7B,ATP7A,ATP7B,0,0.10116970950580975,2.4661421897615927,1.1030227306668712
ATP8B3|MYBL2,ATP8B3,MYBL2,0,0.43471204028454297,4.462100993428566,1.6470267844991267
AXL|PCGF1,AXL,PCGF1,0,-0.09892793278220796,1.1530644774690504,0.5112994973550602
BATF3|STX4,BATF3,STX4,0,-0.7530326782818113,-2.7737903268979607,-1.7193763793978785
BCAP31|NXT1,BCAP31,NXT1,0,-1.2898855664941147,-2.6878455535132635,-1.7080634338171283
BECN1|BECN2,BECN1,BECN2,0,-0.020473350083013986,-0.35759539223983733,-0.12274245032261509
BICD1|BICD2,BICD1,BICD2,0,0.08873247683437663,1.1751308617965042,0.7072609633910064
BRD8|TRRAP,BRD8,TRRAP,0,0.3045046746487279,2.084004278885278,1.2549398243297076
BRSK1|BRSK2,BRSK1,BRSK2,0,0.08463175641301365,1.9993779615055867,0.7808222937934267
BUB1B|BUB3,BUB1B,BUB3,0,0.6850192269067106,-2.4878911546349873,0.9010114185253407
BUB1B|SKA1,BUB1B,SKA1,0,-0.21993244369991538,2.3809983322460173,0.847720951363455
BZW1|BZW2,BZW1,BZW2,1,-0.07441359334101902,-0.9702643758225103,-0.5410896166024753
CAB39|CAB39L,CAB39,CAB39L,1,-0.08990420492319835,-1.6511211818552798,-0.8567814874108257
CADPS|CADPS2,CADPS,CADPS2,0,-0.2165942642538891,3.100839438953677,-1.1649627654690105
CAND1|CAND2,CAND1,CAND2,0,-0.15784884031150648,-2.5570240658086347,-0.8497167118809544
CAP1|CAP2,CAP1,CAP2,0,0.14087976937078084,1.5612987306925272,0.510451755017728
CAPN2|LDB1,CAPN2,LDB1,0,-0.32985489473398794,-3.8632486301844793,-2.0373965645513152
CASP4|PCGF1,CASP4,PCGF1,0,0.04891552076753639,0.36283453248769093,0.2177445424974198
CAT|SOD1,CAT,SOD1,1,,,
CAV1|PCGF1,CAV1,PCGF1,0,,,
CAVIN1|PCGF1,CAVIN1,PCGF1,0,,,
CBLL1|CBLL2,CBLL1,CBLL2,0,0.06186040738106873,1.1824322602684636,0.45286550155318556
CCND1|CCND3,CCND1,CCND3,0,0.3208258057010006,2.157373226905414,0.6031882360951731
CCND1|CCNE1,CCND1,CCNE1,0,0.550380775370678,4.395203320181079,1.2606019717542376
CCNE1|CCNE2,CCNE1,CCNE2,1,-0.45912673780125607,-2.534256168847221,-1.6271567907989213
CCNL1|CCNL2,CCNL1,CCNL2,1,0.5378741973103592,3.3314434765203127,1.1665282649307642
CCNT1|CCNT2,CCNT1,CCNT2,1,-0.14715557980806845,-2.558616768002282,-0.9337280842039539
CCT6A|CCT6B,CCT6A,CCT6B,0,0.24126676796730084,4.4487593331469,1.4283895816231287
CD163L1|SLCO2B1,CD163L1,SLCO2B1,0,-0.1354670656464097,2.1799511727945444,0.8728272930000487
CD44|MRPL55,CD44,MRPL55,0,,,
CD72|FCRL3,CD72,FCRL3,0,0.06752082899754655,2.8269116744190175,0.684132417571547
CDC34|RNF10,CDC34,RNF10,0,-0.05689121165686474,-1.092424542836822,-0.40557322656080114
CDIPT|IRF6,CDIPT,IRF6,0,-0.4061512043522316,-1.7047606340360877,-0.8569320446492966
CDIPT|PCDH1,CDIPT,PCDH1,0,-0.43980477766315607,6.30425317206706,1.1828994028859825
CDIPT|TSTD1,CDIPT,TSTD1,0,,,
CDK16|CDK17,CDK16,CDK17,0,-0.13179981073400748,-1.0818210446331191,-0.7550539496939324
CDK19|THRAP3,CDK19,THRAP3,0,0.07238815184372414,3.8504852990946175,1.040290477223786
CDK2|CDK7,CDK2,CDK7,0,0.2812514613426418,3.033903123364992,0.9162216590719069
CDK5R1|CDK5R2,CDK5R1,CDK5R2,0,-0.11127710091143775,-1.756977167178288,-0.792190373014182
CDK19|CDK8,CDK8,CDK19,1,-0.07387675586902225,0.9476241289517238,-0.3948619192817687
CDNF|MANF,CDNF,MANF,0,,,
CDS1|CDS2,CDS1,CDS2,1,0.15980436995617026,1.3684066101130345,0.6992588261213021
CEACAM1|WDR12,CEACAM1,WDR12,0,-0.07427870466543873,-0.5118531741231711,-0.26463467389613765
CFL1|PFN1,CFL1,PFN1,0,,,
CHM|CHML,CHM,CHML,1,-0.11432339711016468,-0.39351144877632127,-0.3065405722413541
CHMP1A|CHMP1B,CHMP1A,CHMP1B,1,0.1504157644720351,0.9828720937700592,0.68810821519559
CHORDC1|ITGB1BP2,CHORDC1,ITGB1BP2,1,-0.28451759653170017,-2.0262695819706167,-0.8139639328427333
CHSY1|CHSY3,CHSY1,CHSY3,0,-0.2629912437839732,-8.448536417851583,-2.9509209874633395
CHUK|IKBKB,CHUK,IKBKB,1,-0.11394407246240193,-1.2541667799073606,-0.777955036704694
CHUK|TANK,CHUK,TANK,0,-0.05619203153907834,-1.220186190064502,-0.3852711189123435
CKAP5|KIF11,CKAP5,KIF11,0,-0.31706439870158976,-2.942613632910217,-0.8200006748176039
CKAP5|TACC3,CKAP5,TACC3,0,-0.49500402680103683,-2.6317122111153988,-1.17328418420754
CLASP1|CLASP2,CLASP1,CLASP2,1,,,
CLDN4|TIMM10,CLDN4,TIMM10,0,0.2918405260982957,0.6251607840881857,0.4142777889017147
CLIP4|SPDEF,CLIP4,SPDEF,0,0.02688403976215592,0.7775081009887553,0.2797552290686486
CLNS1A|SNRPD3,CLNS1A,SNRPD3,0,,,
CLTB|CLTC,CLTB,CLTC,0,-0.10459701927144699,3.316181180136805,0.8059919701830593
CLTC|CLTCL1,CLTC,CLTCL1,0,0.5043810082323641,2.0035028959137104,1.0455811164251505
CNOT6|CNOT6L,CNOT6,CNOT6L,0,-0.1436539200396365,-1.340632832282294,-0.6440627511214749
CNOT7|CNOT8,CNOT7,CNOT8,1,,,
COPG1|COPG2,COPG1,COPG2,1,-0.2764447555177403,-0.9513982053720426,-0.4137934951526163
COPS7A|COPS7B,COPS7A,COPS7B,1,0.1319481303927802,4.3334148944788655,1.4245669413874862
COPZ1|COPZ2,COPZ1,COPZ2,0,,,
COQ10A|COQ10B,COQ10A,COQ10B,1,,,
COX4I1|COX4I2,COX4I1,COX4I2,0,-0.13031968187178397,-1.2684765280017576,-0.7272643002353183
COX6B1|COX6B2,COX6B1,COX6B2,0,,,
COX6B1|CTSZ,COX6B1,CTSZ,0,-0.02805573317364407,-0.2319102163148979,-0.1221213235648521
CPS1|ZNF407,CPS1,ZNF407,0,0.16152874967369857,2.8264166846131955,0.7628647816668397
CREBBP|EP300,CREBBP,EP300,1,-0.9717775817213439,-4.020913428993295,-1.9771174223831027
CRK|CRKL,CRK,CRKL,1,,,
CRY1|CRY2,CRY1,CRY2,0,0.18174173485787554,1.23101354687201,0.72801415462502
CSTF2|CSTF2T,CSTF2,CSTF2T,1,-0.16738187358102108,-3.0088721685836735,-1.2017225992482705
CTPS1|CTPS2,CTPS1,CTPS2,1,-0.2684505008921838,-0.7071538708559563,-0.43984899484160117
CTR9|PAF1,CTR9,PAF1,1,0.2738516608821374,2.4985433583351573,1.003137724577144
CWF19L1|RBM22,CWF19L1,RBM22,0,-0.3882028249868983,-1.3663473620129425,-0.9221138403496192
CYFIP1|CYFIP2,CYFIP1,CYFIP2,0,0.11931974290416239,1.8623589756034362,0.7150476486285917
CYP26C1|NSDHL,CYP26C1,NSDHL,0,-0.22928994756473378,-4.860797024267455,-1.9812889615519758
CYP2A6|CYP2C8,CYP2A6,CYP2C8,0,0.020529946504836638,0.2856006249471882,0.1287386542600042
DBT|OGDHL,DBT,OGDHL,0,0.13480525965312365,2.6048361268302394,1.2669484737393206
DDI1|DDI2,DDI1,DDI2,0,-0.0534307105924921,-0.7069585761524027,-0.4248062395761657
DDX39A|DDX39B,DDX39A,DDX39B,1,-0.549129524634601,-1.266882326659784,-0.7152641563899917
DDX17|DDX5,DDX5,DDX17,1,0.14047371007718235,1.0823706856202835,0.5739035838566318
DEGS1|DEGS2,DEGS1,DEGS2,0,0.0773048090819203,1.3789283264063903,0.7339416391455321
DENND5A|DENND5B,DENND5A,DENND5B,0,0.12328435141195929,1.80540431507295,0.7362077568939129
DGAT1|MOGAT2,DGAT1,MOGAT2,0,-0.019176829026267647,0.7320496386723789,0.21754948933904425
DGAT1|SOAT1,DGAT1,SOAT1,0,0.14121540657542347,3.5337670907910796,1.5249123680363448
DGKI|DGKZ,DGKI,DGKZ,0,-0.16210530718412072,2.2583151125562515,-0.8191300116907878
DHX29|DHX9,DHX9,DHX29,1,-0.5933767937318086,3.1624518852198666,0.8560070697943994
DLL1|DLL4,DLL1,DLL4,0,0.04453834936953246,-0.7823745526107487,0.3649629576909269
DMD|UTRN,DMD,UTRN,0,-0.13062932432258495,2.9887894795767274,0.9636985781529135
DMXL1|DMXL2,DMXL1,DMXL2,1,-0.203668988597475,-2.6087089407258417,-0.7682276275578888
DNAJC15|DNAJC19,DNAJC15,DNAJC19,1,,,
DST|MACF1,DST,MACF1,0,-0.2502146370825563,-2.3910176762518667,1.1177904378200008
DUOX1|DUOX2,DUOX1,DUOX2,0,0.09079538248577268,1.9094859445066352,0.7738768080143659
DUSP10|MRPL27,DUSP10,MRPL27,1,0.015207580938500831,0.1550771292245199,0.0662778381205845
DUSP10|MTG2,DUSP10,MTG2,0,0.18160305375333763,0.9354693233968467,0.5001537951745546
DUSP10|TAMM41,DUSP10,TAMM41,0,0.3697074655728824,3.055800882076161,1.0340940041086364
DUSP10|TIMM10,DUSP10,TIMM10,0,0.6091151187505838,2.987416241791903,1.29462776788118
DUSP10|TUFM,DUSP10,TUFM,0,0.14370768017660826,2.6312264947523545,0.7970242399008917
DYNC1LI1|DYNC1LI2,DYNC1LI1,DYNC1LI2,1,0.04867450021513035,-0.982646693595569,0.40117455229901205
DYNLRB1|DYNLRB2,DYNLRB1,DYNLRB2,0,,,
DYNLT1|DYNLT3,DYNLT1,DYNLT3,0,,,
DZIP1L|STX4,DZIP1L,STX4,0,-0.38047803224150484,-1.6610496588084853,-0.7425618687368533
E2F3|E2F4,E2F3,E2F4,1,0.10653825807633216,0.9882684172353414,0.3520175012815124
E2F3|RB1,E2F3,RB1,0,-0.7965065319419418,-5.062696321802404,-2.2499980335500016
EAF1|EAF2,EAF1,EAF2,1,0.015089247362415181,0.09998297437924032,0.05551550092308503
EEFSEC|IFIH1,EEFSEC,IFIH1,0,0.2993579083081477,-4.9660571141688665,-1.132354617212855
