nec_decile,necessity_range,n_entries,n_positives,mean_dd_pos,mean_dd_neg,median_dd_pos,median_dd_neg,dd_separation_pos_minus_neg,auroc_signed_dd_within_decile
1,"[-0.1621, -0.0833]",11,0,,-0.0010424403687859915,,-0.0159574793903749,,
2,"[-0.0610, -0.0463]",12,0,,0.008474693635981358,,-0.02076571034075825,,
3,"[-0.0448, -0.0157]",11,1,0.0181085167127165,-0.010500515058277211,0.0181085167127165,-0.00286973843078475,0.02860903177099371,0.9
4,"[-0.0143, 0.0270]",10,0,,-0.016757850516386667,,-0.0208258535779883,,
5,"[0.0327, 0.0491]",11,1,0.0362769749574782,-0.0031817910773368095,0.0362769749574782,0.0018065436001188002,0.039458766034815004,0.8
6,"[0.0566, 0.0784]",11,2,0.34204011828086267,-0.025977200448317823,0.34204011828086267,-0.0094298171278922,0.3680173187291805,1.0
7,"[0.0844, 0.1399]",11,2,-0.11600926544163545,0.028009508920164645,-0.11600926544163545,0.0310512214790214,-0.1440187743618001,0.0
8,"[0.1527, 0.1855]",11,0,,-0.005862376338379744,,0.0073757976108595,,
9,"[0.1918, 0.2217]",11,0,,-0.02484555175925276,,-0.0110009487702485,,
10,"[0.2388, 1.9151]",11,2,0.0307844339829221,-0.021998479479033814,0.0307844339829221,-0.03947451509617,0.05278291346195592,0.7222222222222222
