pair,gene_a,gene_b,hit_union,hit_h1299,hit_mdamb231,dd_min3,abs_dd,max_abs_mean_chronos,min_abs_mean_chronos,mrna_coexpression
CSNK2A1_CSNK2A2,CSNK2A1,CSNK2A2,1,1,1,-0.1375385641698918,0.1375385641698918,0.11507091871880923,0.0045091744866519986,0.3345253623163733
ARFGEF1_ARFGEF2,ARFGEF1,ARFGEF2,1,1,1,-0.4590446916267951,0.4590446916267951,0.09799573207392973,0.02330346323347428,0.29252543084941407
SAR1A_SAR1B,SAR1A,SAR1B,1,1,1,-0.0129817532643121,0.0129817532643121,0.0952280699676406,0.027502245588293967,0.3848078982281729
PITPNA_PITPNB,PITPNA,PITPNB,1,1,1,-0.0591945236727203,0.0591945236727203,0.05957681346252141,0.007642644665896405,0.35991611917050675
TIA1_TIAL1,TIA1,TIAL1,1,1,1,-0.1430471228284016,0.1430471228284016,0.09044336591544486,0.08400522205921825,0.5841078607897864
CUL4A_CUL4B,CUL4A,CUL4B,1,1,1,-0.155374174642444,0.155374174642444,0.03781773771418019,0.013479533142969633,0.20301907088087728
TNPO1_TNPO2,TNPO1,TNPO2,1,1,1,-0.2718523105598882,0.2718523105598882,0.3841150617306489,0.04776393337719305,0.34142905511981514
HSP90AA1_HSP90AB1,HSP90AA1,HSP90AB1,1,1,1,-0.302960524695633,0.302960524695633,0.23872146280316525,0.1977460996749915,0.5627562364823783
PAPOLA_PAPOLG,PAPOLA,PAPOLG,1,1,1,-0.1603352671969891,0.1603352671969891,0.16161340389046172,0.06753062476026277,0.45599556127858293
DNAJA1_DNAJA2,DNAJA1,DNAJA2,1,1,1,0.0207590970201659,0.0207590970201659,0.43737453351074307,0.026604990516260474,0.38072950400763267
DMXL1_DMXL2,DMXL1,DMXL2,1,1,1,-0.203668988597475,0.203668988597475,0.07454129678032223,0.016845969841149225,0.14214494504667607
STT3A_STT3B,STT3A,STT3B,1,1,1,0.2367436749426912,0.2367436749426912,0.27832249047109514,0.2257638222908608,0.42950737222833985
ROCK1_STK38,ROCK1,STK38,1,1,1,0.081503772925445,0.081503772925445,0.03822412594941577,0.038058128275069825,0.3765887258458441
TAF9_TAF9B,TAF9,TAF9B,1,1,1,-0.0034601595406265,0.0034601595406265,0.11003091360594233,0.04418557982513789,0.3247531646812307
ACO1_IREB2,ACO1,IREB2,1,1,1,-0.3689103183504748,0.3689103183504748,0.215419475992649,0.05933347098894041,0.13876009705205664
DNM2_MX1,DNM2,MX1,1,1,1,-0.3143020570343311,0.3143020570343311,1.188040011584668,0.04952256908192,0.10110244257688414
ZNF570_ZNF607,ZNF570,ZNF607,1,1,1,0.1653500660207865,0.1653500660207865,0.12941788555850348,0.021388384298640407,0.6037403695273218
SENP6_SENP7,SENP6,SENP7,1,1,1,0.2531212221744938,0.2531212221744938,1.188236756918912,0.039171789746726964,0.4824280753534472
HDAC1_HDAC2,HDAC1,HDAC2,1,0,1,-0.4073814641598519,0.4073814641598519,0.13227099168004197,0.026678097486283393,0.3830021752694577
CREBBP_EP300,CREBBP,EP300,1,0,1,-0.971777581721344,0.971777581721344,0.3585411060415867,0.09075410197416625,0.7376027939622368
PTPN1_PTPN2,PTPN1,PTPN2,1,0,1,0.0477658473749251,0.0477658473749251,0.17890850042218306,0.06621466491431763,0.10871865207026406
SEC24A_SEC24B,SEC24A,SEC24B,1,0,1,-0.1957485274997428,0.1957485274997428,0.1891547342589285,0.0077146881552724155,0.49630136430294086
CCNB1_CCNB2,CCNB1,CCNB2,1,0,1,0.0746040987320712,0.0746040987320712,0.715851413958981,0.01823368239812654,0.792202234330515
EIF4A1_EIF4A2,EIF4A1,EIF4A2,1,0,1,-0.6266555581634645,0.6266555581634645,1.5998723485210384,0.08669033169303696,0.0286260411416396
CCNE1_CCNE2,CCNE1,CCNE2,1,0,1,-0.459126737801256,0.459126737801256,0.2170652861437891,0.07313601014699803,0.39397751928780883
CCNL1_CCNL2,CCNL1,CCNL2,1,0,1,0.5378741973103592,0.5378741973103592,0.620981566310245,0.18797070783568362,0.7088542834439103
ACSL3_ACSL4,ACSL3,ACSL4,1,0,1,0.0346128053390141,0.0346128053390141,0.4192650525154914,0.11749564891587237,0.09987419847481463
CEPT1_CHPT1,CEPT1,CHPT1,1,0,1,-0.3484023271767805,0.3484023271767805,0.36122825283257914,0.03286728550491593,-0.009954219631274727
RBBP4_RBBP7,RBBP4,RBBP7,1,0,1,0.1737808819289261,0.1737808819289261,1.347067742663055,0.15465231275111485,0.45377946184879037
FUBP1_KHSRP,FUBP1,KHSRP,1,0,1,0.096389944190746,0.096389944190746,0.22336431076773489,0.19204911538265068,0.5235719164954814
SRPK1_SRPK2,SRPK1,SRPK2,1,0,1,-0.274288931565778,0.274288931565778,0.08596531946036087,0.06008975296482326,0.2657319955219161
ATP1B1_ATP1B3,ATP1B1,ATP1B3,1,0,1,-0.1626288547078517,0.1626288547078517,0.39992913607451663,0.13313009479657092,0.10613543330624305
ACTR1A_ACTR1B,ACTR1A,ACTR1B,1,0,1,-0.9316287331361688,0.9316287331361688,0.9254996656198519,0.2984469223189791,0.2432220781092402
UBE2D2_UBE2D3,UBE2D2,UBE2D3,1,0,1,-1.0533314332280763,1.0533314332280763,0.8255726545178428,0.007004299020451087,0.3398128017589329
WWTR1_YAP1,WWTR1,YAP1,1,0,1,-0.2195769221014371,0.2195769221014371,0.44099078941769787,0.3889065445963066,0.7096998384110957
ARL2_TRIM23,ARL2,TRIM23,1,0,1,0.2369297675635304,0.2369297675635304,1.7468539877559353,0.06984857081509861,0.2503584626173273
HNRNPDL_TARDBP,HNRNPDL,TARDBP,1,0,1,0.2514326538774378,0.2514326538774378,1.2323926082794094,0.06542783035537299,0.6890040736617529
DIS3L_DIS3L2,DIS3L,DIS3L2,1,0,1,-0.1917686396755777,0.1917686396755777,0.22268756935890605,0.035106930299471914,0.3991488001639034
DDX20_DDX39B,DDX20,DDX39B,1,0,1,0.2111811812654408,0.2111811812654408,1.0070519816003183,0.6497697240730584,0.4632539236362011
