pair,gene_a,gene_b,hit_any_line,dd_min3,abs_dd,max_abs_mean_chronos,min_abs_mean_chronos,mrna_coexpression
ABCC3|ATP5PB,ABCC3,ATP5PB,0,0.1737724153347452,0.1737724153347452,0.554791017447541,0.043912328881430596,-0.09419347011551146
ABL1|ABL2,ABL1,ABL2,0,-0.1571362078899117,0.1571362078899117,0.09905823815517455,0.027580957237029708,0.4764017505003494
ABT1|LGALS9,ABT1,LGALS9,0,0.0088058733873302,0.0088058733873302,0.8392635459630764,0.19846061331609294,0.05166741139906471
ACACA|ACACB,ACACA,ACACB,0,-0.1690824684720646,0.1690824684720646,0.35951694941890183,0.08218964499508946,0.32206900214449613
ACTL6A|ACTL6B,ACTL6A,ACTL6B,0,0.1832981337489552,0.1832981337489552,1.5664983940518313,0.01335920352290968,0.2134014310072823
ADAM19|NHLRC1,ADAM19,NHLRC1,0,0.1350415277315387,0.1350415277315387,0.13393006122394818,0.0668223569452647,-0.024484211131979274
ADAP1|ADAP2,ADAP1,ADAP2,0,-0.0150463839647969,0.0150463839647969,0.13541757747298588,0.02700707224771839,0.1234187185841487
ADARB1|ADARB2,ADARB1,ADARB2,0,-0.1938841925766034,0.1938841925766034,0.05550174152112576,0.04622843130528184,0.04440643061224601
AFG3L2|LONP1,AFG3L2,LONP1,0,0.4968867936834932,0.4968867936834932,1.7024222341884794,1.2276712050976586,0.3169970455651715
AHCYL1|AHCYL2,AHCYL1,AHCYL2,1,-0.1445825188398182,0.1445825188398182,0.43009559469487085,0.03442406237209635,0.2619424933928409
ALAS1|ALAS2,ALAS1,ALAS2,0,-0.1844003260386023,0.1844003260386023,0.1190469226027341,0.09429260555951,0.03376778816053955
ALAS1|SPTLC2,ALAS1,SPTLC2,0,0.1636573632687851,0.1636573632687851,0.18503963868483392,0.1190469226027341,0.1734798761015745
ALDOA|RSPH1,ALDOA,RSPH1,0,0.3436517247310218,0.3436517247310218,1.4640258796175813,0.004869531159682216,-0.08572399917446225
ALDOC|PKM,ALDOC,PKM,1,0.2032875298822688,0.2032875298822688,0.9347606404019795,0.24747979741594814,-0.03212983445759723
AOX1|XDH,AOX1,XDH,0,-0.0828930497263044,0.0828930497263044,0.044643851740843996,0.03752494068705721,0.11658896966567277
AP1G1|AP1G2,AP1G1,AP1G2,0,0.1101520581611366,0.1101520581611366,0.24274293289126228,0.1506134543298184,0.1854226489988391
AP2A1|AP2A2,AP2A1,AP2A2,1,-0.0947511091937269,0.0947511091937269,0.10273478243596676,0.0476485970803344,0.5917202707711098
AP3M1|AP5M1,AP3M1,AP5M1,0,0.1598278399080933,0.1598278399080933,0.14435006752931026,0.034661567116598443,0.5068761586808911
APH1A|APH1B,APH1A,APH1B,0,0.0069006617789393,0.0069006617789393,0.1802038314253902,0.028807134788930423,0.007507317549550438
APOBEC3C|PDCD6IP,APOBEC3C,PDCD6IP,0,0.0527047868487062,0.0527047868487062,0.4644989078225584,0.05182688138471016,0.19741245139002409
ARFGEF1|ARFGEF2,ARFGEF1,ARFGEF2,1,-0.4590446916267951,0.4590446916267951,0.09799573207392973,0.02330346323347428,0.29252543084941407
ARFIP1|ARFIP2,ARFIP1,ARFIP2,0,-0.0259923778869317,0.0259923778869317,0.06416702767133835,0.043738004790390375,0.3287983868179265
ARHGEF3|NET1,ARHGEF3,NET1,0,-0.1215227972531569,0.1215227972531569,0.008320304040644714,0.001807871808849227,0.16182012018508718
ARHGEF6|ARHGEF7,ARHGEF6,ARHGEF7,0,0.051682467674632,0.051682467674632,0.4081402664090617,0.16768419188885658,0.2583642801122044
ARID1A|ARID1B,ARID1A,ARID1B,1,-0.7588957673251515,0.7588957673251515,0.23365816619560373,0.07510336169996921,0.7304764496667268
ARID4A|DZIP3,ARID4A,DZIP3,0,-0.2285928648204164,0.2285928648204164,0.017811259744751277,0.01649461962065651,0.38491582731791624
ARSJ|PCGF1,ARSJ,PCGF1,0,0.2145106931334632,0.2145106931334632,0.038397190258916726,0.013677315348898019,-0.018944060363690726
ASCL1|SP110,ASCL1,SP110,0,-0.0930261366688803,0.0930261366688803,0.10329853029006283,0.027742260305676426,-0.32094885730628925
ASCL1|TAP1,ASCL1,TAP1,0,0.1095615399086859,0.1095615399086859,0.12411917261431017,0.10329853029006283,-0.3061971525563598
ASF1B|HASPIN,ASF1B,HASPIN,0,-0.1255801288377076,0.1255801288377076,0.2918837641465465,0.07923862763192027,0.7065170392770126
ATAD2|ATAD2B,ATAD2,ATAD2B,0,0.1042963617303412,0.1042963617303412,0.1410720437600432,0.04106597010890216,0.4682364113146387
ATM|MDM4,ATM,MDM4,0,0.1723823523928808,0.1723823523928808,0.15729994678412884,0.015087871085644605,0.4591976843720311
ATP5F1A|GBP3,ATP5F1A,GBP3,0,-0.0696115761935468,0.0696115761935468,0.5621437568112552,0.08240224668427515,-0.31292595475857304
ATP5F1A|S100A6,ATP5F1A,S100A6,0,0.0780157172037744,0.0780157172037744,0.5621437568112552,0.05204502088177226,-0.34026599805022756
ATP5F1B|EPHA2,ATP5F1B,EPHA2,0,-0.2835661655077225,0.2835661655077225,0.8112879403417321,0.05773569735564496,-0.09858951191462058
ATP5F1B|LIF,ATP5F1B,LIF,0,-0.0651162490252704,0.0651162490252704,0.8112879403417321,0.0796795105046908,-0.11145882284745715
