pair,harle_hit,abs_dd_all_lineages,abs_dd_matched_lineages
ABCC3|ATP5PB,0,0.17377241533474524,0.06800197119622409
ABL1|ABL2,0,0.15713620788991173,0.09331681789092641
ABT1|LGALS9,0,0.008805873387330299,0.008805873387330299
ABTB2|BTBD11,0,,
ACACA|ACACB,0,0.1690824684720646,0.15287712987874896
ACTL6A|ACTL6B,0,0.1832981337489552,
ADAM19|NHLRC1,0,0.1350415277315387,0.06716754895397123
ADAP1|ADAP2,0,0.015046383964796989,
ADARB1|ADARB2,0,0.1938841925766034,0.09035980519700956
ADM|RAMP2,0,,
ADSS|ADSSL1,1,,
AFG3L2|LONP1,0,0.4968867936834932,0.09917113192666305
AHCYL1|AHCYL2,1,0.1445825188398182,
AKIRIN1|AKIRIN2,1,,
ALAS1|ALAS2,0,0.18440032603860237,0.18440032603860237
ALAS1|SPTLC2,0,0.16365736326878508,
ALDOA|RSPH1,0,0.343651724731022,
ALDOC|PKM,1,0.20328752988226884,
ALG14|TSTD1,0,,
ANAPC4|PTTG1,1,,
ANXA1|PCGF1,0,,
AOX1|XDH,0,0.08289304972630443,0.06747311817130835
AP1G1|AP1G2,0,0.11015205816113663,0.11015205816113663
AP2A1|AP2A2,1,0.0947511091937269,0.07018869627355387
AP3M1|AP5M1,0,0.15982783990809338,0.0019901923856644535
APH1A|APH1B,0,0.006900661778939332,
APOBEC3C|PDCD6IP,0,0.05270478684870629,0.016321055335132027
ARFGEF1|ARFGEF2,1,0.4590446916267951,0.14203624007306911
ARFIP1|ARFIP2,0,0.02599237788693179,0.02599237788693179
ARHGEF3|NET1,0,0.12152279725315697,0.09014825921004191
ARHGEF6|ARHGEF7,0,0.05168246767463208,0.014221955456100777
ARID1A|ARID1B,1,0.7588957673251515,0.3224261481021624
ARID4A|DZIP3,0,0.2285928648204164,0.2285928648204164
ARPC5|ARPC5L,1,,
ARSJ|PCGF1,0,0.21451069313346324,0.21451069313346324
ASCL1|SP110,0,0.09302613666888034,
ASCL1|TAP1,0,0.10956153990868589,0.10956153990868589
ASF1A|ASF1B,1,,
ASF1B|HASPIN,0,0.12558012883770764,
ATAD2|ATAD2B,0,0.10429636173034128,0.05079225928050754
ATM|MDM4,0,0.1723823523928808,0.0953498884249295
ATP5F1A|GBP3,0,0.06961157619354684,
ATP5F1A|S100A6,0,0.07801571720377443,
ATP5F1B|EPHA2,0,0.2835661655077225,0.2835661655077225
ATP5F1B|LIF,0,0.06511624902527044,
ATP5F1B|SAMD9,1,0.27968245389261803,0.1566141593110404
ATP5F1D|HRH1,0,0.33454317151874613,0.33454317151874613
ATP5PB|S100A6,0,,
ATP6V1B1|ATP6V1B2,0,0.24376174703688025,
ATP6V1C1|ATP6V1C2,0,0.11562042769804048,
ATP6V1C2|ATP6V1D,0,0.12991640335805366,
ATP6V1E1|ATP6V1E2,1,,
ATP7A|ATP7B,0,0.10116970950580975,0.0591962514397404
ATP8B3|MYBL2,0,0.43471204028454297,0.27388013294692665
AXL|PCGF1,0,0.09892793278220796,0.019391301996627502
BATF3|STX4,0,0.7530326782818113,
BCAP31|NXT1,0,1.2898855664941147,
BECN1|BECN2,0,0.020473350083013986,0.020473350083013986
BICD1|BICD2,0,0.08873247683437663,0.049903902680025675
BRD8|TRRAP,0,0.3045046746487279,0.13965237494538885
BRSK1|BRSK2,0,0.08463175641301365,0.057596340469252
BUB1B|BUB3,0,0.6850192269067106,
BUB1B|SKA1,0,0.21993244369991538,
BZW1|BZW2,1,0.07441359334101902,
CAB39|CAB39L,1,0.08990420492319835,
CADPS|CADPS2,0,0.2165942642538891,0.03239262892544419
CAND1|CAND2,0,0.15784884031150648,0.07531581457495201
CAP1|CAP2,0,0.14087976937078084,0.14087976937078084
CAPN2|LDB1,0,0.32985489473398794,0.32985489473398794
CASP4|PCGF1,0,0.04891552076753639,
CAT|SOD1,1,,
CAV1|PCGF1,0,,
CAVIN1|PCGF1,0,,
CBLL1|CBLL2,0,0.06186040738106873,
CCND1|CCND3,0,0.3208258057010006,
CCND1|CCNE1,0,0.550380775370678,
CCNE1|CCNE2,1,0.45912673780125607,
CCNL1|CCNL2,1,0.5378741973103592,
CCNT1|CCNT2,1,0.14715557980806845,0.14715557980806845
CCT6A|CCT6B,0,0.24126676796730084,0.050488545555755104
CD163L1|SLCO2B1,0,0.1354670656464097,0.07199523635872977
CD44|MRPL55,0,,
CD72|FCRL3,0,0.06752082899754655,0.045536881383906457
CDC34|RNF10,0,0.05689121165686474,
CDIPT|IRF6,0,0.4061512043522316,
CDIPT|PCDH1,0,0.43980477766315607,0.16997408435895633
