driver_gene,paralog_gene,dd,known,driver_class,n_lineages
ARID1A,ARID1B,0.34204011828086267,True,TSG,2
BRCA1,BARD1,-0.1949908555549144,False,TSG,1
BRCA1,BRCA2,0.0638088304954411,True,TSG,1
BRCA2,BRCA1,-0.0022399625295969,True,TSG,1
FBXW7,FBXW2,0.0181085167127165,True,TSG,1
FBXW7,FBXW4,0.0816782340176507,False,TSG,1
FBXW7,FBXW5,0.0124208786644087,False,TSG,1
KMT2D,KMT2C,0.1029746359526108,False,TSG,1
KRAS,DIRAS1,0.0182446968574749,False,ONC,2
KRAS,DIRAS2,-0.004009398622958446,False,ONC,2
KRAS,DIRAS3,0.0020933624897460992,False,ONC,2
KRAS,ERAS,0.06497333449595455,False,ONC,2
KRAS,HRAS,-0.05824331521468511,False,ONC,2
KRAS,MRAS,0.0027239301854784003,False,ONC,2
KRAS,NKIRAS1,-0.0260043855004451,False,ONC,2
KRAS,NKIRAS2,0.01630519611807765,False,ONC,2
KRAS,NRAS,-0.06315832357265255,False,ONC,2
KRAS,RALA,0.0198075089535754,False,ONC,2
KRAS,RALB,-0.055064559832725755,False,ONC,2
KRAS,RAP1A,0.0179026881370591,False,ONC,2
KRAS,RAP1B,0.06568613340586604,False,ONC,2
KRAS,RAP2A,0.0089885532460505,False,ONC,2
KRAS,RAP2B,0.03418112922748395,False,ONC,2
KRAS,RAP2C,0.06503115913800615,False,ONC,2
KRAS,RASD2,0.0566108790514357,False,ONC,2
KRAS,RASL10A,-0.0040036210210405996,False,ONC,2
KRAS,RASL10B,0.060747945744727,False,ONC,2
KRAS,RASL11A,0.015568622119353951,False,ONC,2
KRAS,RASL11B,0.0310118670389786,False,ONC,2
KRAS,RASL12,0.03136990873511405,False,ONC,2
KRAS,RERG,0.0252403870439551,False,ONC,2
KRAS,RERGL,-0.03991511033873355,False,ONC,2
KRAS,RHEB,-0.09945844394665786,False,ONC,2
KRAS,RHEBL1,0.0053485917615960984,False,ONC,2
KRAS,RIT1,-0.032337502683691254,False,ONC,2
KRAS,RIT2,-0.02864893387888355,False,ONC,2
KRAS,RRAS,-0.03307422666487365,False,ONC,2
KRAS,RRAS2,-0.15940502312985616,False,ONC,2
PIK3CA,PIK3CB,-0.11600926544163545,True,ONC,2
PIK3CA,PIK3CD,-0.02026285438734495,False,ONC,2
PIK3CA,PIK3CG,-0.015059610807452349,False,ONC,2
PIK3R1,BLNK,0.0123522819247671,False,TSG,1
PIK3R1,CLNK,-0.034010633512847,False,TSG,1
PIK3R1,CRK,0.0080507822553311,False,TSG,1
PIK3R1,CRKL,0.244958090463513,False,TSG,1
PIK3R1,PIK3R2,0.0310512214790214,False,TSG,1
PIK3R1,PIK3R3,-0.010742708434357,False,TSG,1
PIK3R1,SH2D1A,-0.0378732039904636,False,TSG,1
PIK3R1,SH2D1B,-0.004872714863987,False,TSG,1
PIK3R1,SH2D2A,0.1058713353663841,False,TSG,1
PIK3R1,SH2D4B,-0.0579229715442146,False,TSG,1
PIK3R1,SH2D6,0.0,False,TSG,1
PIK3R1,SH2D7,-0.0161659748477169,False,TSG,1
PIK3R1,SHB,-0.0487764339131851,False,TSG,1
PIK3R1,SHC1,0.011300496786142,False,TSG,1
PIK3R1,SHC2,-0.0762099593797392,False,TSG,1
PIK3R1,SHC3,-0.0753778568251904,False,TSG,1
PIK3R1,SHC4,0.0478289600674346,False,TSG,1
PIK3R1,SHD,0.0096687167639653,False,TSG,1
PIK3R1,SHE,-0.0969403633799942,False,TSG,1
PIK3R1,SHF,-0.0473620534771085,False,TSG,1
PIK3R1,SLA2,-0.0505455749013714,False,TSG,1
PIK3R1,STAP1,-0.0459289639974981,False,TSG,1
PIK3R1,SUPT6H,-0.0863018228755159,False,TSG,1
PIK3R1,TNS4,-0.0311404596757177,False,TSG,1
PTEN,TNS1,-0.006989817251603098,False,TSG,2
PTEN,TNS2,-0.0470535531314017,False,TSG,2
STK11,SIK1,0.0362769749574782,True,TSG,1
STK11,SIK2,-0.1106938448403456,False,TSG,1
STK11,SIK3,0.008848877843355,False,TSG,1
TP53,TP63,0.0047213376589727,False,TSG,2
TP53,TP73,-0.0452700267508674,False,TSG,2
