rank,driver_gene,paralog_gene,signed_dd,n_mut,n_wt,is_known_paralog_sl,auroc_contribution_if_positive
1,KMT2C,KMT2D,0.3073404029238885,9,41,False,
2,PIK3CA,PIK3CG,0.0272706918135606,17,33,False,
3,PTEN,TNS2,0.0176292048718881,7,43,False,
4,PIK3CA,PIK3CD,-0.0158634752035403,17,33,False,
5,TP53,TP63,-0.0242766475981052,41,9,False,
6,TP53,TP73,-0.0299147556229471,41,9,False,
7,PTEN,TNS1,-0.0427969738747657,7,43,False,
8,NF1,RASA1,-0.0680843007333651,5,45,False,
9,BRCA1,BRCA2,-0.1359701645306261,5,45,True,0.2
10,NF1,RASA2,-0.1522061524000691,5,45,False,
11,PIK3CA,PIK3CB,-0.2577730029769537,17,33,True,0.1
12,BRCA1,BARD1,-0.4307841523306749,5,45,False,
