selectivity_threshold,dws_threshold,n_high_selectivity,jaccard_vs_base,retention_of_base
0.1,0.8,3,0.6666666666666666,1.0
0.1,0.9,3,0.6666666666666666,1.0
0.1,1.0,3,0.6666666666666666,1.0
0.1,1.1,3,0.6666666666666666,1.0
0.1,1.2,3,0.6666666666666666,1.0
0.125,0.8,2,1.0,1.0
0.125,0.9,2,1.0,1.0
0.125,1.0,2,1.0,1.0
0.125,1.1,2,1.0,1.0
0.125,1.2,2,1.0,1.0
0.15,0.8,2,1.0,1.0
0.15,0.9,2,1.0,1.0
0.15,1.0,2,1.0,1.0
0.15,1.1,2,1.0,1.0
0.15,1.2,2,1.0,1.0
0.175,0.8,2,1.0,1.0
0.175,0.9,2,1.0,1.0
0.175,1.0,2,1.0,1.0
0.175,1.1,2,1.0,1.0
0.175,1.2,2,1.0,1.0
0.2,0.8,1,0.5,0.5
0.2,0.9,1,0.5,0.5
0.2,1.0,1,0.5,0.5
0.2,1.1,1,0.5,0.5
0.2,1.2,1,0.5,0.5
