Driver	Paralog	Cancer	PCS	DD	Composite	Known	Status
PIK3CA	PIK3CD	SCLC	0.1022736657612548	-0.107334025128755	0.85	False	Novel
PTEN	TNS2	HNSCC	0.0904142533315503	0.1560312159504139	0.85	False	Novel
TP53	TP63	Melanoma	0.0649410457414124	0.0640381517171284	0.85	False	Novel
TP53	TP63	Esophagogastric	0.1300119565119235	0.2048447287057696	0.85	False	Novel
IDH2	IDH3A	Endometrial	0.3897592400338962	-0.0545558495843852	0.85	False	Novel
RB1	RBL1	Endometrial	0.032607237726019	-0.191399228190249	0.85	False	Novel
TP53	TP63	Endometrial	0.0350584655560867	0.0367242051367583	0.85	False	Novel
SPOP	SPOPL	Colorectal	0.051152778618065	-0.0714393112131969	0.85	False	Novel
FBXW7	FBXW4	Colorectal	0.0266904157539578	-0.0713224476076053	0.85	False	Novel
PTEN	TNS2	NSCLC	0.2864841207404733	-0.0438703964980141	0.85	False	Novel
KRAS	HRAS	Colorectal	0.0341940787311155	-0.0285009796799226	0.7311175478441249	False	Novel
KRAS	RAP1B	NSCLC	0.1061043065885372	0.0590079667716544	0.7249876018835133	False	Novel
