pair	model	n_mut	n_wt	beta_mut	dd	se	ci_lo	ci_hi	p	n	se_lineage_cluster	p_lineage_cluster	q_bh
SMARCA4->SMARCA2	base	59	1057	-0.3430363394342591	0.3430363394342591	0.0643109166398587	-0.4690834198611398	-0.2169892590073783	9.605680109981061e-08	1116	0.1158003235758833	0.0030534119610722	3.522082706993056e-07
SMARCA4->SMARCA2	cnv_adj	59	1057	-0.3450130117788989	0.3450130117788989	0.0643727659641541	-0.4711813146538669	-0.2188447089039309	8.340114295828762e-08	1116	0.1166980230601595	0.0031119281314138	2.780038098609587e-07
SMARCA4->SMARCA2	expr_adj	59	1057	-0.360160709296247	0.360160709296247	0.0641756997238769	-0.4859427694377028	-0.2343786491547912	1.9988109429226523e-08	1116	0.1176178368152411	0.0021977046494967	7.32897345738306e-08
SMARCA4->SMARCA2	lineage_adj	59	1057	-0.3018631033478318	0.3018631033478318	0.0630792549974466	-0.4254961713144454	-0.1782300353812182	1.705981573040355e-06	1116	0.1079673392822828	0.0051759535967674	6.255265767814636e-06
ARID1A->ARID1B	base	121	995	-0.2626777447194885	0.2626777447194885	0.0343791084852112	-0.3300595591710979	-0.1952959302678792	2.1617621317637812e-14	1116	0.0375769288920501	2.7410460109617252e-12	1.1889691724700797e-13
ARID1A->ARID1B	cnv_adj	121	995	-0.2635486363505123	0.2635486363505123	0.0338566198265793	-0.3299063918488725	-0.1971908808521522	7.0123977610865255e-15	1116	0.0356535598970766	1.4471218112950117e-13	3.5061988805432626e-14
ARID1A->ARID1B	expr_adj	121	995	-0.26048564098771	0.26048564098771	0.0333970495193547	-0.325942655235546	-0.1950286267398739	6.2074047603501625e-15	1116	0.0360576047207386	5.042358963428371e-13	3.41407261819259e-14
ARID1A->ARID1B	lineage_adj	121	995	-0.2679087624098863	0.2679087624098863	0.0365315032769478	-0.3395091931338111	-0.1963083316859614	2.2399027421204218e-13	1116	0.0444820715958085	1.71374218331134e-09	1.231946508166232e-12
BRCA1->BRCA2	base	22	1094	0.0386614303429412	-0.0386614303429412	0.0557062704662168	-0.070520853483891	0.1478437141697734	0.4876678144839513	1116	0.0350173459505664	0.269564889390965	0.5364345959323465
BRCA1->BRCA2	cnv_adj	22	1094	0.0160891190748241	-0.0160891190748241	0.0549335472245728	-0.0915786550283689	0.1237568931780172	0.7696113473569585	1116	0.0319747709478829	0.6148365414042158	0.8551237192855093
