driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	cohens_d	hedges_g	dd_p_value	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
ARID1A	ARID1B	Endometrial	0.003309894996772	0.044071196306695	0.0751033616999692	0.2976763794772519	1.324049120408044	1.285484582920431	0.0003720142037244	0.2789441676101962	Known	0.8785216698622682	0.75	21	7	True
ARID1A	ARID1B	Ovarian	0.0193762107816697	0.2579939212185445	0.0751033616999692	0.3864038570844735	1.412137853001581	1.3920600636224114	0.0013664715761609	0.2477031805521865	Known	0.3863321894855043	0.2545454545454545	14	41	True
BRCA2	BRCA1	Ovarian	0.2531098600336218	0.5142711758974841	0.4921719744294541	-0.0022399625295969	-0.0067758234326184	-0.0066794847108276	0.9901019194072752	0.2384891674792403	Known	0.2984841881341751	0.0909090909090909	5	50	True
PIK3CA	PIK3CB	Endometrial	0.0572443185098321	0.4648344211980983	0.1231499129567178	-0.1190583191807844	-0.6699186520527136	-0.6504064583036054	0.0885032789181023	0.2255179971815262	Known	0.1242893564931961	0.5357142857142857	15	13	True
BRCA1	BRCA2	Ovarian	0.1390953286975354	0.2685979284822326	0.5178570418749018	0.0638088304954411	0.2398956857985686	0.2364848466639918	0.6233173880993301	0.1603747811733897	Known	0.649755893614936	0.0909090909090909	5	50	True
STK11	SIK1	Cervical	0.0567713950608666	1.323160606127431	0.042905898798652	0.0362769749574782	0.3039556457172409	0.2873762468599369	0.5191674787535043	0.1358954621592926	Known	0.5409737799092611	0.375	6	10	True
PIK3CA	PIK3CB	Ovarian	0.0117233313111075	0.0951956118330983	0.1231499129567178	-0.1129602117024865	-0.5999131289751068	-0.5913835584209584	0.1222594062769343	0.0998191216056259	Known	0.6749795493611246	0.2181818181818181	12	43	True
FBXW7	FBXW2	Endometrial	0.0	0.0154876425978569	-0.0411434863352699	0.0181085167127165	0.1656317157531993	0.1608074910225236	0.7313413898071391	0.0548260322538122	Known	0.931247735370951	0.2857142857142857	8	20	True
PIK3R1	CRKL	Endometrial	0.5910431163288768	0.6167680120657506	0.9582908075100832	0.244958090463513	0.3176968576971447	0.3084435511622764	0.5355936022087355	0.6766603105204414	Novel	0.1564701114006824	0.25	7	21	False
PIK3R1	SUPT6H	Endometrial	0.3046821259955339	0.1590941986029745	1.9151051934701864	-0.0863018228755159	-0.2253363073415067	-0.218773113923793	0.6419734374138479	0.3369347092329173	Novel	0.9541256752245454	0.25	7	21	False
