driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
ARID1A	ARID1B	Endometrial	0.003309894996772	0.044071196306695	0.0751033616999692	0.2976763794772519	0.2791117922022421	Known	0.8785216698622682	0.75	21	7	True
ARID1A	ARID1B	Ovarian	0.0193762107816697	0.2579939212185445	0.0751033616999692	0.3864038570844735	0.2491400417908417	Known	0.3863321894855043	0.2545454545454545	14	41	True
BRCA2	BRCA1	Ovarian	0.2531098600336218	0.5142711758974841	0.4921719744294541	-0.0022399625295969	0.2403666319490465	Known	0.2984841881341751	0.0909090909090909	5	50	True
PIK3CA	PIK3CB	Endometrial	0.0572443185098321	0.4648344211980983	0.1231499129567178	-0.1190583191807844	0.2236694826171095	Known	0.1242893564931961	0.5357142857142857	15	13	True
BRCA1	BRCA2	Ovarian	0.1390953286975354	0.2685979284822326	0.5178570418749018	0.0638088304954411	0.1634990868807993	Known	0.649755893614936	0.0909090909090909	5	50	True
STK11	SIK1	Cervical	0.0567713950608666	1.323160606127431	0.042905898798652	0.0362769749574782	0.1372432451889894	Known	0.5409737799092611	0.375	6	10	True
PIK3CA	PIK3CB	Ovarian	0.0117233313111075	0.0951956118330983	0.1231499129567178	-0.1129602117024865	0.1023401635957881	Known	0.6749795493611246	0.2181818181818181	12	43	True
PIK3CA	PIK3CB	Cervical	0.0	-0.3030970996694813	0.1231499129567178	-0.0764638862371506	0.0720142581317689	Known	0.549814121744631	0.1875	3	13	True
FBXW7	FBXW2	Endometrial	0.0	0.0154876425978569	-0.0411434863352699	0.0181085167127165	0.0575104560060421	Known	0.931247735370951	0.2857142857142857	8	20	True
PIK3R1	CRKL	Endometrial	0.5910431163288768	0.6167680120657506	0.9582908075100832	0.244958090463513	0.6766721697452945	Novel	0.1564701114006824	0.25	7	21	False
PIK3R1	SUPT6H	Endometrial	0.3046821259955339	0.1590941986029745	1.9151051934701864	-0.0863018228755159	0.3398444483218394	Novel	0.9541256752245454	0.25	7	21	False
TP53	TP73	Ovarian	0.0197888215345761	0.2959399071712487	0.0668677020403509	-0.0811102363738426	0.2106736968828352	Novel	0.1257634288854291	0.7272727272727273	40	15	False
KMT2D	KMT2C	Endometrial	0.0	0.762071667382326	-0.0122500470840633	0.1029746359526108	0.1969014272361507	Novel	0.0055734954957627	0.5	14	14	False
TP53	TP63	Endometrial	0.030193167662851	0.3577043843736477	0.0844081565165054	0.0391466895450513	0.1958227893836021	Novel	0.2620533928706717	0.75	21	7	False
PTEN	TNS2	Endometrial	0.0	-1.0705646229602377	0.2387654694919845	-0.0902732131950828	0.1915014061723365	Novel	0.031090108790086	0.6071428571428571	17	11	False
