driver	paralog	abs_dd	mean_max_dd_0	pan_essentiality_denominator	floor_0_01_active	dws	dws_ci95_lo	dws_ci95_hi	selectivity	selectivity_ci95_lo	selectivity_ci95_hi	pan_essential_fraction	n_contexts	classification	pair_type
SMARCA4	SMARCA2	0.1864457893546401	0.1864457893546401	0.0547328119908765	False	4.8738956823161645	3.0923492239171737	7.586808532877472	0.181195243804206	0.06971177416641962	0.3226037474143322	0.0547328119908765	2	HIGH_SELECTIVITY	sequence paralog
ARID1A	ARID1B	0.2699135558583972	0.2699135558583972	0.1255809424174827	False	2.8194115385176928	1.7225555529774415	5.889262631189185	0.2770428477986152	0.19117129747393996	0.3658335867155534	0.1089999917159567	4	HIGH_SELECTIVITY	sequence paralog
NF1	RASA2	0.1009477641163036	0.0182391066928602	0.0270357705419276	True	1.8239106692860292	0.0	4.837318808396197	0.0054468652734548	-0.001445086705202312	0.015543945457240254	0.0013440860215053	4	MODERATE	sequence paralog
EP300	CREBBP	0.2792431019682068	0.2638197993378419	0.1590326473104512	False	1.710189225782058	0.9956833681620217	4.367930626506879	0.1084084248282225	0.0035500635921904508	0.2116645560476201	0.1323198003624466	4	MODERATE	sequence paralog
KMT2D	KMT2C	0.0639632110506219	0.0461223060728475	0.0389964350647854	False	1.2608298488759226	0.4981523303055112	3.5576655357749294	0.0558146107107531	0.015084958315670485	0.10728098064151474	0.0234575012800819	4	MODERATE	sequence paralog
PPP2R1A	PPP2R1B	0.074434537014425	0.074434537014425	0.0804365356435193	False	0.9253821838412568	0.0	2.2227868461375597	0.0	0.0	0.0	0.0	1	LOW_SELECTIVITY	sequence paralog
FBXW7	FBXW2	0.0251393048779839	0.0251393048779839	0.037416902367097	False	0.7201332548696614	0.24020342088403077	2.7885006890283592	-0.0002354048964218	-0.0007062146892655367	0.0	0.0002240143369175	4	LOW_SELECTIVITY	sequence paralog
TP53	TP63	0.03520046361455	0.0244043312495078	0.0497091845784788	False	0.5771302253487803	0.11441861510847803	2.398360428318624	0.0370882992677165	0.014265324501170264	0.06751097843042674	0.0393060307046091	5	MODERATE	sequence paralog
PIK3R1	CRKL	0.152264914878922	0.152264914878922	0.9547362759116536	False	0.1666908443070653	0.0	0.6785633987765867	-0.1606489520301675	-0.3572769446636849	0.05311211961764451	0.7261780632748375	3	PAN_ESSENTIAL	sequence paralog
BRCA2	BRCA1	0.1107362691930269	0.052709385906994	0.5573633695967017	False	0.1179522622151112	0.03683135659047543	0.32697144524360955	-0.0472941398248434	-0.22728407095334338	0.1352747160281948	0.5315695520383875	4	PAN_ESSENTIAL	functional analog
BRCA1	BRCA2	0.0794801417896694	0.021269610165147	0.5450081459758879	False	0.0389942853027696	0.0	0.20254732755388216	-0.0802265186908696	-0.3038916711293311	0.14193894459525175	0.5450081459758879	3	PAN_ESSENTIAL	functional analog
PTEN	TNS2	0.0417535397507211	0.0035258409743776	0.247607515939092	False	0.0135944055736821	0.0	0.13509750038859134	-0.0058446964683554	-0.06778599428856565	0.0675913640315803	0.055070389910193	5	LOW_SELECTIVITY	sequence paralog
MAP2K1	MAP2K2	0.0005912572337676	0.0005912572337676	0.1863554966053588	False	0.0031727383658544	0.0	0.44589962341066125	-0.0342960288808664	-0.04424638989169675	-0.023465703971119134	0.0340501792114695	1	LOW_SELECTIVITY	sequence paralog
CDH1	CDH2	0.098056467406886	0.0	0.1427098435236092	False	0.0	0.0	0.0	-0.0856882406563354	-0.10211941659070191	-0.07019143117593436	0.0842293906810035	1	LOW_SELECTIVITY	sequence paralog
KRAS	HRAS	0.0428501655878861	0.0	0.1949605245165953	False	0.0	0.0	0.10534667933871916	-0.0396634322149726	-0.07981796226405662	-0.006393560150202537	0.0356004590148931	4	LOW_SELECTIVITY	sequence paralog
ATR	ATM	0.0703915325291905	0.0	0.0571750925932332	False	0.0	0.0	0.9647868785571028	-0.0267665527382561	-0.07115889039027104	-0.002742230347349177	0.0227854582693292	2	LOW_SELECTIVITY	sequence paralog
PIK3CA	PIK3CB	0.1515665065869121	0.0	0.1117455681814474	False	0.0	0.0	0.07111021308773655	-0.0650771513414892	-0.11222127201680336	-0.014601963552905006	0.0613380307803489	5	LOW_SELECTIVITY	sequence paralog
RB1	RBL1	0.1639983435837339	0.0	0.0496190664449626	False	0.0	0.0	0.0	0.0068493150684931	0.0	0.02054794520547945	0.0004480286738351	2	MODERATE	sequence paralog
BRAF	RAF1	0.2452613218928766	0.0	0.1987602072395075	False	0.0	0.0	0.0	-0.1776948286766508	-0.2416410252142662	-0.11572121509583118	0.157660530951947	2	LOW_SELECTIVITY	sequence paralog
STK11	SIK1	0.0172351636851785	0.0	0.0439174364807194	False	0.0	0.0	0.5055832442530684	-0.011204481792717	-0.018674136321195144	-0.0056022408963585435	0.010752688172043	1	LOW_SELECTIVITY	partial homolog
KRAS	NRAS	0.0834224757837304	0.0	0.1925726283904756	False	0.0	0.0	0.1725572790488921	-0.0596263579536669	-0.10888779818084551	-0.011159089106612702	0.0630782853923914	4	LOW_SELECTIVITY	sequence paralog
