gene	driver_class	rule	n_lines_old_nonsilent	n_lines_new_rule	pct_retained	top_variant_info
ALK	ONC	Hotspot	118	12	10.2	missense_variant (98); frameshift_variant (21); missense_variant&splice_region_variant (6); stop_gained (2); inframe_deletion (2)
APC	TSG	LikelyLoF	217	108	49.8	missense_variant (161); frameshift_variant (83); stop_gained (82); inframe_deletion (1); stop_gained&splice_region_variant (1)
ARID1A	TSG	LikelyLoF	240	173	72.1	frameshift_variant (158); missense_variant (106); stop_gained (74); inframe_deletion (5); splice_acceptor_variant (2)
ATM	TSG	LikelyLoF	165	59	35.8	missense_variant (137); frameshift_variant (35); stop_gained (24); missense_variant&splice_region_variant (5); splice_acceptor_variant (5)
ATR	TSG	LikelyLoF	125	37	29.6	missense_variant (104); frameshift_variant (25); stop_gained (11); splice_donor_variant (2); splice_acceptor_variant (2)
BRAF	ONC	Hotspot	212	162	76.4	missense_variant (199); frameshift_variant (14); missense_variant&splice_region_variant (6); inframe_deletion (3); splice_acceptor_variant (1)
BRCA1	TSG	LikelyLoF	101	34	33.7	missense_variant (81); frameshift_variant (19); stop_gained (9); splice_acceptor_variant (2); splice_donor_variant (2)
BRCA2	TSG	LikelyLoF	159	68	42.8	missense_variant (141); frameshift_variant (52); stop_gained (23); splice_donor_variant (3); stop_gained&frameshift_variant (1)
CCNE1	ONC	Hotspot	22	0	0.0	missense_variant (21); stop_gained (2); missense_variant&splice_region_variant (1)
CDH1	TSG	LikelyLoF	87	34	39.1	missense_variant (61); frameshift_variant (11); stop_gained (8); splice_donor_variant (4); inframe_deletion (3)
CDK4	ONC	Hotspot	27	8	29.6	missense_variant (24); frameshift_variant (2); splice_acceptor_variant (1); splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant (1)
CTNNB1	ONC	Hotspot	85	45	52.9	missense_variant (82); inframe_deletion (3); frameshift_variant (2); splice_acceptor_variant (2); inframe_insertion (1)
EGFR	ONC	Hotspot	110	19	17.3	missense_variant (95); frameshift_variant (18); inframe_deletion (8); stop_gained (7); missense_variant&splice_region_variant (2)
EP300	TSG	LikelyLoF	206	107	51.9	missense_variant (149); frameshift_variant (45); stop_gained (40); splice_acceptor_variant (12); splice_donor_variant (10)
ERBB2	ONC	Hotspot	70	20	28.6	missense_variant (71); stop_gained (4); frameshift_variant (3); missense_variant&splice_region_variant (1); frameshift_variant&splice_region_variant (1)
FBXW7	TSG	LikelyLoF	116	81	69.8	missense_variant (91); stop_gained (14); frameshift_variant (9); splice_acceptor_variant (6); frameshift_variant&splice_region_variant (5)
GATA3	TSG	LikelyLoF	52	16	30.8	missense_variant (38); frameshift_variant (15); stop_gained (2); splice_acceptor_variant (2); splice_donor_variant (1)
KEAP1	TSG	LikelyLoF	99	31	31.3	missense_variant (88); frameshift_variant (8); stop_gained (8); inframe_deletion (5); missense_variant&splice_region_variant (1)
KMT2D	TSG	LikelyLoF	356	185	52.0	missense_variant (309); frameshift_variant (157); stop_gained (87); missense_variant&splice_region_variant (10); inframe_deletion (6)
KRAS	ONC	Hotspot	254	233	91.7	missense_variant (252); inframe_insertion (6); frameshift_variant (2); stop_gained&frameshift_variant (1); inframe_deletion (1)
MAP2K1	ONC	Hotspot	36	14	38.9	missense_variant (34); missense_variant&splice_region_variant (3); splice_donor_variant (1); splice_acceptor_variant (1)
MAP3K1	TSG	LikelyLoF	74	14	18.9	missense_variant (66); frameshift_variant (13); stop_gained (5); inframe_deletion (1); frameshift_variant&splice_region_variant (1)
MAPK1	ONC	Hotspot	13	0	0.0	missense_variant (11); frameshift_variant (2)
MET	ONC	Hotspot	66	1	1.5	missense_variant (56); frameshift_variant (11); stop_gained (5); splice_donor_variant (4); splice_acceptor_variant&coding_sequence_variant&intron_variant (1)
NF1	TSG	LikelyLoF	215	122	56.7	missense_variant (117); stop_gained (51); frameshift_variant (41); splice_donor_variant (28); splice_acceptor_variant (11)
PIK3CA	ONC	Hotspot	182	153	84.1	missense_variant (188); frameshift_variant (5); inframe_deletion (4); missense_variant&splice_region_variant (3); splice_acceptor_variant (1)
PIK3R1	TSG	LikelyLoF	79	46	58.2	missense_variant (34); frameshift_variant (15); inframe_deletion (14); stop_gained (12); inframe_insertion (6)
PPP2R1A	TSG	LikelyLoF	53	13	24.5	missense_variant (52); frameshift_variant (3); missense_variant&splice_region_variant (3); splice_acceptor_variant (2); stop_gained (1)
PTEN	TSG	LikelyLoF	199	176	88.4	missense_variant (107); frameshift_variant (79); stop_gained (40); splice_acceptor_variant (10); splice_donor_variant (10)
RB1	TSG	LikelyLoF	185	150	81.1	stop_gained (71); frameshift_variant (43); missense_variant (41); splice_acceptor_variant (21); splice_donor_variant (11)
SMAD4	TSG	LikelyLoF	119	80	67.2	missense_variant (67); frameshift_variant (23); stop_gained (22); splice_acceptor_variant (6); inframe_deletion (2)
STK11	TSG	LikelyLoF	97	66	68.0	missense_variant (59); frameshift_variant (22); stop_gained (16); splice_acceptor_variant (4); splice_donor_variant (2)
TP53	TSG	LikelyLoF	1171	1140	97.4	missense_variant (848); stop_gained (146); frameshift_variant (138); splice_acceptor_variant (47); splice_donor_variant (43)
