driver_gene	paralog_gene	cancer_type	dependency_dd	cohens_d	hedges_g	dd_p_value	q_value	n_mut	n_wt	is_known_paralog_sl
ARID1A	ARID1B	Ovarian	0.3864038570844735	1.412137853001581	1.3920600636224114	0.0013664715761609	0.3863321894855043	14	41	True
ARID1A	ARID1B	Endometrial	0.2976763794772519	1.324049120408044	1.285484582920431	0.0003720142037244	0.8785216698622682	21	7	True
PIK3CA	PIK3CB	Endometrial	-0.1190583191807844	-0.6699186520527136	-0.6504064583036054	0.0885032789181023	0.1242893564931961	15	13	True
PIK3CA	PIK3CB	Ovarian	-0.1129602117024865	-0.5999131289751068	-0.5913835584209584	0.1222594062769343	0.6749795493611246	12	43	True
BRCA1	BRCA2	Ovarian	0.0638088304954411	0.2398956857985686	0.2364848466639918	0.6233173880993301	0.649755893614936	5	50	True
STK11	SIK1	Cervical	0.0362769749574782	0.3039556457172409	0.2873762468599369	0.5191674787535043	0.5409737799092611	6	10	True
FBXW7	FBXW2	Endometrial	0.0181085167127165	0.1656317157531993	0.1608074910225236	0.7313413898071391	0.931247735370951	8	20	True
BRCA2	BRCA1	Ovarian	-0.0022399625295969	-0.0067758234326184	-0.0066794847108276	0.9901019194072752	0.2984841881341751	5	50	True
PIK3R1	CRKL	Endometrial	0.244958090463513	0.3176968576971447	0.3084435511622764	0.5355936022087355	0.1564701114006824	7	21	False
KRAS	RRAS2	Ovarian	-0.1998681319662348	-1.5011792196259026	-1.4798354392520745	1.6923321605821552e-06	0.9831295613656932	8	47	False
BRCA1	BARD1	Ovarian	-0.1949908555549144	-0.5538405019970348	-0.5459659924899679	0.3588615187015073	0.649755893614936	5	50	False
KRAS	RHEB	Endometrial	-0.1594423727971457	-0.5984198749685005	-0.5809901698723305	0.1779803973878096	0.6531546030225304	6	22	False
KRAS	ERAS	Endometrial	0.145904148382284	1.2802562058545528	1.2429671901500512	0.0055261836441162	0.7503202350122962	6	22	False
KRAS	RAP1B	Ovarian	0.1283202438006263	0.6450812497577698	0.6359094784341996	0.0746143062508615	0.9831295613656932	8	47	False
KRAS	RRAS2	Endometrial	-0.1189419142934775	-0.9301570946620302	-0.903065140448573	0.0091368416776248	0.6341415356073031	6	22	False
KRAS	RASL10B	Endometrial	0.1134120426600401	1.1627717184251098	1.1289045809952525	0.011983481400703	0.0037524159459778	6	22	False
STK11	SIK2	Cervical	-0.1106938448403456	-0.8467498607038478	-0.8005635046654561	0.1882093738402818	0.5409737799092611	6	10	False
PIK3R1	SH2D2A	Endometrial	0.1058713353663841	0.5875620363398726	0.5704485789707501	0.2410545548632696	0.9541256752245454	7	21	False
KMT2D	KMT2C	Endometrial	0.1029746359526108	0.4442020084953226	0.4312640859177889	0.2535735380163018	0.0055734954957627	14	14	False
KRAS	RAP2B	Endometrial	0.0992529399345356	0.8035907050265001	0.7801851505111651	0.0457220952563077	0.65030974898788	6	22	False
PIK3R1	SHE	Endometrial	-0.0969403633799942	-0.722465649271012	-0.7014229604572932	0.0686446928448999	0.9541256752245454	7	21	False
KRAS	DIRAS2	Endometrial	-0.0949660928342362	-0.7498897054398713	-0.7280482577086129	0.0998775409189066	0.8765905769007566	6	22	False
PTEN	TNS2	Endometrial	-0.0902732131950828	-0.6441228262168126	-0.625361967200789	0.1060049308711692	0.031090108790086	17	11	False
KRAS	HRAS	Endometrial	-0.087184101192078	-0.5586681867660384	-0.5423962978311052	0.2592511664610812	0.4426235176901215	6	22	False
KRAS	DIRAS2	Ovarian	0.0869472955883193	0.8518047043261031	0.8396937369660163	0.0223474499017512	0.020092438297217	8	47	False
PIK3R1	SUPT6H	Endometrial	-0.0863018228755159	-0.2253363073415067	-0.218773113923793	0.6419734374138479	0.9541256752245454	7	21	False
KRAS	RASD2	Ovarian	0.0854979754075281	0.7124799180282892	0.7023498718003989	0.1186070216130232	0.9831295613656932	8	47	False
KRAS	NKIRAS2	Endometrial	0.0852612281942373	0.6874140444926884	0.6673922762064936	0.1860142667276183	0.4426235176901215	6	22	False
KRAS	RERGL	Endometrial	-0.0837154308879067	-0.9767791153407634	-0.948329238194916	0.032987417521991	0.65030974898788	6	22	False
FBXW7	FBXW4	Endometrial	0.0816782340176507	0.5037833098148182	0.4891100095289497	0.209247958636015	0.931247735370951	8	20	False
TP53	TP73	Ovarian	-0.0811102363738426	-0.5401610437805282	-0.5324810289400468	0.0963717850214433	0.1257634288854291	40	15	False
KRAS	RALB	Endometrial	-0.0792201209438319	-0.7761109086138569	-0.7535057365183077	0.045144262147517	0.4426235176901215	6	22	False
PIK3R1	SHC2	Endometrial	-0.0762099593797392	-0.665370030139546	-0.6459903205238311	0.1737970913027245	0.9541256752245454	7	21	False
PIK3R1	SHC3	Endometrial	-0.0753778568251904	-0.4502285861758064	-0.4371151322095208	0.2205572097783154	0.9541256752245454	7	21	False
KRAS	NRAS	Ovarian	-0.0726902408560027	-0.22391091874856	-0.2207273511834146	0.3731426758202091	0.9831295613656932	8	47	False
KRAS	RAP2C	Endometrial	0.0672002745714641	0.5112350604538711	0.4963447188872535	0.1301798391672264	0.4426235176901215	6	22	False
KRAS	RAP2C	Ovarian	0.0628620437045482	0.3723817792736494	0.3670872516062515	0.4071874165464832	0.9831295613656932	8	47	False
KRAS	RRAS	Ovarian	-0.0622450827768879	-0.66045873830776	-0.6510683297062279	0.0469801020520327	0.498324665274842	8	47	False
KRAS	RIT1	Ovarian	-0.0596832984125999	-0.4860244744327574	-0.4791141738484054	0.1431166205911077	0.3104051550658437	8	47	False
PIK3R1	SH2D4B	Endometrial	-0.0579229715442146	-0.4586906949914267	-0.4453307718363366	0.1990466649361662	0.7009302163516951	7	21	False
KRAS	RASL12	Ovarian	0.0561105696129698	0.3104934550053849	0.3060788561190524	0.5007300246965706	0.0237990199369363	8	47	False
KRAS	RERG	Endometrial	0.0548780893363835	0.3125121591308613	0.3034098632338459	0.4015915353644635	0.3080283748253804	6	22	False
KRAS	RIT2	Ovarian	-0.0540866770674606	-0.5988225963593337	-0.5903085310082531	0.0230115015834008	0.9512867609152754	8	47	False
KRAS	NRAS	Endometrial	-0.0536264062893024	-0.3727859349414811	-0.3619280921761953	0.3138859660171509	0.8118008128844857	6	22	False
KRAS	NKIRAS2	Ovarian	-0.052650835958082	-0.4479563160306689	-0.4415872688833134	0.2472182488745546	0.9831295613656932	8	47	False
PIK3R1	SLA2	Endometrial	-0.0505455749013714	-0.6427374208478045	-0.6240169134444704	0.1706399631026259	0.1263803442211752	7	21	False
KRAS	RASL11B	Endometrial	0.0503508403554805	0.3367461773430502	0.3269380362553885	0.5049433629118681	0.9653339777714952	6	22	False
PIK3R1	SHB	Endometrial	-0.0487764339131851	-0.2801452538348623	-0.2719856833348178	0.5830080116152467	0.7009302163516951	7	21	False
PIK3R1	SHC4	Endometrial	0.0478289600674346	0.4097157402310454	0.3977822720689761	0.3276136762449855	0.9541256752245454	7	21	False
