gene	n	n_events	hr_univariable	ci95_lo_univariable	ci95_hi_univariable	p_univariable	q_fdr_univariable	n_multivariable	n_events_multivariable	hr_multivariable	ci95_lo_multivariable	ci95_hi_multivariable	p_multivariable	q_fdr_multivariable	ph_test_p
PIK3CA	1069	151	1.2237897703395673	1.0269919549687383	1.4582990594442968	0.023960608759580143	0.3833697401532823	1050	143	1.3377673108815262	1.1232580917312065	1.5932414742768157	0.0011003011621139992	0.035209637187647976	0.2386341801470934
RBL1	1069	151	1.134181182538619	0.9614271925921123	1.3379764632582472	0.1353245695635344	0.5134768249902071	1050	143	1.3043759830248423	1.0927598017166367	1.556972266383946	0.003259060830342384	0.03978073324354555	0.35897362008873596
ARID1B	1069	151	1.2986778675197332	1.0868050493069588	1.5518553255352483	0.0040267021140841805	0.12885446765069378	1050	143	1.3058088306380178	1.086892361992244	1.5688183685887338	0.004372132509971493	0.03978073324354555	0.2706225084602374
BRCA2	1069	151	1.0980283381755518	0.9341692668920892	1.2906293047380213	0.25673841249510354	0.5134768249902071	1050	143	1.2706262819001837	1.0750621574283565	1.501765397563142	0.004972591655443194	0.03978073324354555	0.6953055603333888
STK11	1069	151	0.8996340209277695	0.774379031058239	1.0451488730326919	0.1667562321097833	0.5134768249902071	1050	143	0.8473980748233396	0.7244067311296766	0.9912711552175756	0.03849194653566234	0.2104651273127004	0.15063059136303428
RAF1	1069	151	1.095903388553644	0.9367682832507737	1.2820718405149607	0.2526152141973981	0.5134768249902071	1050	143	1.1863288560732452	1.0082758629797361	1.3958245024262168	0.039462211371131324	0.2104651273127004	0.9239007192091351
PIK3CB	1069	151	1.120163123415253	0.9619842388552151	1.3043513317355562	0.14401652488484942	0.5134768249902071	1050	143	1.1589923752211424	0.9876903693246565	1.3600044786699859	0.07057359349780612	0.3226221417042565	0.7927344292396951
RASA2	1069	151	1.0312107871391154	0.859699560112402	1.2369387363337017	0.7405321335160555	0.8912869846198139	1050	143	1.1854752399245023	0.9746285328416231	1.441935565313914	0.08860461398016174	0.3280019595029827	0.04673585651513004
BRCA1	1069	151	1.161907371202734	0.9902182461471376	1.3633648385172712	0.06584124982739792	0.5134768249902071	1050	143	1.15188779479822	0.9732992085479161	1.3632452180708672	0.09994308023851071	0.3280019595029827	0.35306076337639425
KRAS	1069	151	1.1454239172203162	0.9682978243556728	1.3549508396482925	0.11316410472317981	0.5134768249902071	1050	143	1.1588569465595382	0.9708927903341354	1.3832108302371022	0.1025006123446821	0.3280019595029827	0.7497384871547695
SMARCA4	1069	151	1.0527739217714822	0.8962585127275843	1.2366219284089326	0.5311433351315471	0.8232994857367442	1050	143	1.134596213698341	0.9669588897762534	1.3312960682707868	0.12160070174631125	0.34856201130276926	0.06112215557168879
TNS2	1069	151	0.9556338401394919	0.8197662437936915	1.1140200555142448	0.56191708232517	0.8232994857367442	1050	143	0.8899945482972736	0.7651528153433029	1.0352053604396387	0.13071075423853848	0.34856201130276926	0.1564697110135715
PPP2R1B	1069	151	1.0142307374602624	0.8493650310845833	1.2110976449026294	0.8759363103416635	0.9159442850411941	1050	143	1.1172872053090133	0.9297165128532661	1.342700362840866	0.23689474576659986	0.5831255280408613	0.5702670666980176
ATR	1069	151	0.9886491397830042	0.8379357636202241	1.1664702284227497	0.8923911429555514	0.9159442850411941	1050	143	1.0902642933269608	0.9193163355061951	1.2930002257049278	0.32061809666514907	0.6201343334507139	0.633010811569816
FBXW2	1069	151	1.1013250308729678	0.9331215693118492	1.2998486622936336	0.25370621904566704	0.5134768249902071	1050	143	1.0903382246721245	0.915724925076019	1.2982473356641118	0.33140433018720195	0.6201343334507139	0.011306153253864658
FBXW7	1069	151	1.009870407006642	0.8555689342665583	1.192000081001098	0.9075707483457321	0.9159442850411941	1050	143	1.081724675065825	0.9213803035088802	1.269973178491097	0.3372133988812618	0.6201343334507139	0.06610293183381134
HRAS	1069	151	0.8962387985172591	0.7578615873738722	1.059882170240408	0.20043822081552032	0.5134768249902071	1050	143	0.9198881813054652	0.7753810424045896	1.0913269990213883	0.3382211046123681	0.6201343334507139	0.040258609944829736
PPP2R1A	1069	151	1.0934210314269452	0.9378324920421044	1.274822062694208	0.25410822533075594	0.5134768249902071	1050	143	1.079275748894334	0.91676048743965	1.2706002910363283	0.3595437890819414	0.6201343334507139	0.483073183103731
ATM	1069	151	0.9909639997840374	0.8372415287639171	1.1729108209882906	0.9159442850411941	0.9159442850411941	1050	143	1.0803440241313003	0.9129740575456052	1.2783969060565668	0.3682047604863614	0.6201343334507139	0.071376244340798
BRAF	1069	151	0.8966855250431325	0.7591178078566521	1.0591833342601678	0.19937274861009235	0.5134768249902071	1050	143	0.9292845257947897	0.7821406149698067	1.1041105823599047	0.4043406595013611	0.6323964975946769	0.39133410368569654
CREBBP	1069	151	0.9590030204920515	0.8312028382802271	1.106452902898799	0.5661855909221629	0.8232994857367442	1050	143	0.9383093071866523	0.8050995991559633	1.0935595507389395	0.4150102015465067	0.6323964975946769	0.000548837870836531
RB1	1069	151	1.0987724282966502	0.9273549953107617	1.3018756088981267	0.2763840512026199	0.5202523316755198	1050	143	1.0602802315764286	0.8944919485371365	1.2567962979547065	0.4998508862961377	0.727055834612564	0.36452599389472246
KMT2D	1069	151	1.0490576201004542	0.8806139470810628	1.249721167758797	0.5917465053732849	0.8232994857367442	1050	143	1.0515810640852779	0.8816313530961075	1.254291524977309	0.5760088377530224	0.7715114503637933	0.1349611459120656
PTEN	1069	151	0.9718742559972617	0.8266360718060283	1.142630477528773	0.7297498034855077	0.8912869846198139	1050	143	1.0499003143917316	0.8811262252728967	1.251002000103291	0.586021997705569	0.7715114503637933	0.023777183755035958
SMARCA2	1069	151	0.8977168247853622	0.7596157120037763	1.0609252609807869	0.20549168215073066	0.5134768249902071	1050	143	0.9559839193289169	0.8069179928131155	1.1325875270538677	0.6027433205967135	0.7715114503637933	0.1735358682001945
PIK3R1	1069	151	0.883826701969255	0.7472842436687117	1.0453179572994609	0.14920321476116394	0.5134768249902071	1050	143	0.9637658523976003	0.8126548427719217	1.1429755529167025	0.6714470695559043	0.8092417189053638	0.28204986523087244
ARID1A	1069	151	1.025849605122123	0.8756503713005672	1.2018123292361291	0.7520233932729681	0.8912869846198139	1050	143	1.0325708372038642	0.8766189985356873	1.2162667425927156	0.7012174725946732	0.8092417189053638	0.0022327134664752737
NF1	1069	151	1.0694089672402298	0.8962225583758445	1.2760619876454993	0.45659034874624493	0.8117161755488799	1050	143	1.0321708949507278	0.8609236748718717	1.2374810769862297	0.7322743500674244	0.8092417189053638	0.014301126514457517
SIK1	1069	151	0.8674181391709815	0.7362767500024817	1.0219176799488945	0.08898955209124196	0.5134768249902071	1050	143	0.9731373835914202	0.8288297292827125	1.1425704627688806	0.7395067016180769	0.8092417189053638	0.6037722058781576
CRKL	1069	151	0.9475596234330108	0.794329624166787	1.1303484254440719	0.5494836760483011	0.8232994857367442	1050	143	1.0287361585169168	0.8586397026216245	1.2325287086177308	0.7586641114737785	0.8092417189053638	0.04783271100381849
KMT2C	1069	151	1.0141543096205123	0.8535378142352528	1.2049951936146786	0.8730608025843948	0.9159442850411941	1050	143	1.0193136778183902	0.852894432413374	1.2182051310238573	0.8333979908723036	0.8602817970294746	0.02222913020844227
EP300	1069	151	1.0293326233348206	0.8608316554564142	1.230816319016035	0.7512616333016608	0.8912869846198139	1050	143	1.0139193676203695	0.846275195038862	1.2147732676821295	0.8808356800251915	0.8808356800251915	0.0067210960059388945
