Driver	Paralog	Cancer	PCS	DD	Composite	Known	Status
PIK3CA	PIK3CD	NSCLC	0.0871603387466828	0.0564544917715251	0.85	False	Novel
IDH2	IDH3A	Endometrial	0.3897592400338962	0.0545558495843852	0.85	False	Novel
ERBB2	EGFR	Ovarian	0.3009601230282274	-0.307891629456918	0.85	False	Novel
TP53	TP63	Endometrial	0.0375894357748272	-0.0464563394376145	0.85	False	Novel
TP53	TP63	Melanoma	0.0606712752867876	-0.08268580111919	0.85	False	Novel
KEAP1	KLHL11	Colorectal	0.2061032452803701	0.2047739665038203	0.85	False	Novel
SPOP	SPOPL	Colorectal	0.051152778618065	0.0714393112131969	0.85	False	Novel
ERBB2	EGFR	NSCLC	0.0844737416155379	0.1878774135932345	0.85	False	Novel
TP53	TP63	Esophagogastric	0.1880529866852796	-0.2337790063023663	0.85	False	Novel
ERBB2	EGFR	SCLC	0.2594152438985251	0.1451963696686257	0.85	False	Novel
KRAS	RAP1B	SCLC	0.0879884249850699	-0.0842206933402225	0.8287925533566416	False	Novel
FBXW7	FBXW4	Colorectal	0.0229117082517274	0.0339906397539134	0.8265263488442738	False	Novel
