metric	value	provenance
dd_auroc_lineage_full	0.6287	recomputed:TableS2
auprc_lineage_full	0.3461	recomputed:TableS2
dd_auroc_lineage_full_abs_sens	0.6765	recomputed:TableS2(|DD| sensitivity)
auprc_lineage_full_abs_sens	0.3858	recomputed:TableS2(|DD| sensitivity)
dd_lineage_full_auroc_ci_lo	0.3295	recomputed:TableS2(bootstrap)
dd_lineage_full_auroc_ci_hi	0.8899	recomputed:TableS2(bootstrap)
dd_lineage_full_auprc_ci_lo	0.0476	recomputed:TableS2(bootstrap)
dd_lineage_full_auprc_ci_hi	0.6762	recomputed:TableS2(bootstrap)
dd_auroc_lineage_tier_ab	1.0000	recomputed:TableS2
auprc_lineage_tier_ab	1.0000	recomputed:TableS2
n_entries_tier_ab	104.0000	recomputed:TableS2
n_positives_tier_ab	2.0000	recomputed:TableS2
dd_lineage_tier_ab_auroc_ci_lo	1.0000	recomputed:TableS2(bootstrap)
dd_lineage_tier_ab_auroc_ci_hi	1.0000	recomputed:TableS2(bootstrap)
dd_lineage_tier_ab_auprc_ci_lo	1.0000	recomputed:TableS2(bootstrap)
dd_lineage_tier_ab_auprc_ci_hi	1.0000	recomputed:TableS2(bootstrap)
dd_auroc_lineage_tier_b	1.0000	recomputed:TableS2
n_positives_tier_a	0.0000	recomputed:TableS2
n_positives_tier_b	2.0000	recomputed:TableS2
dd_auroc_lineage_primary	0.5605	recomputed:TableS2
dd_auroc_lineage_leave_out_depmap_era	0.6134	recomputed:TableS2
dd_auroc_lineage_pre_depmap_only	0.5255	recomputed:TableS2
dd_auroc_lineage_full_direction_strict	0.6287	recomputed:TableS2
dd_auroc_direction_strict_abs_sens	0.6765	recomputed:TableS2(|DD| sensitivity)
dd_auroc_tier_ab_abs_sens	1.0000	recomputed:TableS2(|DD| sensitivity)
dd_auroc_per_pair_mean_abs_sens	0.5657	recomputed:TableS2(|DD| sensitivity)
dd_auroc_per_pair_max_abs_sens	0.5000	recomputed:TableS2(|DD| sensitivity)
component_dd_abs_sens	0.6765	recomputed:TableS2(|DD| sensitivity)
component_dd	0.6287	recomputed:TableS2
component_pcs	0.8248	recomputed:TableS2
component_delta_expression	0.5466	recomputed:TableS2
component_necessity	0.6422	recomputed:TableS2
auprc_component_dd	0.3461	recomputed:TableS2
component_dd_ci_lo	0.3295	recomputed:TableS2(paired bootstrap)
component_dd_ci_hi	0.8899	recomputed:TableS2(paired bootstrap)
component_pcs_ci_lo	0.6438	recomputed:TableS2(paired bootstrap)
component_pcs_ci_hi	0.9502	recomputed:TableS2(paired bootstrap)
component_delta_expression_abs_ci_lo	0.2965	recomputed:TableS2(paired bootstrap)
component_delta_expression_abs_ci_hi	0.7867	recomputed:TableS2(paired bootstrap)
component_necessity_ci_lo	0.4510	recomputed:TableS2(paired bootstrap)
component_necessity_ci_hi	0.8239	recomputed:TableS2(paired bootstrap)
paired_pcs_minus_dd	0.1954	recomputed:TableS2(paired bootstrap)
paired_pcs_minus_dd_ci_lo	-0.1325	recomputed:TableS2(paired bootstrap)
paired_pcs_minus_dd_ci_hi	0.5452	recomputed:TableS2(paired bootstrap)
paired_delta_expression_abs_minus_dd	-0.0822	recomputed:TableS2(paired bootstrap)
paired_delta_expression_abs_minus_dd_ci_lo	-0.4743	recomputed:TableS2(paired bootstrap)
paired_delta_expression_abs_minus_dd_ci_hi	0.3266	recomputed:TableS2(paired bootstrap)
paired_necessity_minus_dd	0.0129	recomputed:TableS2(paired bootstrap)
paired_necessity_minus_dd_ci_lo	-0.3382	recomputed:TableS2(paired bootstrap)
paired_necessity_minus_dd_ci_hi	0.3738	recomputed:TableS2(paired bootstrap)
dd_auroc_id_filter_0.3	1.0000	recomputed:TableS2+paralog_identity
dd_auroc_id_filter_0.2	0.8333	recomputed:TableS2+paralog_identity
per_pair_auroc	0.5985	artifact:validation_report.json
per_pair_null_mean	0.5013	artifact:validation_report.json
per_pair_empirical_p	0.2226	artifact:validation_report.json
dd_auroc_per_pair_mean	0.6717	recomputed:TableS2(per-pair mean)
auprc_dd_per_pair_mean	0.3107	recomputed:TableS2(per-pair mean)
component_pcs_per_pair_mean	0.8144	recomputed:TableS2(per-pair mean)
component_delta_expression_per_pair_mean	0.6086	recomputed:TableS2(per-pair mean)
component_necessity_per_pair_mean	0.6591	recomputed:TableS2(per-pair mean)
dd_auroc_per_pair_max	0.5985	recomputed:TableS2(per-pair max)
auprc_dd_per_pair_max	0.2684	recomputed:TableS2(per-pair max)
composite_auroc_per_pair_mean	0.8308	recomputed:TableS2(per-pair mean)
auprc_composite_per_pair	0.3565	recomputed:TableS2(per-pair mean)
llo_auroc_min	0.6057	recomputed:TableS2(LLO)
llo_auroc_max	0.6923	recomputed:TableS2(LLO)
published_SLMGAE	0.7900	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
published_NSF4SL	0.6830	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
published_GCATSL	0.6780	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
published_GRSMF	0.6560	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
published_PiLSL	0.6260	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
published_KG4SL	0.5630	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
published_SLGNN	0.5300	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
published_PTGNN	0.5290	literature:Feng2024_SuppData1_CV3_NSMRand_1to1
