hr,ci_low,ci_high,p_value,n_high,n_low,n_total,n_events,gene
1.6132153836239287,1.1629905249400125,2.2377343737130926,0.004178053020039375,534,535,1069,151,ARID1B
1.2958358093195013,0.9389225289064052,1.7884227857121897,0.11488801964592539,534,535,1069,151,NF1
1.245438440981244,0.9027869643229809,1.718142786251912,0.18121495030053403,534,535,1069,151,BRCA2
1.2375232002270884,0.8961141541820045,1.7090051127450978,0.195668651052175,534,535,1069,151,PIK3CA
1.2147617305444494,0.8813520495351962,1.6742981000311572,0.23465069613887812,534,535,1069,151,PIK3CB
1.2086944830558066,0.8765208611418982,1.6667513782459018,0.2476352406232225,534,535,1069,151,RB1
1.2030216311817543,0.872966831893348,1.6578648720848808,0.2586142046020776,534,535,1069,151,KRAS
1.1753501250066298,0.8501836330838506,1.6248818050545244,0.32818788932363296,534,535,1069,151,RASA2
1.1520825526175373,0.8344450370426478,1.5906310770926229,0.3896552174697978,534,535,1069,151,ATM
1.1426147409882312,0.8271641316929553,1.5783668516325755,0.4186202007093275,534,535,1069,151,KMT2D
1.1328815739042064,0.8228646050865039,1.5596984638277784,0.4443714478244768,534,535,1069,151,SMARCA4
1.1318094330730621,0.8219233862860555,1.5585304107010038,0.4481163933560558,534,535,1069,151,BRCA1
1.1135889445917246,0.8071635042525315,1.536343418630256,0.5123028396601954,534,535,1069,151,CRKL
1.103054990102574,0.8013041682505925,1.518437516488346,0.5474955750118407,534,535,1069,151,RAF1
1.0964194678561536,0.7952893626226352,1.5115701353400155,0.574200899598593,534,535,1069,151,EP300
1.0425495092075743,0.7575890074786316,1.4346954198376634,0.7981080174255795,534,535,1069,151,CREBBP
1.0395034821740616,0.754302212088002,1.43253920263717,0.8128274327265241,534,535,1069,151,PPP2R1A
1.035695956578987,0.7525667520264232,1.4253434816057362,0.8295564510695368,534,535,1069,151,RBL1
1.0208601107177606,0.7406679716323459,1.4070479696292115,0.8996373790193353,534,535,1069,151,ARID1A
1.0185033490389122,0.7395987135228558,1.4025836619730991,0.9105826479030786,534,535,1069,151,PTEN
1.0101454618527002,0.7335859846071682,1.3909669425432396,0.9506852767875094,534,535,1069,151,FBXW2
0.9799565067833331,0.7108662972140971,1.3509077008580803,0.9016178106479544,534,535,1069,151,ATR
0.9745495490494805,0.7077890782477796,1.3418500690965207,0.8744675972401561,534,535,1069,151,STK11
0.9711816458627287,0.7045272222253469,1.3387613132696707,0.8582869094552822,534,535,1069,151,KMT2C
0.9459174504347228,0.6855835559667495,1.3051068906914123,0.734944513830599,534,535,1069,151,FBXW7
0.8448475657421296,0.6115660390575972,1.167114201501924,0.3064705425348062,534,535,1069,151,TNS2
0.8366393682113227,0.6072902084129216,1.1526045089222086,0.2752064856211279,534,535,1069,151,SMARCA2
0.8204404574490178,0.5934941777573444,1.1341687407325602,0.2309383848246621,534,535,1069,151,PPP2R1B
0.8004127080179305,0.5789126462984975,1.1066617861138606,0.17802499987465847,534,535,1069,151,HRAS
0.7826952739558929,0.5678174800890274,1.0788887509712444,0.13457909080530175,534,535,1069,151,PIK3R1
0.7691882038613078,0.557707822443051,1.0608610264199763,0.10963883919815288,534,535,1069,151,SIK1
0.7396550612394496,0.5366067269115177,1.0195355037122837,0.0654988573139865,534,535,1069,151,BRAF
