driver,paralog,mean_ti,mean_ti_abs,mean_dd,mean_dd_pos,mean_selectivity,mean_pan_essential,mean_denominator,floor_0_01_active,n_contexts,classification
ARID1A,ARID1B,2.8194115385176928,2.8194115385176928,0.26991355585839727,0.26991355585839727,0.27704284779861527,0.10899999171595671,0.12558094241748272,False,4,HIGH_SELECTIVITY
ATR,ATM,0.0,1.656421568639166,0.07039153252919059,0.0,-0.0267665527382561,0.022785458269329234,0.05717509259323323,False,2,LOW_SELECTIVITY
BRAF,RAF1,0.0,1.1741084556543318,0.24526132189287667,0.0,-0.17769482867665082,0.15766053095194701,0.1987602072395075,False,2,LOW_SELECTIVITY
BRCA1,BRCA2,0.03899428530276961,0.1442640205625437,0.07948014178966946,0.021269610165147057,-0.08022651869086966,0.5450081459758879,0.5450081459758879,False,3,PAN_ESSENTIAL
BRCA2,BRCA1,0.11795226221511124,0.19290788008517987,0.11073626919302691,0.05270938590699402,-0.04729413982484344,0.5315695520383875,0.5573633695967017,False,4,PAN_ESSENTIAL
CDH1,CDH2,0.0,0.6871037413103468,0.09805646740688607,0.0,-0.08568824065633546,0.08422939068100359,0.14270984352360924,False,1,LOW_SELECTIVITY
EP300,CREBBP,1.7101892257820581,1.81548250534756,0.2792431019682068,0.2638197993378419,0.10840842482822252,0.13231980036244662,0.15903264731045125,False,4,MODERATE
FBXW7,FBXW2,0.7201332548696614,0.7201332548696614,0.025139304877983996,0.025139304877983996,-0.00023540489642184556,0.00022401433691756272,0.03741690236709709,False,4,LOW_SELECTIVITY
KMT2D,KMT2C,1.2608298488759226,1.7705720421449027,0.06396321105062192,0.046122306072847556,0.05581461071075314,0.023457501280081925,0.03899643506478547,False,4,MODERATE
KRAS,HRAS,0.0,0.20555494667238497,0.04285016558788619,0.0,-0.03966343221497261,0.03560045901489313,0.19496052451659535,False,4,LOW_SELECTIVITY
KRAS,NRAS,0.0,0.4196486320193893,0.08342247578373044,0.0,-0.05962635795366697,0.06307828539239146,0.1925726283904756,False,4,LOW_SELECTIVITY
MAP2K1,MAP2K2,0.003172738365854466,0.003172738365854466,0.0005912572337676836,0.0005912572337676836,-0.03429602888086643,0.034050179211469536,0.1863554966053588,False,1,LOW_SELECTIVITY
NF1,RASA2,1.8239106692860292,5.420599527987394,0.10094776411630363,0.01823910669286029,0.0054468652734548685,0.0013440860215053765,0.02703577054192762,True,4,MODERATE
PIK3CA,PIK3CB,0.0,1.3555529659428456,0.15156650658691212,0.0,-0.06507715134148925,0.06133803078034898,0.11174556818144743,False,5,LOW_SELECTIVITY
PIK3R1,CRKL,0.1666908443070653,0.1666908443070653,0.15226491487892205,0.15226491487892205,-0.16064895203016752,0.7261780632748375,0.9547362759116537,False,3,PAN_ESSENTIAL
PPP2R1A,PPP2R1B,0.9253821838412567,0.9253821838412567,0.07443453701442501,0.07443453701442501,0.0,0.0,0.08043653564351934,False,1,LOW_SELECTIVITY
PTEN,TNS2,0.01359440557368215,0.17409015832178168,0.041753539750721116,0.0035258409743776364,-0.0058446964683554455,0.055070389910193085,0.24760751593909208,False,5,LOW_SELECTIVITY
RB1,RBL1,0.0,3.439385040610442,0.16399834358373394,0.0,0.00684931506849315,0.00044802867383512545,0.04961906644496264,False,2,MODERATE
SMARCA4,SMARCA2,4.8738956823161645,4.8738956823161645,0.18644578935464012,0.18644578935464012,0.18119524380420604,0.054732811990876505,0.054732811990876505,False,2,HIGH_SELECTIVITY
STK11,SIK1,0.0,0.3924446658617047,0.017235163685178564,0.0,-0.011204481792717087,0.010752688172043012,0.0439174364807194,False,1,LOW_SELECTIVITY
TP53,TP63,0.5771302253487803,0.812725036434329,0.03520046361455007,0.024404331249507825,0.03708829926771654,0.03930603070460916,0.049709184578478886,False,5,MODERATE
