driver_gene,paralog_gene,kmer_jaccard
ARID1A,ARID1B,0.379621280432822
PIK3CA,PIK3CB,0.149101796407186
EP300,CREBBP,0.494342906875544
BRCA1,BRCA2,0.226615236258438
PPP2R1A,PPP2R1B,0.536690647482014
BRCA2,BRCA1,0.226615236258438
STK11,SIK1,0.0656219392752204
FBXW7,FBXW2,0.0791666666666667
PIK3R1,CRKL,0.04661487236404
PIK3R1,SUPT6H,NA
PTEN,TNS2,0.053941908713693
KRAS,RASL10B,NA
TP53,TP63,0.103867403314917
PTEN,TNS1,NA
KRAS,RALB,NA
KRAS,NRAS,NA
KRAS,RHEB,NA
KRAS,NKIRAS2,NA
KRAS,RAP1B,NA
KRAS,RAP2B,NA
KRAS,RAP2C,NA
TP53,TP73,NA
KRAS,RAP2A,NA
KMT2D,KMT2C,0.417326732673267
KRAS,NKIRAS1,NA
KRAS,RALA,NA
PIK3R1,PIK3R2,NA
KRAS,RASD2,NA
KRAS,MRAS,NA
KRAS,RAP1A,NA
KRAS,RASL10A,NA
KRAS,RRAS2,NA
KRAS,RASL11A,NA
PIK3R1,CRK,NA
PIK3R1,SHC1,NA
KRAS,RHEBL1,NA
PIK3R1,SHE,NA
KRAS,RERGL,NA
PIK3CA,PIK3CG,NA
KRAS,RASL11B,NA
KRAS,RERG,NA
KRAS,RIT1,NA
PIK3CA,PIK3CD,NA
KRAS,RASL12,NA
KRAS,HRAS,0.62882096069869
PIK3R1,SHC3,NA
KRAS,RIT2,NA
PIK3R1,SHB,NA
PIK3R1,SHC2,NA
PIK3R1,SH2D2A,NA
PIK3R1,SLA2,NA
KRAS,RRAS,NA
KRAS,DIRAS2,NA
PIK3R1,SHD,NA
PIK3R1,SH2D1A,NA
PIK3R1,SHF,NA
PIK3R1,SH2D4B,NA
KRAS,DIRAS1,NA
PIK3R1,SH2D7,NA
PIK3R1,PIK3R3,NA
PIK3R1,CLNK,NA
PIK3R1,SH2D1B,NA
STK11,SIK2,NA
PIK3R1,BLNK,NA
PIK3R1,SHC4,NA
PIK3R1,SH2D6,NA
PIK3R1,TNS4,NA
KRAS,ERAS,NA
PIK3R1,STAP1,NA
FBXW7,FBXW4,NA
STK11,SIK3,NA
KRAS,DIRAS3,NA
BRCA1,BARD1,NA
FBXW7,FBXW5,NA
CTNNB1,JUP,NA
NF1,RASA1,NA
NF1,RASA2,0.116557313778464
