gene,length,molecular_weight,isoelectric_point,gravy,aromaticity,aliphatic_index,instability_index,lysine_count,lysine_density,cysteine_count,cysteine_density,disorder_propensity
ARID1A,2285,283207.9,6.23,-0.778,0.0582,49.9,7.8,75,0.03282,16,0.007,0.6039
ARID1B,2319,285718.9,6.44,-0.71,0.0526,51.8,7.6,81,0.03493,19,0.00819,0.608
BARD1,777,100644.9,8.75,-0.573,0.0579,77.0,2.7,64,0.08237,26,0.03346,0.4659
BLNK,456,58680.8,8.34,-0.942,0.0614,58.0,4.6,37,0.08114,3,0.00658,0.5504
BRCA1,1863,241281.6,5.18,-0.785,0.0483,69.0,2.4,137,0.07354,44,0.02362,0.4954
BRCA2,3418,445803.0,6.27,-0.642,0.0688,74.2,2.3,322,0.09421,76,0.02224,0.4666
CLNK,428,57264.0,9.38,-0.977,0.0771,65.8,2.8,32,0.07477,5,0.01168,0.4533
CREBBP,2442,309342.9,8.45,-0.69,0.0434,60.9,6.3,116,0.0475,50,0.02048,0.5455
CRK,304,39307.0,5.27,-0.663,0.0855,73.7,3.3,11,0.03618,1,0.00329,0.4967
CRKL,303,39235.3,6.28,-0.582,0.0891,70.8,2.3,14,0.0462,2,0.0066,0.462
CTNNB1,781,99565.8,5.47,-0.175,0.0474,93.6,2.4,26,0.03329,11,0.01408,0.4289
DIRAS1,198,25895.6,8.99,-0.33,0.0707,81.6,1.0,16,0.08081,5,0.02525,0.4141
DIRAS2,199,26069.8,9.01,-0.396,0.0653,83.7,2.0,19,0.09548,6,0.03015,0.4724
DIRAS3,229,29986.5,9.83,-0.265,0.0699,93.2,0.9,23,0.10044,6,0.0262,0.3974
EP300,2414,307648.5,8.4,-0.725,0.0418,59.7,6.2,108,0.04474,51,0.02113,0.536
ERAS,233,29484.1,6.11,-0.192,0.0558,83.4,2.6,9,0.03863,9,0.03863,0.4549
FBXW2,454,59690.5,6.11,-0.067,0.1057,99.4,1.5,30,0.06608,14,0.03084,0.3656
FBXW4,412,53758.9,7.35,-0.139,0.0947,87.8,1.2,10,0.02427,16,0.03883,0.3835
FBXW5,566,74118.4,5.87,-0.245,0.0972,86.0,2.3,14,0.02473,11,0.01943,0.3887
FBXW7,707,92399.4,5.43,-0.646,0.058,75.0,2.5,37,0.05233,17,0.02405,0.4187
HRAS,189,24702.9,5.02,-0.417,0.0741,82.0,3.2,11,0.0582,6,0.03175,0.4074
JUP,745,95165.3,5.71,-0.157,0.0456,97.0,1.9,32,0.04295,13,0.01745,0.4201
KMT2C,4911,629838.6,6.05,-0.726,0.0521,63.6,5.8,278,0.05661,127,0.02586,0.5076
KMT2D,5537,693134.8,5.3,-0.648,0.0405,67.0,8.3,222,0.04009,115,0.02077,0.5931
KRAS,189,25060.6,6.38,-0.432,0.0794,85.0,2.7,16,0.08466,5,0.02646,0.3968
MRAS,208,27593.4,9.32,-0.451,0.0817,85.7,2.4,20,0.09615,1,0.00481,0.399
NF1,2839,370514.5,7.01,-0.137,0.0775,94.1,2.2,175,0.06164,63,0.02219,0.4033
NKIRAS1,192,25101.6,5.97,-0.392,0.0729,89.2,2.1,19,0.09896,3,0.01562,0.4531
NKIRAS2,191,24949.2,8.09,-0.529,0.0681,80.5,1.1,17,0.08901,5,0.02618,0.4555
NRAS,189,24633.9,4.86,-0.317,0.0794,83.0,2.1,12,0.06349,5,0.02646,0.3862
PIK3CA,1068,143523.4,6.84,-0.306,0.0955,91.4,1.2,72,0.06742,32,0.02996,0.3736
