driver	paralog	is_known_sl	evidence_tier	dws	abs_dd	selectivity	structural_similarity	domain_similarity	druggability	protac_score	targetability	clinical_targetability
ARID1A	ARID1B	True	Tier B	2.8194115385176928	0.2699135558583972	0.2770428477986152	0.952	1.0	0.394	0.6699	0.77048	0.8227004271697923
EP300	CREBBP	True	Tier C	1.710189225782058	0.2792431019682067	0.1084084248282225	0.976	1.0	0.459	0.6226	0.7832700000000001	0.6438729265300175
NF1	RASA2	False	unlabeled	1.8239106692860292	0.1009477641163036	0.0054468652734548	0.658	0.2	0.583	0.5495	0.4801499999999999	0.5536267605681294
KMT2D	KMT2C	False	unlabeled	1.2608298488759226	0.0639632110506218	0.0558146107107531	0.829	0.6	0.45	0.6354	0.62683	0.5252996322529622
PPP2R1A	PPP2R1B	True	Tier C	0.9253821838412568	0.074434537014425	0.0	0.921	1.0	0.584	0.5097	0.77819	0.5147442805121281
TP53	TP63	False	unlabeled	0.5771302253487803	0.03520046361455	0.0370882992677165	0.803	0.5	0.529	0.5463	0.59226	0.4151207743542678
FBXW7	FBXW2	True	Tier C	0.7201332548696614	0.0251393048779839	-0.0002354048964218	0.666	0.333	0.608	0.4968	0.51776	0.4074605700493788
KRAS	HRAS	False	unlabeled	0.0	0.0428501655878861	-0.0396634322149725	0.885	1.0	0.598	0.5304	0.7768299999999999	0.377099485167754
PIK3CA	PIK3CB	True	Tier C	0.0	0.151566506586912	-0.0650771513414892	0.847	1.0	0.616	0.5145	0.7686499999999999	0.3708334272987765
STK11	SIK1	True	comparator	0.0	0.0172351636851785	-0.011204481792717	0.71	0.333	0.53	0.5631	0.52252	0.3050753277310924
BRCA1	BRCA2	True	comparator	0.0389942853027696	0.0794801417896694	-0.0802265186908696	0.794	0.0	0.519	0.6373	0.45571	0.2802112809347686
PIK3R1	CRKL	False	unlabeled	0.1666908443070653	0.152264914878922	-0.1606489520301674	0.71	0.0	0.549	0.569	0.42855	0.2781166835301976
PTEN	TNS2	False	unlabeled	0.0135944055736821	0.041753539750721	-0.0058446964683554	0.571	0.0	0.547	0.5659	0.39268	0.2688559824756516
