gene_A,gene_B,homology_type,identity_pct
BTD,VNN1,gene_family,
BTD,VNN2,gene_family,
VNN1,VNN2,gene_family,
MOCS3,NAE1,gene_family,
MOCS3,SAE1,gene_family,
MOCS3,UBA2,gene_family,
MOCS3,UBA3,gene_family,
MOCS3,UBA5,gene_family,
MOCS3,UBA6,gene_family,
NAE1,SAE1,gene_family,
NAE1,UBA2,gene_family,
NAE1,UBA3,gene_family,
NAE1,UBA5,gene_family,
NAE1,UBA6,gene_family,
SAE1,UBA2,gene_family,
SAE1,UBA3,gene_family,
SAE1,UBA5,gene_family,
SAE1,UBA6,gene_family,
UBA2,UBA3,gene_family,
UBA2,UBA5,gene_family,
UBA2,UBA6,gene_family,
UBA3,UBA5,gene_family,
UBA3,UBA6,gene_family,
UBA5,UBA6,gene_family,
CYP1A1,CYP1A2,gene_family,
CYP1A1,CYP1B1,gene_family,
CYP1A2,CYP1B1,gene_family,
CYP2A6,CYP2A7,gene_family,
CYP2A6,CYP2A13,gene_family,
CYP2A6,CYP2B6,gene_family,
CYP2A6,CYP2C8,gene_family,
CYP2A6,CYP2C9,gene_family,
CYP2A6,CYP2C18,gene_family,
CYP2A6,CYP2C19,gene_family,
CYP2A6,CYP2D6,gene_family,
CYP2A6,CYP2D7,gene_family,
CYP2A6,CYP2E1,gene_family,
CYP2A6,CYP2F1,gene_family,
CYP2A6,CYP2J2,gene_family,
CYP2A6,CYP2R1,gene_family,
CYP2A6,CYP2S1,gene_family,
CYP2A6,CYP2U1,gene_family,
CYP2A6,CYP2W1,gene_family,
CYP2A7,CYP2A13,gene_family,
CYP2A7,CYP2B6,gene_family,
CYP2A7,CYP2C8,gene_family,
CYP2A7,CYP2C9,gene_family,
CYP2A7,CYP2C18,gene_family,
CYP2A7,CYP2C19,gene_family,
CYP2A7,CYP2D6,gene_family,
CYP2A7,CYP2D7,gene_family,
CYP2A7,CYP2E1,gene_family,
CYP2A7,CYP2F1,gene_family,
CYP2A7,CYP2J2,gene_family,
CYP2A7,CYP2R1,gene_family,
CYP2A7,CYP2S1,gene_family,
CYP2A7,CYP2U1,gene_family,
CYP2A7,CYP2W1,gene_family,
CYP2A13,CYP2B6,gene_family,
CYP2A13,CYP2C8,gene_family,
CYP2A13,CYP2C9,gene_family,
CYP2A13,CYP2C18,gene_family,
CYP2A13,CYP2C19,gene_family,
CYP2A13,CYP2D6,gene_family,
CYP2A13,CYP2D7,gene_family,
CYP2A13,CYP2E1,gene_family,
CYP2A13,CYP2F1,gene_family,
CYP2A13,CYP2J2,gene_family,
CYP2A13,CYP2R1,gene_family,
CYP2A13,CYP2S1,gene_family,
CYP2A13,CYP2U1,gene_family,
CYP2A13,CYP2W1,gene_family,
CYP2B6,CYP2C8,gene_family,
CYP2B6,CYP2C9,gene_family,
CYP2B6,CYP2C18,gene_family,
CYP2B6,CYP2C19,gene_family,
CYP2B6,CYP2D6,gene_family,
CYP2B6,CYP2D7,gene_family,
CYP2B6,CYP2E1,gene_family,
CYP2B6,CYP2F1,gene_family,
CYP2B6,CYP2J2,gene_family,
CYP2B6,CYP2R1,gene_family,
CYP2B6,CYP2S1,gene_family,
CYP2B6,CYP2U1,gene_family,
CYP2B6,CYP2W1,gene_family,
CYP2C8,CYP2C9,gene_family,
CYP2C8,CYP2C18,gene_family,
CYP2C8,CYP2C19,gene_family,
CYP2C8,CYP2D6,gene_family,
CYP2C8,CYP2D7,gene_family,
CYP2C8,CYP2E1,gene_family,
CYP2C8,CYP2F1,gene_family,
CYP2C8,CYP2J2,gene_family,
CYP2C8,CYP2R1,gene_family,
CYP2C8,CYP2S1,gene_family,
CYP2C8,CYP2U1,gene_family,
CYP2C8,CYP2W1,gene_family,
CYP2C9,CYP2C18,gene_family,
CYP2C9,CYP2C19,gene_family,
CYP2C9,CYP2D6,gene_family,
CYP2C9,CYP2D7,gene_family,
CYP2C9,CYP2E1,gene_family,
CYP2C9,CYP2F1,gene_family,
CYP2C9,CYP2J2,gene_family,
CYP2C9,CYP2R1,gene_family,
CYP2C9,CYP2S1,gene_family,
CYP2C9,CYP2U1,gene_family,
CYP2C9,CYP2W1,gene_family,
CYP2C18,CYP2C19,gene_family,
CYP2C18,CYP2D6,gene_family,
CYP2C18,CYP2D7,gene_family,
CYP2C18,CYP2E1,gene_family,
CYP2C18,CYP2F1,gene_family,
CYP2C18,CYP2J2,gene_family,
CYP2C18,CYP2R1,gene_family,
CYP2C18,CYP2S1,gene_family,
CYP2C18,CYP2U1,gene_family,
CYP2C18,CYP2W1,gene_family,
CYP2C19,CYP2D6,gene_family,
CYP2C19,CYP2D7,gene_family,
CYP2C19,CYP2E1,gene_family,
CYP2C19,CYP2F1,gene_family,
CYP2C19,CYP2J2,gene_family,
CYP2C19,CYP2R1,gene_family,
CYP2C19,CYP2S1,gene_family,
CYP2C19,CYP2U1,gene_family,
CYP2C19,CYP2W1,gene_family,
CYP2D6,CYP2D7,gene_family,
CYP2D6,CYP2E1,gene_family,
CYP2D6,CYP2F1,gene_family,
CYP2D6,CYP2J2,gene_family,
CYP2D6,CYP2R1,gene_family,
CYP2D6,CYP2S1,gene_family,
CYP2D6,CYP2U1,gene_family,
CYP2D6,CYP2W1,gene_family,
CYP2D7,CYP2E1,gene_family,
CYP2D7,CYP2F1,gene_family,
CYP2D7,CYP2J2,gene_family,
CYP2D7,CYP2R1,gene_family,
CYP2D7,CYP2S1,gene_family,
CYP2D7,CYP2U1,gene_family,
CYP2D7,CYP2W1,gene_family,
CYP2E1,CYP2F1,gene_family,
CYP2E1,CYP2J2,gene_family,
CYP2E1,CYP2R1,gene_family,
CYP2E1,CYP2S1,gene_family,
CYP2E1,CYP2U1,gene_family,
CYP2E1,CYP2W1,gene_family,
CYP2F1,CYP2J2,gene_family,
CYP2F1,CYP2R1,gene_family,
CYP2F1,CYP2S1,gene_family,
CYP2F1,CYP2U1,gene_family,
CYP2F1,CYP2W1,gene_family,
CYP2J2,CYP2R1,gene_family,
CYP2J2,CYP2S1,gene_family,
CYP2J2,CYP2U1,gene_family,
CYP2J2,CYP2W1,gene_family,
CYP2R1,CYP2S1,gene_family,
CYP2R1,CYP2U1,gene_family,
CYP2R1,CYP2W1,gene_family,
CYP2S1,CYP2U1,gene_family,
CYP2S1,CYP2W1,gene_family,
CYP2U1,CYP2W1,gene_family,
CYP3A4,CYP3A5,gene_family,
CYP3A4,CYP3A7,gene_family,
CYP3A4,CYP3A43,gene_family,
CYP3A5,CYP3A7,gene_family,
CYP3A5,CYP3A43,gene_family,
CYP3A7,CYP3A43,gene_family,
CYP4A11,CYP4A22,gene_family,
CYP4A11,CYP4B1,gene_family,
CYP4A11,CYP4F2,gene_family,
CYP4A11,CYP4F3,gene_family,
CYP4A11,CYP4F8,gene_family,
CYP4A11,CYP4F11,gene_family,
CYP4A11,CYP4F12,gene_family,
CYP4A11,CYP4F22,gene_family,
CYP4A11,CYP4V2,gene_family,
CYP4A11,CYP4X1,gene_family,
CYP4A11,CYP4Z1,gene_family,
CYP4A22,CYP4B1,gene_family,
CYP4A22,CYP4F2,gene_family,
CYP4A22,CYP4F3,gene_family,
CYP4A22,CYP4F8,gene_family,
CYP4A22,CYP4F11,gene_family,
CYP4A22,CYP4F12,gene_family,
CYP4A22,CYP4F22,gene_family,
CYP4A22,CYP4V2,gene_family,
CYP4A22,CYP4X1,gene_family,
CYP4A22,CYP4Z1,gene_family,
CYP4B1,CYP4F2,gene_family,
CYP4B1,CYP4F3,gene_family,
CYP4B1,CYP4F8,gene_family,
CYP4B1,CYP4F11,gene_family,
CYP4B1,CYP4F12,gene_family,
CYP4B1,CYP4F22,gene_family,
CYP4B1,CYP4V2,gene_family,
CYP4B1,CYP4X1,gene_family,
CYP4B1,CYP4Z1,gene_family,
CYP4F2,CYP4F3,gene_family,
CYP4F2,CYP4F8,gene_family,
CYP4F2,CYP4F11,gene_family,
CYP4F2,CYP4F12,gene_family,
CYP4F2,CYP4F22,gene_family,
CYP4F2,CYP4V2,gene_family,
CYP4F2,CYP4X1,gene_family,
CYP4F2,CYP4Z1,gene_family,
CYP4F3,CYP4F8,gene_family,
CYP4F3,CYP4F11,gene_family,
CYP4F3,CYP4F12,gene_family,
CYP4F3,CYP4F22,gene_family,
CYP4F3,CYP4V2,gene_family,
CYP4F3,CYP4X1,gene_family,
CYP4F3,CYP4Z1,gene_family,
CYP4F8,CYP4F11,gene_family,
CYP4F8,CYP4F12,gene_family,
CYP4F8,CYP4F22,gene_family,
CYP4F8,CYP4V2,gene_family,
CYP4F8,CYP4X1,gene_family,
CYP4F8,CYP4Z1,gene_family,
CYP4F11,CYP4F12,gene_family,
CYP4F11,CYP4F22,gene_family,
CYP4F11,CYP4V2,gene_family,
CYP4F11,CYP4X1,gene_family,
CYP4F11,CYP4Z1,gene_family,
CYP4F12,CYP4F22,gene_family,
CYP4F12,CYP4V2,gene_family,
CYP4F12,CYP4X1,gene_family,
CYP4F12,CYP4Z1,gene_family,
CYP4F22,CYP4V2,gene_family,
CYP4F22,CYP4X1,gene_family,
CYP4F22,CYP4Z1,gene_family,
CYP4V2,CYP4X1,gene_family,
CYP4V2,CYP4Z1,gene_family,
CYP4X1,CYP4Z1,gene_family,
CYP7A1,CYP7B1,gene_family,
PTGIS,CYP8B1,gene_family,
CYP11A1,CYP11B1,gene_family,
CYP11A1,CYP11B2,gene_family,
CYP11B1,CYP11B2,gene_family,
CYP26A1,CYP26B1,gene_family,
CYP26A1,CYP26C1,gene_family,
CYP26B1,CYP26C1,gene_family,
CYP27A1,CYP27B1,gene_family,
CYP27A1,CYP27C1,gene_family,
CYP27B1,CYP27C1,gene_family,
PEA15,DEDD,gene_family,
PEA15,DEDD2,gene_family,
DEDD,DEDD2,gene_family,
UBE2A,UBE2B,gene_family,
UBE2A,UBE2C,gene_family,
UBE2A,UBE2D1,gene_family,
UBE2A,UBE2D2,gene_family,
UBE2A,UBE2D3,gene_family,
UBE2A,UBE2D4,gene_family,
UBE2A,UBE2E1,gene_family,
UBE2A,UBE2E2,gene_family,
UBE2A,UBE2E3,gene_family,
UBE2A,UBE2F,gene_family,
UBE2A,UBE2G1,gene_family,
UBE2A,UBE2G2,gene_family,
UBE2A,UBE2H,gene_family,
UBE2A,UBE2I,gene_family,
UBE2A,UBE2J1,gene_family,
UBE2A,UBE2J2,gene_family,
UBE2A,UBE2K,gene_family,
UBE2A,UBE2L3,gene_family,
UBE2A,UBE2L5,gene_family,
UBE2A,UBE2L6,gene_family,
UBE2A,UBE2M,gene_family,
UBE2A,UBE2N,gene_family,
UBE2A,UBE2NL,gene_family,
UBE2A,UBE2O,gene_family,
UBE2A,UBE2Q1,gene_family,
UBE2A,UBE2Q2,gene_family,
UBE2A,UBE2QL1,gene_family,
UBE2A,UBE2R2,gene_family,
UBE2A,UBE2S,gene_family,
UBE2A,UBE2U,gene_family,
UBE2A,UBE2V1,gene_family,
UBE2A,UBE2V2,gene_family,
UBE2A,UBE2W,gene_family,
UBE2A,UBE2Z,gene_family,
UBE2A,CDC34,gene_family,
