gene_a,gene_b,is_known_sl,structural_similarity,domain_similarity,length_a,length_b,length_ratio,disorder_a,disorder_b,lysine_a,lysine_b,cysteine_a,cysteine_b,pI_a,pI_b,protac_score,druggability,domains_a,domains_b,n_domains_a,n_domains_b,targetability,driver,paralog,mean_ti,mean_ti_abs,mean_dd,mean_selectivity,clinical_targetability
ARID1A,ARID1B,True,0.952,1.0,2285.0,2319.0,0.985,0.604,0.608,0.0328,0.0349,0.007,0.0082,6.2,6.4,0.6699,0.394,ARID_DNA_bind+AT-rich_interaction,ARID_DNA_bind+AT-rich_interaction,2,2,0.77048,ARID1A,ARID1B,2.8194115385176928,2.8194115385176928,0.2699135558583972,0.2770428477986152,0.8227004271697923
EP300,CREBBP,True,0.976,1.0,2414.0,2442.0,0.989,0.536,0.546,0.0447,0.0475,0.0211,0.0205,8.4,8.4,0.6226,0.459,KAT11_HAT+Bromodomain+ZZ+TAZ1+TAZ2+KIX,KAT11_HAT+Bromodomain+ZZ+TAZ1+TAZ2+KIX,6,6,0.7832700000000001,EP300,CREBBP,1.7101892257820581,1.81548250534756,0.27924310196820673,0.1084084248282225,0.6438729265300175
NF1,RASA2,False,0.658,0.2,2839.0,850.0,0.299,0.403,0.431,0.0616,0.0835,0.0222,0.0282,7.0,6.8,0.5495,0.583,RAS-GAP+CRAL-TRIO+PH-like,RAS-GAP+PH+C2,3,3,0.48014999999999997,NF1,RASA2,1.8239106692860292,5.420599527987394,0.1009477641163036,0.00544686527345485,0.5536267605681294
KMT2D,KMT2C,False,0.829,0.6,5537.0,4911.0,0.887,0.593,0.508,0.0401,0.0566,0.0208,0.0259,5.3,6.0,0.6354,0.45,PHD_x6+FYRN+FYRC+SET,PHD_x7+FYRN+FYRC+SET,4,4,0.62683,KMT2D,KMT2C,1.2608298488759226,1.7705720421449027,0.06396321105062187,0.055814610710753124,0.5252996322529622
PPP2R1A,PPP2R1B,True,0.921,1.0,589.0,601.0,0.98,0.411,0.421,0.0543,0.0499,0.0238,0.0183,4.9,4.7,0.5097,0.584,HEAT_repeats,HEAT_repeats,1,1,0.77819,PPP2R1A,PPP2R1B,0.9253821838412568,0.9253821838412568,0.074434537014425,0.0,0.5147442805121281
TP53,TP63,False,0.803,0.5,393.0,680.0,0.578,0.496,0.446,0.0509,0.0368,0.0254,0.0235,6.3,6.1,0.5463,0.529,TAD+Proline_rich+DNA_bind+Tetramer,TAD+Proline_rich+DNA_bind+SAM+TI,4,5,0.59226,TP53,TP63,0.5771302253487803,0.812725036434329,0.03520046361455002,0.03708829926771652,0.41512077435426786
FBXW7,FBXW2,True,0.666,0.333,707.0,454.0,0.642,0.419,0.366,0.0523,0.0661,0.024,0.0308,5.4,6.1,0.4968,0.608,F-box+WD40_repeats_x8,F-box+WD40_repeats,2,2,0.51776,FBXW7,FBXW2,0.7201332548696614,0.7201332548696614,0.02513930487798395,-0.000235404896421825,0.40746057004937886
KRAS,HRAS,False,0.885,1.0,189.0,189.0,1.0,0.397,0.407,0.0847,0.0582,0.0265,0.0318,6.4,5.0,0.5304,0.598,G_domain+Hypervariable_region,G_domain+Hypervariable_region,2,2,0.7768299999999999,KRAS,HRAS,0.0,0.20555494667238494,0.04285016558788615,-0.03966343221497257,0.37709948516775404
PIK3CA,PIK3CB,True,0.847,1.0,1068.0,1070.0,0.998,0.374,0.395,0.0674,0.0757,0.03,0.0224,6.8,6.7,0.5145,0.616,PI3K_p85B+PI3K_C2+PI3Ka+PI3Kc,PI3K_p85B+PI3K_C2+PI3Ka+PI3Kc,4,4,0.7686499999999999,PIK3CA,PIK3CB,0.0,1.3555529659428456,0.15156650658691206,-0.0650771513414892,0.37083342729877655
STK11,SIK1,True,0.71,0.333,433.0,783.0,0.553,0.45,0.49,0.0739,0.0306,0.0231,0.0243,7.2,6.8,0.5631,0.53,Kinase+STRAD_binding,Kinase+UBA,2,2,0.52252,STK11,SIK1,0.0,0.3924446658617047,0.0172351636851785,-0.011204481792717,0.3050753277310924
BRCA1,BRCA2,True,0.794,0.0,1863.0,3418.0,0.545,0.495,0.467,0.0735,0.0942,0.0236,0.0222,5.2,6.3,0.6373,0.519,RING+BRCT_x2+Coiled-coil,BRC_repeats+OB_fold_x3+Tower_domain,3,3,0.45571000000000006,BRCA1,BRCA2,0.0389942853027696,0.14426402056254367,0.07948014178966945,-0.08022651869086966,0.28021128093476866
PIK3R1,CRKL,False,0.71,0.0,724.0,303.0,0.419,0.439,0.462,0.076,0.0462,0.0083,0.0066,5.8,6.3,0.569,0.549,SH3+RhoGAP+SH2_x2+p85_iSH2,SH2+SH3_x2,4,2,0.42855,PIK3R1,CRKL,0.1666908443070653,0.1666908443070653,0.152264914878922,-0.16064895203016746,0.2781166835301976
PTEN,TNS2,False,0.571,0.0,403.0,1409.0,0.286,0.38,0.527,0.0844,0.0404,0.0248,0.0234,5.9,8.2,0.5659,0.547,Phosphatase+C2+PDZ_binding,PTB+SH2,3,2,0.39268,PTEN,TNS2,0.013594405573682139,0.17409015832178165,0.04175353975072106,-0.005844696468355417,0.2688559824756516
