gene_A,gene_B,jaccard,len_A,len_B,min_len,geomean_len,is_benchmark_pair,expected_jaccard,jaccard_corrected
ARID1A,ARID1B,0.37962128043282234,2285,2319,2285,2301.9372276411013,True,0.15824662045854385,-0.21105573349929682
ARID1A,BRCA1,0.1649285438393202,2285,1863,1863,2063.2389585309793,False,0.14781620154659278,-0.41531805118084786
ARID1A,BRCA2,0.18566176470588236,2285,3418,2285,2794.6609812283136,False,0.1767266421117317,-0.4234952708794246
ARID1A,CREBBP,0.22468117029257315,2285,2442,2285,2362.196012188658,False,0.16070865652491753,-0.3684578797059197
ARID1A,CRKL,0.06042998256827426,2285,303,303,832.0787222372652,False,0.0612941053804075,-0.43329451628570853
ARID1A,EP300,0.220422004521477,2285,2414,2285,2348.614485180571,False,0.16015927380278375,-0.37216766275488206
ARID1A,FBXW2,0.05525751072961373,2285,454,454,1018.5234410655456,False,0.08055754076024549,-0.45773042350420706
ARID1A,FBXW7,0.08413583375570198,2285,707,707,1271.0212429381343,False,0.10165836069686215,-0.4499529204147355
ARID1A,HRAS,0.0225787284610814,2285,189,189,657.1643630021335,False,0.03880926758942668,-0.4486609326019206
ARID1A,KMT2C,0.24842336166712367,2285,4911,2285,3349.870893034536,False,0.1939919922555692,-0.37799902406202085
ARID1A,KMT2D,0.24100614214682656,2285,5537,2285,3556.971324033974,False,0.19970746951651355,-0.3911317208432623
ARID1A,KRAS,0.02195845697329377,2285,189,189,657.1643630021335,False,0.03880926758942668,-0.44928120408970823
ARID1A,NF1,0.18837284832737902,2285,2839,2285,2546.9815468510956,False,0.16788470378583856,-0.41194224893203485
ARID1A,PIK3CA,0.09666080843585237,2285,1068,1068,1562.1715654818456,False,0.12130995518483137,-0.4570795402225543
ARID1A,PIK3CB,0.11046770601336303,2285,1070,1070,1563.6335887924638,False,0.12139908299823118,-0.4433617704584435
ARID1A,PIK3R1,0.10505050505050505,2285,724,724,1286.211491163098,False,0.10279029325016034,-0.4301701816732306
ARID1A,PPP2R1A,0.07105809128630705,2285,589,589,1160.1142185147116,False,0.09295930185597548,-0.45433160404324374
ARID1A,PPP2R1B,0.0763239875389408,2285,601,601,1171.8724333305227,False,0.09392011699329736,-0.4500265229279319
ARID1A,PTEN,0.04345464421510049,2285,403,403,959.6119007182018,False,0.07488087076747793,-0.46385662002595274
ARID1A,RASA2,0.09401709401709402,2285,850,850,1393.6462965903509,False,0.11043369885206736,-0.4488469983085487
ARID1A,SIK1,0.12227295788939624,2285,783,783,1337.592987421809,False,0.10652237912972876,-0.4166798147139078
ARID1A,STK11,0.06396938217605248,2285,433,433,994.6883934177578,False,0.07830139232688713,-0.44676240362440994
ARID1A,TNS2,0.1874722345624167,2285,1409,1409,1794.3146323875308,False,0.13451030966646418,-0.3794684685776228
ARID1A,TP53,0.08125,2285,393,393,947.6312573992059,False,0.07368385295866939,-0.4248642464322447
ARID1A,TP63,0.10116929334011185,2285,680,680,1246.5151423067432,False,0.09980340731167439,-0.43106450744513786
ARID1B,BRCA1,0.15882806476484193,2319,1863,1863,2078.5324149505104,False,0.14823926091641532,-0.4218415896251487
ARID1B,BRCA2,0.1836859858938976,2319,3418,2319,2815.3759962037043,False,0.17714970148155423,-0.42589410906123193
ARID1B,CREBBP,0.22093023255813954,2319,2442,2319,2379.705443957298,False,0.16113171589474007,-0.37263187681017584
ARID1B,CRKL,0.04973973395026027,2319,303,303,838.2463838275713,False,0.061717164750230036,-0.4444078242735451
ARID1B,EP300,0.21849056603773584,2319,2414,2319,2366.0232458705896,False,0.16058233317260628,-0.3745221606084458
ARID1B,FBXW2,0.065323897659227,2319,454,454,1026.0730968113335,False,0.08098060013006803,-0.4480870959444163
ARID1B,FBXW7,0.08511722731906218,2319,707,707,1280.4425016376174,False,0.10208142006668469,-0.4493945862211978
ARID1B,HRAS,0.02332535885167464,2319,189,189,662.0354975377076,False,0.03923232695924922,-0.4483373615811499
ARID1B,KMT2C,0.2392253136933988,2319,4911,2319,3374.7013201170857,False,0.19441505162539174,-0.3876201314055683
ARID1B,KMT2D,0.25051698670605616,2319,5537,2319,3583.33685271145,False,0.2001305288863361,-0.38204393565385525
ARID1B,KRAS,0.022700119474313024,2319,189,189,662.0354975377076,False,0.03923232695924922,-0.4489626009585115
ARID1B,NF1,0.19248366013071896,2319,2839,2319,2565.860674315735,False,0.1683077631556611,-0.4082544964985174
ARID1B,PIK3CA,0.09854175872735307,2319,1068,1068,1573.7509332801046,False,0.1217330145546539,-0.4556216493008761
ARID1B,PIK3CB,0.10848214285714286,2319,1070,1070,1575.2237936242584,False,0.12182214236805372,-0.4457703929844862
ARID1B,PIK3R1,0.10111223458038422,2319,724,724,1295.74534535147,False,0.10321335261998288,-0.434531511513174
ARID1B,PPP2R1A,0.07760880964866282,2319,589,589,1168.7133951486994,False,0.09338236122579802,-0.4482039450507105
ARID1B,PPP2R1B,0.08067050811943426,2319,601,601,1180.5587660087065,False,0.0943431763631199,-0.44610306171726094
ARID1B,PTEN,0.04312227074235808,2319,403,403,966.7248833044487,False,0.07530393013730047,-0.4646120528685177
ARID1B,RASA2,0.09394372913686218,2319,850,850,1403.9764955297508,False,0.1108567582218899,-0.44934342255860305
ARID1B,SIK1,0.11663286004056796,2319,783,783,1347.507699421417,False,0.10694543849955129,-0.42274297193255866
ARID1B,STK11,0.06432105552501374,2319,433,433,1002.0613753658006,False,0.07872445169670966,-0.4468337896452712
ARID1B,TNS2,0.17312775330396477,2319,1409,1409,1807.6147266494595,False,0.13493336903628672,-0.3942360092058973
ARID1B,TP53,0.07434733257661748,2319,393,393,954.6554352225728,False,0.07410691232849193,-0.4321899732254498
ARID1B,TP63,0.09887869520897044,2319,680,680,1255.754753126581,False,0.10022646668149693,-0.4337781649461018
BRCA1,BRCA2,0.2266152362584378,1863,3418,1863,2523.436941950403,True,0.17087835577896957,-0.3766935129941071
BRCA1,CREBBP,0.1761904761904762,1863,2442,1863,2132.943037214074,False,0.1548603701921554,-0.4111002874752545
BRCA1,CRKL,0.05103857566765579,1863,303,303,751.3248298838525,False,0.05544581904764537,-0.4368376368535649
BRCA1,EP300,0.17181751287711552,1863,2414,1863,2120.6796080502118,False,0.15431098747002162,-0.4149238680664814
BRCA1,FBXW2,0.06692693809258227,1863,454,454,919.6749425748209,False,0.07470925442748336,-0.4402127098084764
BRCA1,FBXW7,0.09048117154811715,1863,707,707,1147.6676348141914,False,0.09581007436410002,-0.4377592962895582
BRCA1,HRAS,0.027110289587184228,1863,189,189,593.3860463475696,False,0.03296098125666455,-0.43828108514305564
BRCA1,KMT2C,0.23024336888159694,1863,4911,1863,3024.763296524209,False,0.18814370592280708,-0.39033073051478545
BRCA1,KMT2D,0.22449576147325342,1863,5537,1863,3211.764468325783,False,0.19385918318375142,-0.4017938151840733
BRCA1,KRAS,0.027093596059113302,1863,189,189,593.3860463475696,False,0.03296098125666455,-0.43829777867112657
BRCA1,NF1,0.20327102803738317,1863,2839,1863,2299.794990863316,False,0.16203641745307643,-0.3911957828892686
BRCA1,PIK3CA,0.11252847380410023,1863,1068,1068,1410.5615902894847,False,0.11546166885206924,-0.43536358852154433
BRCA1,PIK3CB,0.1136986301369863,1863,1070,1070,1411.8817230915627,False,0.11555079666546905,-0.43428256000205806
BRCA1,PIK3R1,0.10512687726566546,1863,724,724,1161.3836575395746,False,0.09694200691739821,-0.42424552312530805
BRCA1,PPP2R1A,0.08118279569892473,1863,589,589,1047.5242240635775,False,0.08711101552321335,-0.43835861329786396
BRCA1,PPP2R1B,0.08431793770139635,1863,601,601,1058.1412949129242,False,0.08807183066053523,-0.4361842864327142
BRCA1,PTEN,0.055995475113122174,1863,403,403,866.4808134055826,False,0.0690325844347158,-0.44546750279516895
BRCA1,RASA2,0.1210762331838565,1863,850,850,1258.3918308698608,False,0.10458541251930523,-0.41593957280902405
BRCA1,SIK1,0.10440122824974411,1863,783,783,1207.7785393026322,False,0.10067409279696662,-0.42870325802079784
BRCA1,STK11,0.06531531531531531,1863,433,433,898.1531049882308,False,0.072453105994125,-0.43956818415238497
BRCA1,TNS2,0.14167393199651265,1863,1409,1409,1620.1749905488605,False,0.12866202333370205,-0.4194184848107647
BRCA1,TP53,0.07064273306311523,1863,393,393,855.6629009136717,False,0.06783556662590726,-0.42962322703636735
BRCA1,TP63,0.09430051813471503,1863,680,680,1125.5398704621707,False,0.09395512097891226,-0.43208499631777253
BRCA2,CREBBP,0.20159621637599764,3418,2442,2442,2889.0752845850175,False,0.17224292871914548,-0.4030771058167232
BRCA2,CRKL,0.04001584786053883,3418,303,303,1017.6708701736529,False,0.07282837757463545,-0.4652429231876719
BRCA2,EP300,0.19674074074074074,3418,2414,2414,2872.464447125499,False,0.1716935459970117,-0.4073831987298463
BRCA2,FBXW2,0.07623492804356281,3418,454,454,1245.7014088456351,False,0.09209181295447344,-0.44828727838448595
BRCA2,FBXW7,0.09297136481963555,3418,707,707,1554.5179317074474,False,0.1131926328910901,-0.4526516615450299
BRCA2,HRAS,0.028559771521827825,3418,189,189,803.7424960769463,False,0.050343539783654634,-0.45421416173540213
BRCA2,KMT2C,0.2911239749155813,3418,4911,3418,4097.047473486242,False,0.20552626444979716,-0.3468326830077912
BRCA2,KMT2D,0.26995718962477966,3418,5537,3418,4350.340906181951,False,0.2112417417107415,-0.37371494555953716
BRCA2,KRAS,0.03318312167144613,3418,189,189,803.7424960769463,False,0.050343539783654634,-0.44959081158578384
BRCA2,NF1,0.24553072625698324,3418,2839,2839,3115.0765640670857,False,0.1794189759800665,-0.3663186431966586
BRCA2,PIK3CA,0.1357684355616816,3418,1068,1068,1910.6082801034859,False,0.13284422737905932,-0.429506185290953
BRCA2,PIK3CB,0.148186889818689,3418,1070,1070,1912.3964024228867,False,0.13293335519245914,-0.41717685884734546
BRCA2,PIK3R1,0.12712184081478686,3418,724,724,1573.0963098297573,False,0.11432456544438829,-0.4196331181031767
BRCA2,PPP2R1A,0.09980806142034548,3418,589,589,1418.873496827677,False,0.10449357405020343,-0.43711590610343326
BRCA2,PPP2R1B,0.09489329268292683,3418,601,601,1433.2543389084856,False,0.10545438918752531,-0.4429914899781738
BRCA2,PTEN,0.07379636937647988,3418,403,403,1173.649862608095,False,0.08641514296170588,-0.4450491670588013
BRCA2,RASA2,0.13160772876412688,3418,850,850,1704.494059831245,False,0.12196797104629531,-0.4227906357557437
BRCA2,SIK1,0.11390532544378698,3418,783,783,1635.938262893805,False,0.11805665132395671,-0.436581719353745
BRCA2,STK11,0.0688984040482678,3418,433,433,1216.5500400723352,False,0.08983566452111508,-0.4533676539464226
BRCA2,TNS2,0.1545877659574468,3418,1409,1409,2194.530018022082,False,0.14604458186069214,-0.4238872093768207
BRCA2,TP53,0.06711409395973154,3418,393,393,1158.996980151372,False,0.08521812515289734,-0.4505344246667411
BRCA2,TP63,0.09689349112426035,3418,680,680,1524.545834010903,False,0.11133767950590234,-0.44687458185521733
CREBBP,CRKL,0.04880581516095535,2442,303,303,860.189514002583,False,0.06319747723190514,-0.4468220555445251
CREBBP,EP300,0.49434290687554394,2442,2414,2414,2427.9596372262863,True,0.16206264565428138,-0.10015013225231278
CREBBP,FBXW2,0.05411994149195514,2442,454,454,1052.9330463044646,False,0.08246091261174313,-0.4607713645933633
CREBBP,FBXW7,0.0896358543417367,2442,707,707,1313.9611866413711,False,0.10356173254835979,-0.4463562716801984
CREBBP,HRAS,0.02955400322407308,2442,189,189,679.3658808035623,False,0.04071263944092432,-0.4435890296904266
CREBBP,KMT2C,0.26209463051568316,2442,4911,2442,3463.042304101987,False,0.19589536410706684,-0.366231127064959
CREBBP,KMT2D,0.26079545454545455,2442,5537,2442,3677.139377287731,False,0.2016108413680112,-0.373245780296132
CREBBP,KRAS,0.026231263383297645,2442,189,189,679.3658808035623,False,0.04071263944092432,-0.446911769531202
CREBBP,NF1,0.1920816579028766,2442,2839,2442,2633.0282945688223,False,0.1697880756373362,-0.4101368112080349
CREBBP,PIK3CA,0.11152416356877323,2442,1068,1068,1614.9476771709974,False,0.123213327036329,-0.4441195569411311
CREBBP,PIK3CB,0.1070840197693575,2442,1070,1070,1616.459093203413,False,0.12330245484972882,-0.4486488285539466
CREBBP,PIK3R1,0.10375173691523853,2442,724,724,1329.6646193683578,False,0.10469366510165798,-0.43337232165999473
CREBBP,PPP2R1A,0.06906338694418164,2442,589,589,1199.3073000695026,False,0.09486267370747312,-0.4582296802368668
CREBBP,PPP2R1B,0.07692307692307693,2442,601,601,1211.4627522132078,False,0.095823488844795,-0.45133080539529336
CREBBP,PTEN,0.0527363184079602,2442,403,403,992.0312495077965,False,0.07678424261897557,-0.4564783176845907
CREBBP,RASA2,0.09749670619235837,2442,850,850,1440.7289821475792,False,0.112337070703565,-0.44727075798478194
CREBBP,SIK1,0.12214452214452215,2442,783,783,1382.7819784767228,False,0.1084257509812264,-0.4187116223102796
CREBBP,STK11,0.07210816224336505,2442,433,433,1028.292759869484,False,0.08020476417838476,-0.440526995408595
CREBBP,TNS2,0.17061224489795918,2442,1409,1409,1854.9334219858135,False,0.13641368151796182,-0.398231830093578
CREBBP,TP53,0.06931702344546381,2442,393,393,979.6458543779992,False,0.07558722481016703,-0.4387005948382785
CREBBP,TP63,0.1006993006993007,2442,680,680,1288.6271764944274,False,0.10170677916317203,-0.43343787193744665
CRKL,EP300,0.048370136698212406,303,2414,303,855.2438248827056,False,0.10228910986847023,-0.48634936664383316
CRKL,FBXW2,0.03735632183908046,303,454,303,370.8935157157644,False,0.02268737682593197,-0.41776144846042684
CRKL,FBXW7,0.0456140350877193,303,707,303,462.84014519053983,False,0.04378819676254864,-0.4306045551484047
CRKL,HRAS,0.023655913978494623,303,189,189,239.30524440554996,False,-0.019060896344886835,-0.3897135831501939
CRKL,KMT2C,0.04749841671944269,303,4911,303,1219.849580891021,False,0.1361218283212557,-0.5210538050753883
CRKL,KMT2D,0.05340829234012649,303,5537,303,1295.26483778415,False,0.14183730558220004,-0.5208594067156489
CRKL,KRAS,0.023605150214592276,303,189,189,239.30524440554996,False,-0.019060896344886835,-0.3897643469140962
CRKL,NF1,0.046834345186470075,303,2839,303,927.4788407289948,False,0.11001453985152504,-0.4956105881386303
CRKL,PIK3CA,0.04686192468619247,303,1068,303,568.8620219350207,False,0.06343979125051785,-0.4490082600379007
CRKL,PIK3CB,0.054945054945054944,303,1070,303,569.3944151464782,False,0.06352891906391767,-0.44101425759243806
CRKL,PIK3R1,0.04661487236403995,303,724,303,468.37164730585476,False,0.044920129315846824,-0.4307356504253822
CRKL,PPP2R1A,0.03015075376884422,303,589,303,422.45354774223404,False,0.03508913792166196,-0.43736877762639303
CRKL,PPP2R1B,0.031133250311332503,303,601,303,426.7352809412411,False,0.03604995305898384,-0.43734709622122664
CRKL,PTEN,0.03206106870229008,303,403,303,349.4409821414769,False,0.017010706833164413,-0.41738003160444964
CRKL,RASA2,0.04129793510324484,303,850,303,507.49384232717546,False,0.05256353491775384,-0.4436959932880843
CRKL,SIK1,0.051086956521739134,303,783,303,487.0821285984531,False,0.04865221519541524,-0.42999565214725144
CRKL,STK11,0.03240058910162003,303,433,303,362.2140251287904,False,0.020431228392573608,-0.4204610327645289
CRKL,TNS2,0.04768892149669846,303,1409,303,653.3965105508294,False,0.07664014573215067,-0.4613816177090275
CRKL,TP53,0.03622047244094488,303,393,303,345.0782519951091,False,0.01581368902435587,-0.4120236100569863
CRKL,TP63,0.024471635150166853,303,680,303,453.9162918424497,False,0.041933243377360874,-0.4498920017007693
EP300,FBXW2,0.054294175715695954,2414,454,454,1046.8791716334795,False,0.08213059328299782,-0.4602668110408772
EP300,FBXW7,0.08919301557338367,2414,707,707,1306.4065217228517,False,0.10323141321961449,-0.44646879111980614
EP300,HRAS,0.030534351145038167,2414,189,189,675.4598433659843,False,0.040382320112179015,-0.44227836244071617
EP300,KMT2C,0.2608811748998665,2414,4911,2414,3443.131423573605,False,0.19556504477832154,-0.36711426335203035
EP300,KMT2D,0.24773755656108598,2414,5537,2414,3655.997538292388,False,0.20128052203926589,-0.3859733589517552
EP300,KRAS,0.024932249322493227,2414,189,189,675.4598433659843,False,0.040382320112179015,-0.4478804642632611
EP300,NF1,0.18403959171048562,2414,2839,2414,2617.889608062189,False,0.1694577563085909,-0.4178485580716806
EP300,PIK3CA,0.09761120263591433,2414,1068,1068,1605.6624800997251,False,0.1228830077075837,-0.4577021985452447
EP300,PIK3CB,0.11474036850921274,2414,1070,1070,1607.1652061938125,False,0.12297213552098352,-0.4406621604853461
EP300,PIK3R1,0.0906987505784359,2414,724,724,1322.0196670246628,False,0.10436334577291267,-0.4460949886680521
EP300,PPP2R1A,0.06736741519350214,2414,589,589,1192.4118416050724,False,0.09453235437872781,-0.459595332658801
EP300,PPP2R1B,0.07684918347742556,2414,601,601,1204.49740555968,False,0.09549316951604969,-0.4510743795121994
EP300,PTEN,0.048144433299899696,2414,403,403,986.3275318067523,False,0.07645392329023026,-0.4607398834639059
EP300,RASA2,0.09959982214317474,2414,850,850,1432.445461439981,False,0.11200675137481969,-0.44483732270522025
EP300,SIK1,0.11941701927597555,2414,783,783,1374.8316260546235,False,0.10809543165248109,-0.42110880585008087
EP300,STK11,0.06818181818181818,2414,433,433,1022.3805553706507,False,0.07987444484963946,-0.4441230201413966
EP300,TNS2,0.15434606011372867,2414,1409,1409,1844.2684186419285,False,0.13608336218921652,-0.4141676955490632
EP300,TP53,0.06201947719118401,2414,393,393,974.0133469311394,False,0.07525690548142172,-0.44566782176381303
EP300,TP63,0.10037700282752121,2414,680,680,1281.2181703363406,False,0.10137645983442672,-0.4334298504804808
FBXW2,FBXW7,0.07916666666666666,454,707,454,566.549203511928,True,0.055370441321100805,-0.40863416812800946
FBXW2,HRAS,0.023178807947019868,454,189,189,292.92661196961944,False,-0.007478651786334667,-0.4017729337402208
FBXW2,KMT2C,0.06514356282803334,454,4911,454,1493.1825072642662,False,0.14770407287980786,-0.5149909035253498
FBXW2,KMT2D,0.06332543176430748,454,5537,454,1585.4961368606357,False,0.1534195501407522,-0.52252451185002
FBXW2,KRAS,0.02145214521452145,454,189,189,292.92661196961944,False,-0.007478651786334667,-0.4034995964727192
FBXW2,NF1,0.07530500631047539,454,2839,454,1135.299960362899,False,0.12159678441007721,-0.47872217157317715
FBXW2,PIK3CA,0.04973624717407687,454,1068,454,696.327509150687,False,0.07502203580907002,-0.45771618210856846
FBXW2,PIK3CB,0.06676899462778205,454,1070,454,696.9791962462008,False,0.07511116362246983,-0.44077256246826313
FBXW2,PIK3R1,0.04830917874396135,454,724,454,573.320154887302,False,0.05650237387439899,-0.44062358860401296
FBXW2,PPP2R1A,0.04907306434023991,454,589,454,517.113140424801,False,0.04667138248021413,-0.43002871161354955
FBXW2,PPP2R1B,0.050920910075839654,454,601,454,522.3542859018197,False,0.04763219761753601,-0.42914168101527167
FBXW2,PTEN,0.035443037974683546,454,403,403,427.740575582911,False,0.02859295139171658,-0.42558030689060833
FBXW2,RASA2,0.05350877192982456,454,850,454,621.2084996198942,False,0.06414577947630601,-0.44306740102005676
