driver	paralog	struct	targetability	mean_ti	sel	cls	known	target
NF1	RASA2	0.658	0.4801499999999999	5.420599527987394	0.0054468652734548	MODERATE	False	0.6948620297910182
ARID1A	ARID1B	0.952	0.77048	2.8194115385176928	0.2770428477986152	HIGH_SELECTIVITY	True	0.6307520660308175
EP300	CREBBP	0.976	0.7832700000000001	1.81548250534756	0.1084084248282225	MODERATE	True	0.5352113935943846
KMT2D	KMT2C	0.829	0.62683	1.7705720421449027	0.0558146107107531	MODERATE	False	0.47707626272951476
PIK3CA	PIK3CB	0.847	0.7686499999999999	1.3555529659428456	-0.0650771513414892	LOW_SELECTIVITY	True	0.47086317190130006
PPP2R1A	PPP2R1B	0.921	0.77819	0.9253821838412568	0.0	LOW_SELECTIVITY	True	0.4517433346803884
TP53	TP63	0.803	0.59226	0.812725036434329	0.0370882992677165	MODERATE	False	0.3932143185133317
KRAS	HRAS	0.885	0.7768299999999999	0.2055549466723849	-0.0396634322149726	LOW_SELECTIVITY	False	0.39226791409234607
FBXW7	FBXW2	0.666	0.51776	0.7201332548696614	-0.0002354048964218	LOW_SELECTIVITY	True	0.35843317685562726
STK11	SIK1	0.71	0.52252	0.3924446658617047	-0.011204481792717	LOW_SELECTIVITY	True	0.33403483037174697
BRCA1	BRCA2	0.794	0.45571	0.1442640205625437	-0.0802265186908696	PAN_ESSENTIAL	True	0.28532463582768
PTEN	TNS2	0.571	0.39268	0.1740901583217816	-0.0058446964683554	LOW_SELECTIVITY	False	0.2797738566839457
PIK3R1	CRKL	0.71	0.42855	0.1666908443070653	-0.1606489520301675	PAN_ESSENTIAL	False	0.26676820391149136
